update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
1,1024,1024,2,2,1024,0.07120117187500005,0.34189122915267944,-0.1522805094718933,-0.0028887750522699207,0.9449558518826962,1.2118481174111366,0.0009485551854595542,0.0,-0.004734056340351289,0.02,62,0,0,0.162109375,0.1611328125,0.1630859375,0.16796875,0.2490234375,0.0966796875
2,2048,2048,5,5,1024,0.06348632812500005,0.07732142508029938,-0.18368417024612427,-0.002890242263674736,0.4996600206941366,1.2241670489311218,0.0005612025706795976,0.00048828125,0.5018739962686007,0.02,54,0,0,0.1552734375,0.162109375,0.166015625,0.169921875,0.2548828125,0.091796875
3,3072,3072,7,7,1024,0.07100585937500006,-0.11806344240903854,-0.3164169192314148,-0.002012146112974733,0.46764433570206165,1.2446845322847366,-0.0005213040567468852,0.0,0.6146189635858019,0.02,60,0,0,0.1748046875,0.138671875,0.1962890625,0.1591796875,0.2490234375,0.08203125
4,4096,4096,10,10,1024,0.05870117187500004,-0.3761967718601227,-0.07108931988477707,-0.0006210991414263844,0.35084443911910057,1.2355953082442284,0.0008604780014138669,0.0,0.6839803204299901,0.02,52,0,0,0.18359375,0.1337890625,0.17578125,0.162109375,0.2646484375,0.080078125
5,5120,5120,12,12,1024,0.057431640625000044,-0.5353850722312927,-0.17193599045276642,-0.002687222557142377,0.3325489703565836,1.250465750694275,0.0012405974848661572,0.0,0.6928044771778583,0.02,55,0,0,0.193359375,0.140625,0.1904296875,0.1513671875,0.2490234375,0.0751953125
6,6144,6144,15,15,1024,0.07466796875000004,-0.4684832692146301,-0.05559656396508217,-0.005435174884041771,0.44051741622388363,1.2671427205204964,0.0017554080404806882,0.003173828125,0.6215140082996435,0.02,68,0,0,0.173828125,0.1484375,0.203125,0.1484375,0.25,0.076171875
7,7168,7168,17,17,1024,0.06543945312500005,-0.6492933034896851,-0.17311285436153412,-0.005506653847987764,0.34213104471564293,1.247589722275734,0.00202239808277227,0.005859375,0.6664030633921876,0.02,66,0,0,0.19140625,0.12890625,0.20703125,0.1328125,0.2685546875,0.0712890625
8,8192,8192,20,20,1024,0.05835937500000005,-0.8173743486404419,-0.12299489229917526,-0.004424520884640515,0.3668745942413807,1.2818799912929535,-0.0013013109855819494,0.0,0.5887344081627359,0.02,60,0,0,0.2392578125,0.1181640625,0.224609375,0.1103515625,0.255859375,0.0517578125
9,9216,9216,22,22,1024,0.06182617187500004,-0.5978179574012756,0.08586614578962326,-0.004173491906840354,0.3780029099434614,1.2769611552357674,0.0016967963892966509,0.00048828125,0.6426021372518578,0.02,62,0,0,0.2216796875,0.1005859375,0.2421875,0.1201171875,0.2568359375,0.05859375
10,10025,10025,25,25,809,0.07263288009888756,-0.6124390959739685,0.06915614753961563,-0.004621885564120021,0.42291267216205597,1.2466731816530228,0.0032753376071923412,0.00048828125,0.651748990435829,0.02,60,0,0,0.2138442521631644,0.0865265760197775,0.2138442521631644,0.11742892459826947,0.30778739184178,0.06056860321384425
11,11049,11049,27,27,1024,0.04805664062500004,-0.9294919967651367,-0.03059970587491989,-0.004757420334499329,0.2531365938484669,1.213617481291294,0.0022534323725267313,0.03125,0.6505718856716443,0.02,56,0,0,0.24609375,0.0810546875,0.236328125,0.0947265625,0.2939453125,0.0478515625
12,12073,12073,30,30,1024,0.04698242187500004,-0.768151044845581,0.23134538531303406,-0.0030201944755390286,0.3307616822421551,1.2207437977194786,0.0006935535275260918,0.001220703125,0.6399112533327935,0.02,55,0,0,0.2529296875,0.0888671875,0.2451171875,0.1025390625,0.2666015625,0.0439453125
13,13097,13097,32,32,1024,0.052695312500000036,-0.8635910749435425,0.0910283699631691,-0.005215111596044153,0.266597936861217,1.2467950955033302,-0.0002404045153525658,0.02685546875,0.676794491473827,0.02,59,0,0,0.2626953125,0.109375,0.26171875,0.115234375,0.216796875,0.0341796875
14,14121,14121,35,35,1024,0.06714843750000006,-0.9300820827484131,-0.28039422631263733,-0.0033117218408733606,0.38527897000312805,1.2007828503847122,0.0017089654356823303,0.0,0.5766475905487679,0.02,68,0,0,0.28125,0.103515625,0.275390625,0.1162109375,0.17578125,0.0478515625
15,15145,15145,37,37,1024,0.07852539062500002,-0.617052435874939,0.2922878861427307,-0.003416328923776746,0.35761711187660694,1.227546088397503,-0.0014481888283626176,0.0,0.6098044783510916,0.02,87,0,0,0.2763671875,0.0791015625,0.2763671875,0.1083984375,0.2216796875,0.0380859375
16,16169,16169,40,40,1024,0.07476562500000003,-0.6182950735092163,0.06173880398273468,-0.007411171100102365,0.39003518410027027,1.214889444410801,0.005550647350901272,0.0322265625,0.6188001878530129,0.02,79,0,0,0.2880859375,0.080078125,0.27734375,0.1015625,0.208984375,0.0439453125
17,17193,17193,42,42,1024,0.055429687500000026,-0.8771465420722961,-0.09741262346506119,-0.0042749454732984304,0.3790866732597351,1.221173383295536,0.0011427401332184672,0.0,0.5861551621902101,0.02,65,0,0,0.294921875,0.0859375,0.2705078125,0.09375,0.22265625,0.0322265625
18,18217,18217,45,45,1024,0.09107421875000005,-0.6000885367393494,0.06092846021056175,-0.004793888540007174,0.41369703225791454,1.213279627263546,0.00045004591083852574,0.0,0.6058248511737965,0.02,97,0,0,0.2431640625,0.1103515625,0.2490234375,0.1240234375,0.23046875,0.04296875
19,19241,19241,47,47,1024,0.08296875000000004,-0.707810640335083,0.07183806598186493,-0.010363641456933692,0.3572224751114845,1.2015949115157127,0.0032090248278109357,0.065673828125,0.6510776546606709,0.02,92,0,0,0.287109375,0.0986328125,0.26953125,0.099609375,0.208984375,0.0361328125
20,20050,20050,50,50,809,0.08505562422744131,-0.7030258774757385,-0.037453487515449524,-0.013964144454803318,0.42683458514511585,1.1872623786330223,0.002355349832214415,0.009211842436343431,0.6016802275541312,0.02,72,0,0,0.2583436341161928,0.09023485784919653,0.24969097651421507,0.10754017305315204,0.24969097651421507,0.04449938195302843
