update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
1,264701,264701,1002,2,1024,0.12364257812500065,1.148768663406372,-0.09740442037582397,-0.0027184737264178693,6.332650244235992,0.3754764385521412,0.0071903727166500175,0.03662109375,-0.5586448546454421,0.02,17,38,0,0.2109375,0.2421875,0.2255859375,0.2529296875,0.05078125,0.017578125
2,265725,265725,1005,5,1024,0.0776464843750001,0.7573812007904053,-0.5072787404060364,-0.0041955639608204365,1.0251399390399456,0.5405624806880951,0.006661196952336468,0.098876953125,0.06739638161333616,0.02,13,42,0,0.0234375,0.4326171875,0.041015625,0.4384765625,0.044921875,0.01953125
3,266749,266749,1007,7,1024,0.060166015625000076,0.4714639484882355,-0.1960090696811676,-0.006128971581347287,0.5829429607838392,0.5018304288387299,0.004891606518867775,0.089599609375,0.4665879794298734,0.02,12,41,0,0.041015625,0.3955078125,0.0693359375,0.3984375,0.0751953125,0.0205078125
4,267773,267773,1010,10,1024,0.06709960937500009,0.498903751373291,0.0941021665930748,-0.004426278697792441,0.42208568193018436,0.5007019061595201,0.0073282352059322875,0.06005859375,0.6261914826055932,0.02,12,28,0,0.025390625,0.4267578125,0.0302734375,0.4384765625,0.0634765625,0.015625
5,268797,268797,1012,12,1024,0.09087890625000003,1.037576675415039,0.14267002046108246,0.00024548510555177927,1.5824136286973953,0.4271344281733036,0.001556107529268047,0.0068359375,0.3091903984271118,0.02,16,35,0,0.1083984375,0.3408203125,0.126953125,0.3427734375,0.05859375,0.0224609375
6,269821,269821,1015,15,1024,0.07891601562499996,0.9742116332054138,0.025236360728740692,-0.000842653273139149,1.2325806356966496,0.32854084111750126,0.003801490671321517,0.029296875,0.47367746508383,0.02,10,31,0,0.177734375,0.2861328125,0.18359375,0.30078125,0.0400390625,0.01171875
7,270845,270845,1017,17,1024,0.09087890625000011,0.988156259059906,0.22306948900222778,-0.0030727458652108908,0.3678804859519005,0.45352442003786564,0.0031365374779852573,0.02099609375,0.8133513919417488,0.02,21,43,0,0.03125,0.4091796875,0.044921875,0.427734375,0.0654296875,0.021484375
8,271869,271869,1020,20,1024,0.10777343750000012,1.195312261581421,0.047887351363897324,-0.0036504071031231433,1.1469335928559303,0.45626446418464184,0.003895271580404369,0.02734375,0.4908460225217238,0.02,28,77,0,0.099609375,0.3203125,0.125,0.33984375,0.087890625,0.02734375
9,272893,272893,1022,22,1024,0.08150390625000009,1.1522067785263062,-0.1761002242565155,-0.0024393630446866155,0.2014842121861875,0.5585280917584896,0.0027400331528042443,0.0146484375,0.8098467149009654,0.02,7,17,0,0.0322265625,0.416015625,0.0322265625,0.416015625,0.0810546875,0.0224609375
10,273702,273702,1025,25,809,0.1239307787391843,1.3603724241256714,0.11884699016809464,-0.002868677314836532,0.6014418955892324,0.43479590117931366,-1.914948097692104e-05,0.03319717012345791,0.6963375989393912,0.02,28,62,0,0.08034610630407911,0.34239802224969096,0.09517923362175525,0.3757725587144623,0.07663782447466007,0.029666254635352288
11,274726,274726,1027,27,1024,0.1697851562500003,2.261000633239746,0.2590925991535187,-0.0025039566098712385,0.7993463687598705,0.48878427781164646,0.0015288666036212817,0.047607421875,0.7473832459089083,0.02,25,63,0,0.0537109375,0.3671875,0.0673828125,0.3779296875,0.0966796875,0.037109375
12,275750,275750,1030,30,1024,0.11055664062500012,1.1986241340637207,0.025937993079423904,-0.006784574594348669,0.6156948804855347,0.4678238946944475,0.00371391842054436,0.09375,0.7404053173390988,0.02,32,98,0,0.072265625,0.35546875,0.0859375,0.3837890625,0.0673828125,0.03515625
13,276774,276774,1032,32,1024,0.15113281250000013,2.126513957977295,0.1121339276432991,-0.003604005731176585,0.867404218763113,0.42612363770604134,0.0023118948920455296,0.021240234375,0.64864730087004,0.02,41,84,0,0.091796875,0.3310546875,0.1142578125,0.341796875,0.083984375,0.037109375
14,277798,277798,1035,35,1024,0.14351562500000017,1.9863300323486328,-0.022467901930212975,-0.0022100497444625944,0.46833550557494164,0.4695970509201288,0.0036995099726482294,0.017822265625,0.79537096037428,0.02,34,77,0,0.0556640625,0.361328125,0.0859375,0.3740234375,0.078125,0.044921875
15,278822,278822,1037,37,1024,0.1726171875000002,2.4474244117736816,0.05558333173394203,-0.0032850888383109123,0.8163018710911274,0.4785519316792488,0.0016827940626171767,0.009033203125,0.7648554156572575,0.02,44,87,0,0.0810546875,0.3310546875,0.1044921875,0.34375,0.0908203125,0.048828125
16,279846,279846,1040,40,1024,0.20123046875000025,2.863471746444702,0.27571749687194824,-0.003262990794610232,0.7654747143387794,0.46195380203425884,0.0018956951207655948,0.011474609375,0.8073924942698648,0.02,43,109,0,0.0791015625,0.337890625,0.0771484375,0.361328125,0.0986328125,0.0458984375
17,280870,280870,1042,42,1024,0.18038085937500026,2.659430503845215,-0.039315082132816315,-0.0019437634036876261,0.7462575435638428,0.4366358947008848,0.002631829949677922,0.023681640625,0.7239045047859771,0.02,39,97,0,0.0966796875,0.3203125,0.1181640625,0.314453125,0.1005859375,0.0498046875
18,281894,281894,1045,45,1024,0.19844726562500015,2.6883654594421387,0.02996297925710678,-0.0019316616235300899,0.7767249010503292,0.3769689556211233,-0.00022809643996879458,0.0078125,0.679631511923227,0.02,71,163,0,0.1689453125,0.23046875,0.16015625,0.2607421875,0.1181640625,0.0615234375
19,282918,282918,1047,47,1024,0.16524414062500026,2.477078437805176,-0.32444435358047485,-0.0024588296946603805,0.9517074786126614,0.4901222586631775,0.0010044491135658973,0.04248046875,0.6689274208794682,0.02,36,75,0,0.14453125,0.28515625,0.142578125,0.2861328125,0.0908203125,0.05078125
20,283727,283727,1050,50,809,0.2149690976514217,2.877035140991211,0.29315969347953796,0.013912239466662868,1.8362479358911514,0.3137648068368435,0.0020786009640687553,0.007383765187114477,0.5397118117542398,0.02,50,120,0,0.22744128553770088,0.18046971569839307,0.23485784919653893,0.21137206427688504,0.09023485784919653,0.05562422744128554
21,284751,284751,1052,52,1024,0.22632812500000024,3.026719093322754,0.1399219036102295,-0.0006950583774596453,0.9057142063975334,0.36452239006757736,0.0013132649037288502,0.0048828125,0.6593199043802527,0.02,69,174,0,0.181640625,0.21484375,0.19140625,0.25,0.099609375,0.0625
22,285775,285775,1055,55,1024,0.22735351562500034,3.514413833618164,-0.0027969740331172943,-0.0010696272365748882,1.095250815153122,0.39914015121757984,0.002129178456016234,0.006591796875,0.7130713237605015,0.02,38,91,0,0.140625,0.2802734375,0.15234375,0.2734375,0.109375,0.0439453125
23,286799,286799,1057,57,1024,0.22515625000000028,3.147239923477173,0.07307276129722595,-0.0026896237395703793,0.6721664518117905,0.417605621740222,0.004419106688146712,0.01611328125,0.7850054998339324,0.02,61,136,0,0.10546875,0.2958984375,0.11328125,0.3173828125,0.111328125,0.056640625
24,287823,287823,1060,60,1024,0.16690429687500016,2.3331727981567383,-0.2214449942111969,-0.0027650047559291124,0.5657836217433214,0.40281474590301514,0.0011183468232047744,0.026611328125,0.6463636134729431,0.02,41,112,0,0.1357421875,0.2587890625,0.1611328125,0.26171875,0.125,0.0576171875
25,288847,288847,1062,62,1024,0.20279296875000039,2.9474306106567383,0.11078120023012161,-0.001441985194105655,1.3941844776272774,0.3576358985155821,0.0008947864644142101,0.001953125,0.555868323100871,0.02,49,117,0,0.14453125,0.2607421875,0.146484375,0.275390625,0.1181640625,0.0546875
26,289871,289871,1065,65,1024,0.21407226562500092,3.3765740394592285,0.20951737463474274,0.0004105030675418675,2.1218988969922066,0.228617237880826,-0.00018177535639551934,0.001220703125,0.5249160245921747,0.02,29,78,0,0.2763671875,0.15625,0.279296875,0.1796875,0.07421875,0.0341796875
27,290895,290895,1067,67,1024,0.21714843750000012,2.7326583862304688,0.010293789207935333,-0.002137676579877734,1.036706443876028,0.3736172914505005,7.161833036661847e-05,0.013671875,0.5808076310337822,0.02,71,191,0,0.1748046875,0.2197265625,0.171875,0.2451171875,0.1220703125,0.06640625
28,291919,291919,1070,70,1024,0.2187109374999998,3.294739246368408,0.23628325760364532,-0.00032737001311033964,1.9859513714909554,0.3714991509914398,-0.0009799749968806282,0.000244140625,0.5210897110612485,0.02,51,116,0,0.1552734375,0.2646484375,0.1689453125,0.275390625,0.095703125,0.0400390625
29,292943,292943,1072,72,1024,0.2225683593749997,3.5747764110565186,0.014023862779140472,-0.00023505237186327577,1.9471037834882736,0.3264813534915447,0.0014290818244262482,0.00390625,0.607680472594025,0.02,41,99,0,0.177734375,0.2275390625,0.1982421875,0.224609375,0.1279296875,0.0439453125
30,293752,293752,1075,75,809,0.19574783683559974,2.562932252883911,-0.213108092546463,0.028402481868397444,0.9271617960184813,0.3883933536708355,9.561685146763921e-05,0.018608279060572386,0.7763859010589487,0.02,37,78,0,0.1681087762669963,0.2669962917181706,0.1681087762669963,0.276885043263288,0.08405438813349815,0.03584672435105068
31,294776,294776,1077,77,1024,0.19703125000000019,2.648174524307251,0.14337016642093658,-0.0026686403434723616,0.7213139496743679,0.39913512393832207,0.003039887124032248,0.018798828125,0.6764750643426264,0.02,61,151,0,0.1005859375,0.2890625,0.1162109375,0.3017578125,0.1318359375,0.060546875
32,295800,295800,1080,80,1024,0.20435546875000024,2.8723325729370117,0.11403374373912811,-0.0013629649474751204,0.6740402095019817,0.37065341137349606,-0.00016072667131084017,0.015380859375,0.6795003160206418,0.02,54,137,0,0.099609375,0.2900390625,0.1279296875,0.31640625,0.1123046875,0.0537109375
33,296824,296824,1082,82,1024,0.2159277343750003,3.0894722938537598,0.08721885830163956,-0.001165464345831424,1.306992530822754,0.33559316024184227,0.0026771860302687855,0.01416015625,0.6020536904011191,0.02,44,121,0,0.1435546875,0.279296875,0.1455078125,0.28515625,0.1005859375,0.0458984375
34,297848,297848,1085,85,1024,0.2154394531250002,2.965125322341919,0.04017595946788788,-0.002660205587744713,1.017881404608488,0.308166041970253,0.004323715600548894,0.03125,0.6958229645144005,0.02,67,158,0,0.232421875,0.173828125,0.259765625,0.1826171875,0.1015625,0.0498046875
35,298872,298872,1087,87,1024,0.22461914062500019,2.6788907051086426,-0.279954731464386,-0.001183347892947495,0.7785210944712162,0.30201934091746807,0.0012631743720703525,0.01123046875,0.651567761518707,0.02,83,206,0,0.1650390625,0.22265625,0.181640625,0.2265625,0.1328125,0.0712890625
36,299896,299896,1090,90,1024,0.19727539062500027,2.6998093128204346,-0.058278851211071014,-0.002583158668130636,0.6292161792516708,0.39244481921195984,0.0004536952546914108,0.0283203125,0.7662896393779304,0.02,46,123,0,0.1259765625,0.2607421875,0.1337890625,0.259765625,0.158203125,0.0615234375
37,300920,300920,1092,92,1024,0.18833984375000024,2.5818228721618652,0.10424648225307465,-0.003101008536759764,0.5189096108078957,0.40113259479403496,0.004090991475095507,0.029052734375,0.8273314588380138,0.02,52,141,0,0.091796875,0.2587890625,0.1083984375,0.2744140625,0.19140625,0.0751953125
38,301944,301944,1095,95,1024,0.20284179687500026,2.8007304668426514,0.136942058801651,-0.004739892377983779,0.4028729908168316,0.39270418882369995,0.0007103388925315812,0.02880859375,0.781707639668656,0.02,62,133,0,0.099609375,0.2998046875,0.109375,0.3046875,0.1298828125,0.056640625
39,302968,302968,1097,97,1024,0.18018554687500024,2.637566566467285,-0.10897403210401535,-0.002938350196927786,0.3188756126910448,0.40741185285151005,0.002058860806755547,0.01904296875,0.825021032562251,0.02,36,97,0,0.0888671875,0.31640625,0.083984375,0.326171875,0.1328125,0.0517578125
40,303777,303777,1100,100,809,0.25619283065513,3.203155755996704,0.42622125148773193,-3.096761065535247e-05,0.846222311258316,0.2825393918901682,0.0038534967407031218,0.008908155374228954,0.7283302425576705,0.02,72,168,0,0.138442521631644,0.2311495673671199,0.1668726823238566,0.25710754017305315,0.14091470951792337,0.06551297898640297
