update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
1,1066701,1066701,3002,2,1024,0.21724609375000037,2.754671573638916,-0.39868462085723877,-0.004207561258226633,0.7802690453827381,0.4579324834048748,0.008546223300072597,0.087158203125,0.8241710951120147,0.05,11,193,0,0.1220703125,0.1259765625,0.138671875,0.1201171875,0.357421875,0.1357421875
2,1067725,1067725,3005,5,1024,0.2748632812500004,3.796191453933716,0.03155963867902756,-0.004060216684592888,0.5056617464870214,0.40014220029115677,0.008960220264270902,0.0703125,0.940706826028161,0.05,13,168,0,0.103515625,0.1337890625,0.1220703125,0.119140625,0.38671875,0.134765625
3,1068749,1068749,3007,7,1024,0.23599609375000039,3.308279275894165,0.026345282793045044,-0.006870119192171842,0.4391607493162155,0.3883868679404259,0.005076883848232683,0.045166015625,0.9114529269471296,0.05,14,193,0,0.1083984375,0.1240234375,0.1318359375,0.1015625,0.3974609375,0.13671875
4,1069773,1069773,3010,10,1024,0.2442968750000004,3.428928852081299,0.13305440545082092,-0.0026227361522614956,0.3710911460220814,0.3381893187761307,0.0015561238997179316,0.017333984375,0.9321697505001073,0.05,11,184,0,0.08984375,0.125,0.1240234375,0.095703125,0.4248046875,0.140625
5,1070797,1070797,3012,12,1024,0.24605468750000045,3.710738182067871,-0.0035533681511878967,-0.003513487521559,0.47443806007504463,0.39448058046400547,8.175776201824192e-05,0.0361328125,0.8968462555937996,0.05,9,101,0,0.11328125,0.1171875,0.1171875,0.1103515625,0.40625,0.1357421875
6,1071821,1071821,3015,15,1024,0.24688476562500047,3.6802115440368652,0.029106058180332184,-0.0039226545341080055,0.253180299885571,0.3234354853630066,-9.250116636394523e-05,0.0283203125,0.9512348518518278,0.05,11,142,0,0.107421875,0.126953125,0.1142578125,0.08984375,0.423828125,0.1376953125
7,1072845,1072845,3017,17,1024,0.22095703125000046,3.829826593399048,0.12006192654371262,-0.002814785810187459,0.19469081237912178,0.3365486264228821,0.001443640543584479,0.017578125,0.9503308034881552,0.05,6,66,0,0.0966796875,0.087890625,0.10546875,0.095703125,0.4775390625,0.13671875
8,1073869,1073869,3020,20,1024,0.24991210937500036,3.747060537338257,0.030390560626983643,-0.002290686417836696,0.30319993756711483,0.36295947432518005,0.0036953202725271694,0.0234375,0.9571926713636976,0.05,14,163,0,0.1103515625,0.12109375,0.1220703125,0.0947265625,0.4189453125,0.1328125
9,1074893,1074893,3022,22,1024,0.2290625000000004,3.783113956451416,-0.04517000913619995,-0.0057217401918023825,0.2701497422531247,0.4231663066893816,0.0042712521681096405,0.04052734375,0.9478187454204452,0.05,11,157,0,0.111328125,0.109375,0.134765625,0.1064453125,0.4052734375,0.1328125
10,1075702,1075702,3025,25,809,0.29939431396786204,4.800612449645996,0.15507587790489197,-0.007639426359673962,0.3537203473970294,0.3520882576704025,0.0007177535708251526,0.008175733499228954,0.9428089436257265,0.05,10,95,0,0.12237330037082818,0.11248454882571075,0.11990111248454882,0.09270704573547589,0.415327564894932,0.13720642768850433
11,1076726,1076726,3027,27,1024,0.23599609375000036,3.6546802520751953,-0.10450473427772522,-0.003544543345924467,0.42934645153582096,0.351872481405735,0.001620715411263518,0.033935546875,0.9217099433460594,0.05,13,176,0,0.103515625,0.1162109375,0.134765625,0.1025390625,0.408203125,0.134765625
12,1077750,1077750,3030,30,1024,0.23287109375000045,3.5395851135253906,-0.4100639820098877,0.0005675373831763864,0.2641679309308529,0.4362991489470005,0.0021154984078748384,0.023193359375,0.9595507610169884,0.05,1,73,0,0.1259765625,0.1103515625,0.1298828125,0.1005859375,0.3994140625,0.1337890625
13,1078774,1078774,3032,32,1024,0.23414062500000044,3.5542731285095215,0.14457868039608002,-0.004797072033397853,0.41996831074357033,0.35933657363057137,-0.0008462540681648534,0.03466796875,0.9265562547213804,0.05,14,152,0,0.095703125,0.1171875,0.1318359375,0.107421875,0.41015625,0.1376953125
14,1079798,1079798,3035,35,1024,0.22457031250000042,3.2597873210906982,-0.05130268260836601,-0.005931816180236638,0.29719144850969315,0.3814300689846277,0.0013105402567816782,0.059326171875,0.9537244430979097,0.05,8,163,0,0.1123046875,0.1171875,0.1318359375,0.1005859375,0.4033203125,0.134765625
