update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,kills,self_kills,deaths,action_up,action_right,action_down,action_left,action_wait,action_bomb
1,2531670,2531670,7002,2,1024,0.3929785156250005,14.900629043579102,-0.1360919177532196,-0.003196038131136447,3.96144662797451,0.26714104413986206,0.003138519869025913,0.04638671875,0.8940601838602313,0.05,12,134,0,0,0,0.189453125,0.240234375,0.185546875,0.228515625,0.0205078125,0.1357421875
2,2532694,2532694,7005,5,1024,0.36988281250000055,14.616861343383789,-0.21069900691509247,-0.002639969752635807,2.708123430609703,0.234310750849545,0.0005614874326056452,0.0166015625,0.9121105581802472,0.05,4,89,1,0,0,0.185546875,0.228515625,0.19921875,0.2353515625,0.009765625,0.1416015625
3,2533718,2533718,7009,9,1024,0.4354101562500005,15.101123809814453,-0.7299293279647827,0.0004982140380889177,5.262032672762871,0.2569881593808532,-3.2068457585410215e-05,0.0048828125,0.8884696835499437,0.05,9,143,0,2,2,0.19140625,0.2236328125,0.19140625,0.2333984375,0.0234375,0.13671875
4,2534742,2534742,7013,13,1024,0.4932226562500006,16.89635467529297,0.24288707971572876,-0.0007279232377186418,7.0378841161727905,0.29173217341303825,0.0006357733745971927,0.01025390625,0.8287666355818268,0.05,10,137,0,2,2,0.1982421875,0.259765625,0.18359375,0.212890625,0.01171875,0.1337890625
5,2535766,2535766,7015,15,1024,0.41993164062500055,14.77897834777832,-0.018124163150787354,0.00040489324601367116,6.476180523633957,0.2826178437098861,0.0012391045565891545,0.002685546875,0.8811257931810972,0.05,13,166,0,1,1,0.201171875,0.232421875,0.2001953125,0.2080078125,0.025390625,0.1328125
6,2536790,2536790,7019,19,1024,0.5051367187500004,17.45163917541504,0.1179952546954155,-0.002499424386769533,6.685124844312668,0.33430386520922184,0.0008008021850400837,0.031982421875,0.8571510559779154,0.05,4,119,0,2,2,0.2138671875,0.2216796875,0.2138671875,0.2001953125,0.015625,0.134765625
7,2537814,2537814,7021,21,1024,0.4796972656250006,16.991107940673828,0.29347074031829834,-0.0024287322303280234,2.805233135819435,0.3209229353815317,0.0005934486107435077,0.00146484375,0.9239642042519736,0.05,15,150,0,0,0,0.2001953125,0.220703125,0.220703125,0.2177734375,0.009765625,0.130859375
8,2538761,2538761,7025,25,947,0.4361457233368538,16.300893783569336,-0.08934377133846283,-0.002745024743489921,7.546705186367035,0.27580604143440723,0.001844606547820149,0.011375043715815991,0.8087039784721457,0.05,13,114,0,2,3,0.1932418162618796,0.24076029567053855,0.1890179514255544,0.23020063357972545,0.012671594508975714,0.1341077085533263
9,2539785,2539785,7028,28,1024,0.4192968750000005,15.326635360717773,-0.4864576458930969,-3.1649949960410595e-05,4.141971677541733,0.3152444716542959,0.005022255831136135,0.03515625,0.8805684608155553,0.05,9,147,0,1,1,0.1904296875,0.25,0.193359375,0.2138671875,0.0166015625,0.1357421875
10,2540809,2540809,7032,32,1024,0.49693359375000046,16.15126609802246,-0.2375505268573761,-0.0012378866085782647,7.661884218454361,0.3199906963855028,-0.0002827207572408952,0.017822265625,0.8456023285336314,0.05,17,140,0,3,3,0.205078125,0.212890625,0.197265625,0.234375,0.01953125,0.130859375
11,2541833,2541833,7035,35,1024,0.4220800781250005,15.216785430908203,0.3798832297325134,3.457983257248998e-05,6.216801285743713,0.2566548651084304,0.003298718605947215,0.01123046875,0.8684526912111709,0.05,8,110,0,2,2,0.1953125,0.240234375,0.193359375,0.2265625,0.01171875,0.1328125
12,2542857,2542857,7038,38,1024,0.4119238281250005,13.83247184753418,-0.409860759973526,-0.00043139990884810686,6.779068261384964,0.23051372356712818,0.0013955844042357057,0.0205078125,0.8856160383580209,0.05,13,167,0,2,2,0.1826171875,0.2412109375,0.1982421875,0.23046875,0.0126953125,0.134765625
13,2543881,2543881,7041,41,1024,0.3130468750000005,12.724987030029297,0.22231023013591766,-0.002485416509443894,4.029353320598602,0.2353749042376876,0.002140897884601145,0.00732421875,0.895053829672329,0.05,8,106,0,1,1,0.2138671875,0.2177734375,0.203125,0.2119140625,0.01953125,0.1337890625
14,2544905,2544905,7044,44,1024,0.4532812500000006,16.03940200805664,1.0084259510040283,-0.0010896687163040042,4.904028758406639,0.27341531589627266,0.0006232080577319721,0.015380859375,0.8727208425933755,0.05,8,109,1,0,0,0.22265625,0.2099609375,0.2353515625,0.185546875,0.0107421875,0.1357421875
