tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
base_4coin,992326b,classic,905112,test,1,2.57,0,coin_collector_agent,coin_collector_agent_0,400,400,1,0,0.0,0.0,0.0,0.0,34.0,11.0,132.0,4.0,400.0,0.48504042625427246,0.0012126010656356811,3.5,0
base_4coin,992326b,classic,905112,test,1,2.57,1,coin_collector_agent,coin_collector_agent_1,400,90,0,1,5.0,5.0,0.0,1.0,24.0,7.0,79.0,4.0,90.0,0.12416863441467285,0.001379651493496365,1.0,1
base_4coin,992326b,classic,905112,test,1,2.57,2,coin_collector_agent,coin_collector_agent_2,400,400,1,0,0.0,0.0,0.0,0.0,28.0,10.0,132.0,5.0,400.0,0.42857909202575684,0.001071447730064392,3.5,0
base_4coin,992326b,classic,905112,test,1,2.57,3,coin_collector_agent,coin_collector_agent_3,400,400,1,0,4.0,4.0,0.0,0.0,37.0,12.0,131.0,4.0,400.0,0.42090678215026855,0.0010522669553756714,2.0,0
base_4coin,992326b,classic,822289,test,1,2.71,0,coin_collector_agent,coin_collector_agent_0,400,400,1,0,1.0,1.0,0.0,0.0,31.0,9.0,126.0,8.0,400.0,0.4502108097076416,0.001125527024269104,3.5,0
base_4coin,992326b,classic,822289,test,1,2.71,1,coin_collector_agent,coin_collector_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,35.0,14.0,127.0,2.0,400.0,0.4432351589202881,0.0011080878973007203,2.0,0
base_4coin,992326b,classic,822289,test,1,2.71,2,coin_collector_agent,coin_collector_agent_2,400,96,0,0,1.0,1.0,0.0,0.0,20.0,8.0,83.0,5.0,96.0,0.18595314025878906,0.0019370118776957195,3.5,0
base_4coin,992326b,classic,822289,test,1,2.71,3,coin_collector_agent,coin_collector_agent_3,400,400,1,0,8.0,3.0,1.0,0.0,35.0,11.0,122.0,10.0,400.0,0.45070719718933105,0.0011267679929733276,1.0,1
base_4coin,992326b,classic,362119,test,1,2.04,0,coin_collector_agent,coin_collector_agent_0,193,193,1,0,8.0,3.0,1.0,0.0,34.0,14.0,174.0,1.0,193.0,0.5284106731414795,0.00273787913544808,2.0,0
base_4coin,992326b,classic,362119,test,1,2.04,1,coin_collector_agent,coin_collector_agent_1,193,128,0,0,7.0,2.0,1.0,0.0,34.0,12.0,113.0,3.0,128.0,0.20658326148986816,0.001613931730389595,3.0,0
base_4coin,992326b,classic,362119,test,1,2.04,2,coin_collector_agent,coin_collector_agent_2,193,118,0,1,0.0,0.0,0.0,1.0,29.0,11.0,102.0,5.0,118.0,0.1938467025756836,0.0016427686658956238,4.0,0
base_4coin,992326b,classic,362119,test,1,2.04,3,coin_collector_agent,coin_collector_agent_3,193,117,0,0,9.0,4.0,1.0,0.0,24.0,8.0,105.0,4.0,117.0,0.19614315032958984,0.0016764371823041867,1.0,1
base_4coin,992326b,classic,492423,test,1,2.32,0,coin_collector_agent,coin_collector_agent_0,400,400,1,0,1.0,1.0,0.0,0.0,36.0,12.0,130.0,2.0,400.0,0.38692235946655273,0.0009673058986663819,4.0,0
