tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
base_4random,992326b,classic,905112,test,1,1.26,0,random_agent,random_agent_0,36,16,0,1,0.0,0.0,0.0,1.0,5.0,1.0,2.0,13.0,16.0,0.006560087203979492,0.00041000545024871826,2.5,0
base_4random,992326b,classic,905112,test,1,1.26,1,random_agent,random_agent_1,36,29,0,1,0.0,0.0,0.0,1.0,3.0,1.0,6.0,22.0,29.0,0.010606765747070312,0.00036575054300242457,2.5,0
base_4random,992326b,classic,905112,test,1,1.26,2,random_agent,random_agent_2,36,8,0,1,0.0,0.0,0.0,1.0,3.0,1.0,2.0,5.0,8.0,0.0030393600463867188,0.00037992000579833984,2.5,0
base_4random,992326b,classic,905112,test,1,1.26,3,random_agent,random_agent_3,36,36,0,1,0.0,0.0,0.0,1.0,5.0,2.0,13.0,21.0,36.0,0.013046979904174805,0.0003624161084493001,2.5,0
base_4random,992326b,classic,822289,test,1,1.37,0,random_agent,random_agent_0,19,19,0,1,0.0,0.0,0.0,1.0,3.0,1.0,5.0,13.0,19.0,0.006558656692504883,0.000345192457500257,2.5,0
base_4random,992326b,classic,822289,test,1,1.37,1,random_agent,random_agent_1,19,5,0,1,0.0,0.0,0.0,1.0,4.0,1.0,1.0,3.0,5.0,0.002010822296142578,0.0004021644592285156,2.5,0
base_4random,992326b,classic,822289,test,1,1.37,2,random_agent,random_agent_2,19,10,0,1,0.0,0.0,0.0,1.0,2.0,1.0,2.0,7.0,10.0,0.0030069351196289062,0.00030069351196289064,2.5,0
base_4random,992326b,classic,822289,test,1,1.37,3,random_agent,random_agent_3,19,9,0,1,0.0,0.0,0.0,1.0,3.0,1.0,1.0,7.0,9.0,0.003004312515258789,0.000333812501695421,2.5,0
base_4random,992326b,classic,362119,test,1,1.35,0,random_agent,random_agent_0,31,7,0,1,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,7.0,0.0019943714141845703,0.0002849102020263672,2.5,0
base_4random,992326b,classic,362119,test,1,1.35,1,random_agent,random_agent_1,31,24,0,1,0.0,0.0,0.0,1.0,4.0,1.0,9.0,14.0,24.0,0.002996206283569336,0.00012484192848205566,2.5,0
base_4random,992326b,classic,362119,test,1,1.35,2,random_agent,random_agent_2,31,10,0,1,0.0,0.0,0.0,1.0,2.0,1.0,4.0,5.0,10.0,0.0029935836791992188,0.00029935836791992185,2.5,0
base_4random,992326b,classic,362119,test,1,1.35,3,random_agent,random_agent_3,31,31,0,1,0.0,0.0,0.0,1.0,4.0,1.0,13.0,17.0,31.0,0.004987239837646484,0.00016087870444020917,2.5,0
base_4random,992326b,classic,492423,test,1,1.17,0,random_agent,random_agent_0,25,12,0,1,0.0,0.0,0.0,1.0,3.0,1.0,3.0,8.0,12.0,0.000993490219116211,8.279085159301758e-05,2.5,0
base_4random,992326b,classic,492423,test,1,1.17,1,random_agent,random_agent_1,25,25,0,1,0.0,0.0,0.0,1.0,2.0,1.0,12.0,12.0,25.0,0.005973339080810547,0.00023893356323242187,2.5,0
base_4random,992326b,classic,492423,test,1,1.17,2,random_agent,random_agent_2,25,12,0,1,0.0,0.0,0.0,1.0,3.0,1.0,1.0,10.0,12.0,0.000997781753540039,8.314847946166992e-05,2.5,0
base_4random,992326b,classic,492423,test,1,1.17,3,random_agent,random_agent_3,25,13,0,1,0.0,0.0,0.0,1.0,2.0,1.0,4.0,8.0,13.0,0.0039098262786865234,0.00030075586759127106,2.5,0
base_4random,992326b,classic,953188,test,1,1.2,0,random_agent,random_agent_0,72,7,0,1,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,7.0,0.0,0.0,2.5,0
base_4random,992326b,classic,953188,test,1,1.2,1,random_agent,random_agent_1,72,72,0,1,0.0,0.0,0.0,1.0,6.0,2.0,27.0,43.0,72.0,0.011568307876586914,0.00016067094273037382,2.5,0
base_4random,992326b,classic,953188,test,1,1.2,2,random_agent,random_agent_2,72,9,0,1,0.0,0.0,0.0,1.0,3.0,1.0,3.0,5.0,9.0,0.0009953975677490234,0.0001105997297498915,2.5,0
base_4random,992326b,classic,953188,test,1,1.2,3,random_agent,random_agent_3,72,30,0,1,0.0,0.0,0.0,1.0,3.0,1.0,9.0,20.0,30.0,0.008965253829956055,0.0002988417943318685,2.5,0
base_4random,992326b,classic,353751,test,1,1.18,0,random_agent,random_agent_0,52,41,0,1,0.0,0.0,0.0,1.0,0.0,2.0,18.0,21.0,41.0,0.005568265914916992,0.00013581136377846322,2.5,0
base_4random,992326b,classic,353751,test,1,1.18,1,random_agent,random_agent_1,52,8,0,1,0.0,0.0,0.0,1.0,2.0,1.0,4.0,3.0,8.0,0.0,0.0,2.5,0
base_4random,992326b,classic,353751,test,1,1.18,2,random_agent,random_agent_2,52,52,0,1,0.0,0.0,0.0,1.0,6.0,2.0,10.0,40.0,52.0,0.010229825973510742,0.00019672742256751427,2.5,0
