tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
base_4rule,992326b,classic,905112,test,1,2.05,0,rule_based_agent,rule_based_agent_0,236,146,0,1,0.0,0.0,0.0,1.0,29.0,11.0,129.0,6.0,146.0,0.23698663711547852,0.0016231961446265652,3.5,0
base_4rule,992326b,classic,905112,test,1,2.05,1,rule_based_agent,rule_based_agent_1,236,42,0,1,6.0,6.0,0.0,1.0,10.0,4.0,35.0,3.0,42.0,0.037381649017333984,0.0008900392623174758,1.0,1
base_4rule,992326b,classic,905112,test,1,2.05,2,rule_based_agent,rule_based_agent_2,236,236,1,0,3.0,3.0,0.0,0.0,61.0,23.0,204.0,5.0,236.0,0.5488030910491943,0.002325436826479637,2.0,0
base_4rule,992326b,classic,905112,test,1,2.05,3,rule_based_agent,rule_based_agent_3,236,131,0,1,0.0,0.0,0.0,1.0,23.0,12.0,113.0,6.0,131.0,0.15381765365600586,0.0011741805622595867,3.5,0
base_4rule,992326b,classic,822289,test,1,3.0,0,rule_based_agent,rule_based_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,35.0,31.0,356.0,13.0,400.0,0.7592289447784424,0.001898072361946106,3.0,0
base_4rule,992326b,classic,822289,test,1,3.0,1,rule_based_agent,rule_based_agent_1,400,151,0,0,4.0,4.0,0.0,0.0,29.0,14.0,131.0,6.0,151.0,0.19896626472473145,0.0013176573822829896,2.0,0
base_4rule,992326b,classic,822289,test,1,3.0,2,rule_based_agent,rule_based_agent_2,400,93,0,1,1.0,1.0,0.0,1.0,15.0,9.0,79.0,5.0,93.0,0.13986611366271973,0.0015039367060507498,4.0,0
base_4rule,992326b,classic,822289,test,1,3.0,3,rule_based_agent,rule_based_agent_3,400,400,1,0,7.0,2.0,1.0,0.0,42.0,34.0,355.0,11.0,400.0,0.706578254699707,0.0017664456367492676,1.0,1
base_4rule,992326b,classic,362119,test,1,2.12,0,rule_based_agent,rule_based_agent_0,224,224,1,0,7.0,2.0,1.0,0.0,26.0,18.0,190.0,12.0,224.0,0.44298648834228516,0.001977618251528059,1.0,1
base_4rule,992326b,classic,362119,test,1,2.12,1,rule_based_agent,rule_based_agent_1,224,161,0,1,1.0,1.0,0.0,1.0,42.0,19.0,135.0,7.0,161.0,0.2884330749511719,0.0017915097823054153,4.0,0
base_4rule,992326b,classic,362119,test,1,2.12,2,rule_based_agent,rule_based_agent_2,224,95,0,1,2.0,2.0,0.0,1.0,26.0,11.0,79.0,5.0,95.0,0.08845973014831543,0.000931155054192794,3.0,0
base_4rule,992326b,classic,362119,test,1,2.12,3,rule_based_agent,rule_based_agent_3,224,192,0,1,4.0,4.0,0.0,1.0,27.0,15.0,169.0,8.0,192.0,0.3472566604614258,0.0018086284399032593,2.0,0
base_4rule,992326b,classic,492423,test,1,3.25,0,rule_based_agent,rule_based_agent_0,400,400,1,0,9.0,4.0,1.0,0.0,40.0,32.0,355.0,12.0,400.0,0.7199130058288574,0.0017997825145721436,1.0,1
