tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,49594,val,1,2.07,0,q_agent,q_agent,305,234,0,1,0.0,0.0,0.0,1.0,1.0,3.0,11.0,0.0,234.0,0.23698973655700684,0.0010127766519530206,3.5,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,49594,val,1,2.07,1,rule_based_agent,rule_based_agent,305,305,1,0,12.0,7.0,1.0,0.0,63.0,26.0,272.0,3.0,305.0,0.4797675609588623,0.0015730083965864337,1.0,1
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,49594,val,1,2.07,2,coin_collector_agent,coin_collector_agent,305,202,0,1,2.0,2.0,0.0,1.0,63.0,18.0,181.0,3.0,202.0,0.33393049240112305,0.0016531212495105101,2.0,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,49594,val,1,2.07,3,peaceful_agent,peaceful_agent,305,182,0,0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,108.0,182.0,0.02508091926574707,0.000137807248712896,3.5,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,124020,val,1,1.7,0,q_agent,q_agent,393,307,0,1,0.0,0.0,0.0,1.0,0.0,3.0,67.0,0.0,307.0,0.17223620414733887,0.0005610299809359572,3.5,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,124020,val,1,1.7,1,rule_based_agent,rule_based_agent,393,393,1,0,13.0,8.0,1.0,0.0,91.0,37.0,350.0,2.0,393.0,0.5960831642150879,0.0015167510539824118,1.0,1
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,124020,val,1,1.7,2,coin_collector_agent,coin_collector_agent,393,48,0,1,1.0,1.0,0.0,1.0,21.0,6.0,40.0,2.0,48.0,0.030829668045043945,0.0006422847509384155,2.0,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,124020,val,1,1.7,3,peaceful_agent,peaceful_agent,393,165,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,121.0,165.0,0.018715620040893555,0.00011342800024783973,3.5,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,484337,val,1,1.53,0,q_agent,q_agent,343,18,0,1,0.0,0.0,0.0,1.0,4.0,2.0,14.0,0.0,18.0,0.012664556503295898,0.0007035864724053277,3.5,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,484337,val,1,1.53,1,rule_based_agent,rule_based_agent,343,343,1,0,17.0,7.0,2.0,0.0,79.0,31.0,306.0,2.0,343.0,0.6130492687225342,0.0017873156522522863,1.0,1
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,484337,val,1,1.53,2,coin_collector_agent,coin_collector_agent,343,99,0,0,2.0,2.0,0.0,0.0,37.0,11.0,86.0,2.0,99.0,0.08772158622741699,0.0008860766285597676,2.0,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,484337,val,1,1.53,3,peaceful_agent,peaceful_agent,343,118,0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,85.0,118.0,0.013592243194580078,0.00011518850164898371,3.5,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,208256,val,1,2.77,0,q_agent,q_agent,400,400,1,0,2.0,2.0,0.0,0.0,6.0,19.0,198.0,0.0,400.0,0.48732566833496094,0.0012183141708374022,3.0,0
final_heldout2_qagent_vs_mixed3,e2e0e1c,classic,208256,val,1,2.77,1,rule_based_agent,rule_based_agent,400,400,1,0,4.0,4.0,0.0,0.0,55.0,22.0,377.0,1.0,400.0,0.7763659954071045,0.0019409149885177613,2.0,0
