tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,49594,val,1,2.68,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,18.0,172.0,0.0,400.0,0.4602696895599365,0.0011506742238998413,4.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,49594,val,1,2.68,1,coin_collector_agent,coin_collector_agent_0,400,139,0,1,5.0,5.0,0.0,1.0,33.0,11.0,124.0,4.0,139.0,0.1819913387298584,0.0013092902066896288,1.0,1
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,49594,val,1,2.68,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,48.0,18.0,190.0,2.0,400.0,0.4899110794067383,0.0012247776985168457,2.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,49594,val,1,2.68,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,1.0,1.0,0.0,0.0,46.0,18.0,184.0,8.0,400.0,0.4785778522491455,0.0011964446306228637,3.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,124020,val,1,2.35,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,25.0,236.0,0.0,400.0,0.44127392768859863,0.0011031848192214965,4.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,124020,val,1,2.35,1,coin_collector_agent,coin_collector_agent_0,400,123,0,1,3.0,3.0,0.0,1.0,27.0,11.0,107.0,5.0,123.0,0.14092302322387695,0.0011457156359664792,2.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,124020,val,1,2.35,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,41.0,15.0,159.0,1.0,400.0,0.40188169479370117,0.001004704236984253,2.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,124020,val,1,2.35,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,3.0,3.0,0.0,0.0,44.0,17.0,154.0,4.0,400.0,0.4041259288787842,0.0010103148221969605,2.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,484337,val,1,2.03,0,q_agent,q_agent,400,18,0,1,0.0,0.0,0.0,1.0,4.0,2.0,14.0,0.0,18.0,0.006556034088134766,0.000364224116007487,4.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,484337,val,1,2.03,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,33.0,11.0,147.0,8.0,400.0,0.3727402687072754,0.0009318506717681885,2.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,484337,val,1,2.03,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,1.0,1.0,0.0,0.0,42.0,14.0,150.0,2.0,400.0,0.37198662757873535,0.0009299665689468384,3.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,484337,val,1,2.03,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,5.0,5.0,0.0,0.0,41.0,15.0,149.0,2.0,400.0,0.32685208320617676,0.0008171302080154419,1.0,1
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,208256,val,1,2.12,0,q_agent,q_agent,400,400,1,0,2.0,2.0,0.0,0.0,7.0,22.0,220.0,0.0,400.0,0.45064306259155273,0.0011266076564788818,2.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,208256,val,1,2.12,1,coin_collector_agent,coin_collector_agent_0,400,154,0,1,1.0,1.0,0.0,1.0,48.0,17.0,133.0,4.0,154.0,0.25346851348876953,0.0016458994382387631,3.5,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,208256,val,1,2.12,2,coin_collector_agent,coin_collector_agent_1,400,75,0,1,1.0,1.0,0.0,1.0,24.0,7.0,66.0,2.0,75.0,0.06803703308105469,0.0009071604410807292,3.5,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,208256,val,1,2.12,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,5.0,5.0,0.0,0.0,39.0,15.0,180.0,2.0,400.0,0.42429566383361816,0.0010607391595840454,1.0,1
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,277916,val,1,2.18,0,q_agent,q_agent,400,14,0,1,0.0,0.0,0.0,1.0,6.0,2.0,11.0,0.0,14.0,0.007572650909423828,0.0005409036363874163,4.0,0
final_heldout3_qagent_vs_coincollector3,e2e0e1c,classic,277916,val,1,2.18,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,35.0,12.0,156.0,3.0,400.0,0.41941356658935547,0.0010485339164733886,2.5,0
