tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,49594,val,1,6.28,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.2072291374206543,0.0005180728435516357,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,49594,val,1,6.28,1,rule_based_agent,rule_based_agent,400,84,0,1,2.0,2.0,0.0,1.0,28.0,9.0,71.0,4.0,84.0,0.08017992973327637,0.0009545229730151949,2.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,49594,val,1,6.28,2,dqn_agent,dqn_agent_0,400,400,1,0,7.0,2.0,1.0,0.0,24.0,10.0,378.0,0.0,400.0,1.3070487976074219,0.0032676219940185546,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,49594,val,1,6.28,3,dqn_agent,dqn_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,44.0,15.0,365.0,1.0,400.0,1.198063611984253,0.0029951590299606323,2.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,124020,val,1,5.21,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.20284366607666016,0.0005071091651916503,3.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,124020,val,1,5.21,1,rule_based_agent,rule_based_agent,400,66,0,1,0.0,0.0,0.0,1.0,11.0,8.0,51.0,7.0,66.0,0.06533336639404297,0.0009898994908188329,3.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,124020,val,1,5.21,2,dqn_agent,dqn_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,30.0,11.0,383.0,2.0,400.0,0.8845961093902588,0.002211490273475647,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,124020,val,1,5.21,3,dqn_agent,dqn_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,23.0,8.0,388.0,0.0,400.0,0.9345982074737549,0.002336495518684387,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,484337,val,1,4.3,0,q_agent,q_agent,400,18,0,1,0.0,0.0,0.0,1.0,4.0,2.0,14.0,0.0,18.0,0.013592720031738281,0.000755151112874349,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,484337,val,1,4.3,1,rule_based_agent,rule_based_agent,400,211,0,1,5.0,0.0,1.0,1.0,65.0,21.0,186.0,4.0,211.0,0.21404027938842773,0.00101440890705416,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,484337,val,1,4.3,2,dqn_agent,dqn_agent_0,400,134,0,0,3.0,3.0,0.0,0.0,16.0,5.0,123.0,2.0,134.0,0.2717597484588623,0.002028057824319868,3.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,484337,val,1,4.3,3,dqn_agent,dqn_agent_1,400,400,1,0,6.0,6.0,0.0,0.0,35.0,38.0,334.0,1.0,400.0,0.6664206981658936,0.0016660517454147338,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,208256,val,1,5.43,0,q_agent,q_agent,400,400,1,0,2.0,2.0,0.0,0.0,6.0,5.0,46.0,1.0,400.0,0.47080349922180176,0.0011770087480545044,2.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,208256,val,1,5.43,1,rule_based_agent,rule_based_agent,400,95,0,1,0.0,0.0,0.0,1.0,22.0,10.0,83.0,2.0,95.0,0.08575797080993652,0.0009027154822098581,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,208256,val,1,5.43,2,dqn_agent,dqn_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,39.0,10.0,385.0,1.0,400.0,0.9220645427703857,0.0023051613569259645,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,208256,val,1,5.43,3,dqn_agent,dqn_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,11.0,6.0,392.0,0.0,400.0,0.9073481559753418,0.0022683703899383546,2.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,277916,val,1,4.96,0,q_agent,q_agent,400,14,0,1,0.0,0.0,0.0,1.0,6.0,2.0,11.0,0.0,14.0,0.008591175079345703,0.0006136553628104073,3.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,277916,val,1,4.96,1,rule_based_agent,rule_based_agent,400,195,0,1,5.0,5.0,0.0,1.0,62.0,20.0,172.0,3.0,195.0,0.16913318634033203,0.0008673496735401643,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,277916,val,1,4.96,2,dqn_agent,dqn_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,10.0,8.0,388.0,0.0,400.0,1.0639021396636963,0.0026597553491592408,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,277916,val,1,4.96,3,dqn_agent,dqn_agent_1,400,400,1,0,0.0,0.0,0.0,0.0,5.0,2.0,397.0,0.0,400.0,0.6963653564453125,0.0017409133911132813,3.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,790804,val,1,4.18,0,q_agent,q_agent,400,43,0,0,0.0,0.0,0.0,0.0,5.0,2.0,15.0,0.0,43.0,0.02335977554321289,0.0005432505940282067,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,790804,val,1,4.18,1,rule_based_agent,rule_based_agent,400,147,0,1,8.0,3.0,1.0,1.0,52.0,15.0,127.0,5.0,147.0,0.11894106864929199,0.0008091229159815781,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,790804,val,1,4.18,2,dqn_agent,dqn_agent_0,400,400,1,0,9.0,4.0,1.0,0.0,30.0,37.0,343.0,0.0,400.0,0.5683143138885498,0.0014207857847213746,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,790804,val,1,4.18,3,dqn_agent,dqn_agent_1,400,169,0,0,2.0,2.0,0.0,0.0,13.0,6.0,157.0,2.0,169.0,0.3822031021118164,0.002261556817229683,3.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,804280,val,1,5.97,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,400.0,0.4293172359466553,0.0010732930898666381,3.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,804280,val,1,5.97,1,rule_based_agent,rule_based_agent,400,137,0,1,0.0,0.0,0.0,1.0,36.0,16.0,111.0,10.0,137.0,0.1321241855621338,0.0009644101135922174,3.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,804280,val,1,5.97,2,dqn_agent,dqn_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,27.0,9.0,385.0,0.0,400.0,1.3426437377929688,0.0033566093444824217,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,804280,val,1,5.97,3,dqn_agent,dqn_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,25.0,15.0,377.0,1.0,400.0,0.9260482788085938,0.0023151206970214843,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,545879,val,1,4.65,0,q_agent,q_agent,400,51,0,1,0.0,0.0,0.0,1.0,8.0,4.0,41.0,0.0,51.0,0.041701316833496094,0.0008176728790881587,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,545879,val,1,4.65,1,rule_based_agent,rule_based_agent,400,260,0,1,3.0,3.0,0.0,1.0,77.0,29.0,217.0,14.0,260.0,0.2733118534088135,0.0010511994361877442,1.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,545879,val,1,4.65,2,dqn_agent,dqn_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,20.0,24.0,359.0,3.0,400.0,0.6992843151092529,0.0017482107877731324,1.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,545879,val,1,4.65,3,dqn_agent,dqn_agent_1,400,206,0,1,2.0,2.0,0.0,1.0,10.0,15.0,179.0,3.0,206.0,0.49503087997436523,0.002403062524147404,3.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,406102,val,1,4.98,0,q_agent,q_agent,400,91,0,1,3.0,3.0,0.0,1.0,7.0,8.0,70.0,0.0,91.0,0.08271360397338867,0.0009089407030042711,3.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,406102,val,1,4.98,1,rule_based_agent,rule_based_agent,400,165,0,1,4.0,4.0,0.0,1.0,44.0,14.0,148.0,3.0,165.0,0.20282554626464844,0.0012292457349372633,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,406102,val,1,4.98,2,dqn_agent,dqn_agent_0,400,400,1,0,5.0,0.0,1.0,0.0,17.0,11.0,383.0,0.0,400.0,0.8826906681060791,0.002206726670265198,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,406102,val,1,4.98,3,dqn_agent,dqn_agent_1,400,400,1,0,1.0,1.0,0.0,0.0,8.0,11.0,386.0,2.0,400.0,0.8630297183990479,0.0021575742959976194,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,636789,val,1,5.23,0,q_agent,q_agent,400,8,0,1,0.0,0.0,0.0,1.0,3.0,1.0,6.0,0.0,8.0,0.0025191307067871094,0.00031489133834838867,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,636789,val,1,5.23,1,rule_based_agent,rule_based_agent,400,213,0,1,2.0,2.0,0.0,1.0,71.0,21.0,187.0,5.0,213.0,0.2605319023132324,0.0012231544709541428,3.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,636789,val,1,5.23,2,dqn_agent,dqn_agent_0,400,400,1,0,7.0,2.0,1.0,0.0,14.0,6.0,392.0,0.0,400.0,0.7942855358123779,0.001985713839530945,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,636789,val,1,5.23,3,dqn_agent,dqn_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,10.0,8.0,383.0,0.0,400.0,0.9473006725311279,0.0023682516813278197,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,624167,val,1,5.48,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,10.0,4.0,46.0,0.0,400.0,0.43023014068603516,0.0010755753517150879,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,624167,val,1,5.48,1,rule_based_agent,rule_based_agent,400,53,0,1,1.0,1.0,0.0,1.0,13.0,6.0,45.0,2.0,53.0,0.04924726486206055,0.0009291936766426519,3.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,624167,val,1,5.48,2,dqn_agent,dqn_agent_0,400,400,1,0,6.0,1.0,1.0,0.0,11.0,6.0,392.0,1.0,400.0,0.9955565929412842,0.0024888914823532103,1.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,624167,val,1,5.48,3,dqn_agent,dqn_agent_1,400,400,1,0,6.0,1.0,1.0,0.0,13.0,5.0,394.0,0.0,400.0,0.9992890357971191,0.002498222589492798,1.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,762722,val,1,5.83,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.1906414031982422,0.00047660350799560546,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,762722,val,1,5.83,1,rule_based_agent,rule_based_agent,400,57,0,1,1.0,1.0,0.0,1.0,18.0,6.0,47.0,4.0,57.0,0.05582427978515625,0.0009793733295641448,3.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,762722,val,1,5.83,2,dqn_agent,dqn_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,29.0,8.0,387.0,0.0,400.0,1.2466320991516113,0.0031165802478790284,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,762722,val,1,5.83,3,dqn_agent,dqn_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,33.0,12.0,386.0,0.0,400.0,1.0946967601776123,0.002736741900444031,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,839781,val,1,4.86,0,q_agent,q_agent,400,109,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,109.0,0.06595683097839355,0.0006051085410861794,3.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,839781,val,1,4.86,1,rule_based_agent,rule_based_agent,400,66,0,1,0.0,0.0,0.0,1.0,23.0,8.0,54.0,4.0,66.0,0.06125783920288086,0.0009281490788315282,3.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,839781,val,1,4.86,2,dqn_agent,dqn_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,19.0,7.0,389.0,0.0,400.0,0.8358871936798096,0.002089717984199524,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,839781,val,1,4.86,3,dqn_agent,dqn_agent_1,400,400,1,0,6.0,1.0,1.0,0.0,23.0,10.0,385.0,0.0,400.0,0.8377995491027832,0.002094498872756958,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,186192,val,1,5.9,0,q_agent,q_agent,400,112,0,1,0.0,0.0,0.0,1.0,8.0,11.0,89.0,1.0,112.0,0.09395861625671387,0.0008389162165778023,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,186192,val,1,5.9,1,rule_based_agent,rule_based_agent,400,234,0,1,4.0,4.0,0.0,1.0,58.0,23.0,203.0,8.0,234.0,0.24339652061462402,0.0010401560710026668,1.0,1
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,186192,val,1,5.9,2,dqn_agent,dqn_agent_0,400,400,1,0,1.0,1.0,0.0,0.0,13.0,22.0,354.0,2.0,400.0,1.1628658771514893,0.002907164692878723,2.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,186192,val,1,5.9,3,dqn_agent,dqn_agent_1,400,400,1,0,1.0,1.0,0.0,0.0,14.0,8.0,371.0,0.0,400.0,1.171621561050415,0.0029290539026260378,2.5,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,318385,val,1,5.23,0,q_agent,q_agent,400,103,0,0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,103.0,0.05951380729675293,0.0005778039543374071,4.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,318385,val,1,5.23,1,rule_based_agent,rule_based_agent,400,182,0,1,3.0,3.0,0.0,1.0,38.0,16.0,159.0,7.0,182.0,0.21662211418151855,0.0011902313966017503,3.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,318385,val,1,5.23,2,dqn_agent,dqn_agent_0,400,400,1,0,6.0,1.0,1.0,0.0,35.0,25.0,355.0,3.0,400.0,0.8628604412078857,0.0021571511030197142,2.0,0
final_heldout4_qagent_vs_rule_and_frozendqn2,bccc813,classic,318385,val,1,5.23,3,dqn_agent,dqn_agent_1,400,400,1,0,9.0,4.0,1.0,0.0,21.0,20.0,360.0,3.0,400.0,0.9425389766693115,0.0023563474416732786,1.0,1
