tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
heldout2_qagent_vs_mixed3,e2e0e1c,classic,49594,val,1,1.66,0,q_agent,q_agent,310,14,0,1,0.0,0.0,0.0,1.0,3.0,2.0,10.0,0.0,14.0,0.005407571792602539,0.00038625512804303853,3.5,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,49594,val,1,1.66,1,rule_based_agent,rule_based_agent,310,310,1,0,12.0,7.0,1.0,0.0,74.0,28.0,279.0,3.0,310.0,0.5498604774475098,0.0017737434756371284,1.0,1
heldout2_qagent_vs_mixed3,e2e0e1c,classic,49594,val,1,1.66,2,coin_collector_agent,coin_collector_agent,310,186,0,1,2.0,2.0,0.0,1.0,50.0,16.0,166.0,4.0,186.0,0.2051386833190918,0.0011028961468768376,2.0,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,49594,val,1,1.66,3,peaceful_agent,peaceful_agent,310,202,0,0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,119.0,202.0,0.0224306583404541,0.00011104286307155496,3.5,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,124020,val,1,1.46,0,q_agent,q_agent,260,28,0,1,0.0,0.0,0.0,1.0,5.0,4.0,21.0,0.0,28.0,0.022313594818115234,0.0007969141006469727,3.5,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,124020,val,1,1.46,1,rule_based_agent,rule_based_agent,260,260,1,0,9.0,4.0,1.0,0.0,51.0,24.0,228.0,4.0,260.0,0.4675760269165039,0.001798369334294246,1.0,1
heldout2_qagent_vs_mixed3,e2e0e1c,classic,124020,val,1,1.46,2,coin_collector_agent,coin_collector_agent,260,171,0,1,5.0,5.0,0.0,1.0,56.0,16.0,150.0,5.0,171.0,0.18004894256591797,0.001052917792783146,2.0,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,124020,val,1,1.46,3,peaceful_agent,peaceful_agent,260,119,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,90.0,119.0,0.01546478271484375,0.00012995615726759454,3.5,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,484337,val,1,1.4,0,q_agent,q_agent,242,21,0,1,0.0,0.0,0.0,1.0,5.0,3.0,13.0,0.0,21.0,0.010670900344848633,0.0005081381116594587,3.5,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,484337,val,1,1.4,1,rule_based_agent,rule_based_agent,242,242,1,0,2.0,2.0,0.0,0.0,59.0,21.0,216.0,1.0,242.0,0.33836841583251953,0.0013982165943492544,2.0,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,484337,val,1,1.4,2,coin_collector_agent,coin_collector_agent,242,196,0,1,12.0,7.0,1.0,1.0,56.0,19.0,173.0,4.0,196.0,0.2596001625061035,0.0013244906250311403,1.0,1
heldout2_qagent_vs_mixed3,e2e0e1c,classic,484337,val,1,1.4,3,peaceful_agent,peaceful_agent,242,124,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,83.0,124.0,0.01898980140686035,0.00015314355973274478,3.5,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,208256,val,1,1.73,0,q_agent,q_agent,370,201,0,1,1.0,1.0,0.0,1.0,3.0,12.0,171.0,0.0,201.0,0.12024331092834473,0.0005982254275042026,3.0,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,208256,val,1,1.73,1,rule_based_agent,rule_based_agent,370,370,1,0,11.0,6.0,1.0,0.0,81.0,33.0,332.0,1.0,370.0,0.6542654037475586,0.0017682848749934017,1.0,1
heldout2_qagent_vs_mixed3,e2e0e1c,classic,208256,val,1,1.73,2,coin_collector_agent,coin_collector_agent,370,101,0,1,2.0,2.0,0.0,1.0,34.0,10.0,87.0,4.0,101.0,0.08864712715148926,0.0008776943282325669,2.0,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,208256,val,1,1.73,3,peaceful_agent,peaceful_agent,370,201,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,124.0,201.0,0.019531965255737305,9.71739564962055e-05,4.0,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,277916,val,1,1.8,0,q_agent,q_agent,388,7,0,1,0.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,7.0,0.003004789352416992,0.000429255621773856,3.5,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,277916,val,1,1.8,1,rule_based_agent,rule_based_agent,388,388,1,0,10.0,5.0,1.0,0.0,79.0,32.0,350.0,2.0,388.0,0.715402364730835,0.0018438205276567912,1.0,1
heldout2_qagent_vs_mixed3,e2e0e1c,classic,277916,val,1,1.8,2,coin_collector_agent,coin_collector_agent,388,183,0,1,4.0,4.0,0.0,1.0,37.0,14.0,165.0,4.0,183.0,0.232529878616333,0.0012706550744061914,2.0,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,277916,val,1,1.8,3,peaceful_agent,peaceful_agent,388,267,0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,151.0,267.0,0.0253448486328125,9.492452671465356e-05,3.5,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,790804,val,1,1.56,0,q_agent,q_agent,340,14,0,1,0.0,0.0,0.0,1.0,2.0,2.0,10.0,0.0,14.0,0.007027864456176758,0.0005019903182983398,4.0,0
heldout2_qagent_vs_mixed3,e2e0e1c,classic,790804,val,1,1.56,1,rule_based_agent,rule_based_agent,340,340,1,0,11.0,6.0,1.0,0.0,60.0,28.0,306.0,2.0,340.0,0.5789089202880859,0.0017026732949649587,1.0,1
heldout2_qagent_vs_mixed3,e2e0e1c,classic,790804,val,1,1.56,2,coin_collector_agent,coin_collector_agent,340,133,0,1,2.0,2.0,0.0,1.0,52.0,13.0,117.0,3.0,133.0,0.12691593170166016,0.0009542551255763922,2.0,0
