tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,49594,val,1,2.23,0,q_agent,q_agent,400,14,0,1,0.0,0.0,0.0,1.0,3.0,2.0,10.0,0.0,14.0,0.007127046585083008,0.0005090747560773577,4.0,0
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,49594,val,1,2.23,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,4.0,4.0,0.0,0.0,34.0,13.0,176.0,3.0,400.0,0.4584047794342041,0.0011460119485855102,1.0,1
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,49594,val,1,2.23,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,47.0,18.0,172.0,2.0,400.0,0.39441704750061035,0.0009860426187515258,3.0,0
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,49594,val,1,2.23,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,3.0,3.0,0.0,0.0,43.0,13.0,173.0,6.0,400.0,0.408858060836792,0.00102214515209198,2.0,0
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,124020,val,1,1.79,0,q_agent,q_agent,400,40,0,1,1.0,1.0,0.0,1.0,5.0,5.0,31.0,0.0,40.0,0.03458261489868164,0.000864565372467041,3.5,0
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,124020,val,1,1.79,1,coin_collector_agent,coin_collector_agent_0,400,95,0,1,1.0,1.0,0.0,1.0,33.0,11.0,82.0,2.0,95.0,0.07129120826721191,0.0007504337712338097,3.5,0
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,124020,val,1,1.79,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,48.0,16.0,154.0,0.0,400.0,0.4259510040283203,0.0010648775100708008,1.0,1
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,124020,val,1,1.79,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,3.0,3.0,0.0,0.0,26.0,12.0,153.0,5.0,400.0,0.42204737663269043,0.0010551184415817261,2.0,0
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,484337,val,1,1.92,0,q_agent,q_agent,400,21,0,1,0.0,0.0,0.0,1.0,5.0,3.0,13.0,0.0,21.0,0.012074708938598633,0.0005749861399332682,3.5,0
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,484337,val,1,1.92,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,0.0,0.0,0.0,0.0,39.0,13.0,144.0,3.0,400.0,0.36060619354248047,0.0009015154838562012,3.5,0
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,484337,val,1,1.92,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,39.0,13.0,145.0,2.0,400.0,0.3506455421447754,0.0008766138553619384,2.0,0
heldout3_qagent_vs_coincollector3,e2e0e1c,classic,484337,val,1,1.92,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,7.0,7.0,0.0,0.0,37.0,12.0,146.0,2.0,400.0,0.29064178466796875,0.0007266044616699219,1.0,1
