tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,49594,val,1,1.49,0,q_agent,q_agent_0,400,13,0,1,0.0,0.0,0.0,1.0,5.0,2.0,8.0,0.0,13.0,0.00601959228515625,0.0004630455603966346,3.0,0
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,49594,val,1,1.49,1,rule_based_agent,rule_based_agent,400,400,1,0,9.0,9.0,0.0,0.0,114.0,37.0,362.0,1.0,400.0,0.6425051689147949,0.0016062629222869872,1.0,1
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,49594,val,1,1.49,2,q_agent,q_agent_1,400,6,0,1,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,6.0,0.0030002593994140625,0.0005000432332356771,3.0,0
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,49594,val,1,1.49,3,q_agent,q_agent_2,400,13,0,1,0.0,0.0,0.0,1.0,3.0,2.0,8.0,0.0,13.0,0.009142875671386719,0.0007032981285682091,3.0,0
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,124020,val,1,1.44,0,q_agent,q_agent_0,372,35,0,1,0.0,0.0,0.0,1.0,9.0,5.0,25.0,0.0,35.0,0.015522003173828125,0.00044348580496651784,3.0,0
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,124020,val,1,1.44,1,rule_based_agent,rule_based_agent,372,372,1,0,9.0,9.0,0.0,0.0,95.0,36.0,330.0,2.0,372.0,0.6104946136474609,0.0016411145528157551,1.0,1
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,124020,val,1,1.44,2,q_agent,q_agent_1,372,7,0,1,0.0,0.0,0.0,1.0,4.0,1.0,5.0,0.0,7.0,0.004021644592285156,0.0005745206560407366,3.0,0
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,124020,val,1,1.44,3,q_agent,q_agent_2,372,112,0,1,0.0,0.0,0.0,1.0,4.0,2.0,107.0,0.0,112.0,0.056612491607666016,0.0005054686750684466,3.0,0
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,484337,val,1,1.29,0,q_agent,q_agent_0,370,21,0,1,0.0,0.0,0.0,1.0,5.0,3.0,13.0,0.0,21.0,0.00860738754272461,0.00040987559727260044,3.0,0
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,484337,val,1,1.29,1,rule_based_agent,rule_based_agent,370,370,1,0,9.0,9.0,0.0,0.0,109.0,36.0,328.0,2.0,370.0,0.5292074680328369,0.0014302904541428024,1.0,1
heldout4_qagent_vs_rule_and_frozenself2,e2e0e1c,classic,484337,val,1,1.29,2,q_agent,q_agent_1,370,13,0,1,0.0,0.0,0.0,1.0,3.0,2.0,9.0,0.0,13.0,0.008586406707763672,0.0006604928236741286,3.0,0
