tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
pilot_s3_q_vs_peaceful,af6b511,classic,49594,val,1,0.74,0,tabular_q_agent,tabular_q_agent,400,400,1,0,0.0,0.0,0.0,0.0,30.0,10.0,371.0,0.0,400.0,0.20370173454284668,0.0005092543363571167,1.5,0
pilot_s3_q_vs_peaceful,af6b511,classic,49594,val,1,0.74,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,268.0,400.0,0.062103986740112305,0.00015525996685028076,1.5,0
pilot_s3_q_vs_peaceful,af6b511,classic,124020,val,1,0.69,0,tabular_q_agent,tabular_q_agent,400,400,1,0,1.0,1.0,0.0,0.0,26.0,10.0,371.0,0.0,400.0,0.15608620643615723,0.00039021551609039304,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,124020,val,1,0.69,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,242.0,400.0,0.06336021423339844,0.0001584005355834961,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,484337,val,1,0.67,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,18.0,8.0,373.0,0.0,400.0,0.15424513816833496,0.0003856128454208374,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,484337,val,1,0.67,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,263.0,400.0,0.06192612648010254,0.00015481531620025634,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,208256,val,1,0.71,0,tabular_q_agent,tabular_q_agent,400,400,1,0,4.0,4.0,0.0,0.0,60.0,21.0,343.0,0.0,400.0,0.1858994960784912,0.000464748740196228,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,208256,val,1,0.71,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,264.0,400.0,0.06184077262878418,0.00015460193157196045,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,277916,val,1,0.55,0,tabular_q_agent,tabular_q_agent,400,400,1,0,7.0,2.0,1.0,0.0,60.0,19.0,348.0,0.0,400.0,0.15703988075256348,0.00039259970188140867,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,277916,val,1,0.55,1,peaceful_agent,peaceful_agent,400,112,0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,66.0,112.0,0.017106056213378906,0.00015273264476231167,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,790804,val,1,0.69,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,36.0,10.0,373.0,0.0,400.0,0.16811466217041016,0.0004202866554260254,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,790804,val,1,0.69,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,285.0,400.0,0.061643362045288086,0.00015410840511322023,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,804280,val,1,0.68,0,tabular_q_agent,tabular_q_agent,400,400,1,0,0.0,0.0,0.0,0.0,18.0,7.0,375.0,0.0,400.0,0.15801143646240234,0.00039502859115600583,1.5,0
pilot_s3_q_vs_peaceful,af6b511,classic,804280,val,1,0.68,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,229.0,400.0,0.061196088790893555,0.0001529902219772339,1.5,0
pilot_s3_q_vs_peaceful,af6b511,classic,545879,val,1,0.68,0,tabular_q_agent,tabular_q_agent,400,400,1,0,5.0,5.0,0.0,0.0,58.0,18.0,351.0,0.0,400.0,0.15872740745544434,0.00039681851863861085,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,545879,val,1,0.68,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,247.0,400.0,0.06055855751037598,0.00015139639377593995,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,406102,val,1,0.71,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,33.0,9.0,53.0,0.0,400.0,0.18251585960388184,0.0004562896490097046,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,406102,val,1,0.71,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,266.0,400.0,0.06226348876953125,0.00015565872192382812,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,636789,val,1,0.67,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,18.0,7.0,377.0,0.0,400.0,0.15743303298950195,0.0003935825824737549,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,636789,val,1,0.67,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,259.0,400.0,0.0607151985168457,0.00015178799629211425,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,624167,val,1,0.76,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,51.0,14.0,362.0,0.0,400.0,0.24069428443908691,0.0006017357110977173,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,624167,val,1,0.76,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,266.0,400.0,0.06122946739196777,0.00015307366847991944,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,762722,val,1,0.65,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,16.0,7.0,378.0,0.0,400.0,0.12772011756896973,0.00031930029392242433,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,762722,val,1,0.65,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,273.0,400.0,0.06121635437011719,0.00015304088592529296,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,839781,val,1,0.74,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,68.0,23.0,105.0,0.0,400.0,0.21333646774291992,0.0005333411693572998,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,839781,val,1,0.74,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,272.0,400.0,0.06154942512512207,0.00015387356281280519,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,186192,val,1,0.71,0,tabular_q_agent,tabular_q_agent,400,400,1,0,5.0,5.0,0.0,0.0,94.0,32.0,309.0,0.0,400.0,0.18335247039794922,0.00045838117599487303,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,186192,val,1,0.71,1,peaceful_agent,peaceful_agent,400,400,1,0,2.0,2.0,0.0,0.0,0.0,0.0,233.0,167.0,400.0,0.06182742118835449,0.00015456855297088623,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,318385,val,1,0.71,0,tabular_q_agent,tabular_q_agent,400,400,1,0,1.0,1.0,0.0,0.0,57.0,17.0,71.0,0.0,400.0,0.18748784065246582,0.0004687196016311646,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,318385,val,1,0.71,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,249.0,400.0,0.06094074249267578,0.00015235185623168945,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,400072,val,1,0.7,0,tabular_q_agent,tabular_q_agent,400,400,1,0,6.0,6.0,0.0,0.0,91.0,28.0,157.0,0.0,400.0,0.1751394271850586,0.0004378485679626465,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,400072,val,1,0.7,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,220.0,400.0,0.061238765716552734,0.00015309691429138183,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,282475,val,1,0.71,0,tabular_q_agent,tabular_q_agent,400,400,1,0,6.0,6.0,0.0,0.0,80.0,28.0,138.0,0.0,400.0,0.18485307693481445,0.00046213269233703614,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,282475,val,1,0.71,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,280.0,400.0,0.06029152870178223,0.00015072882175445556,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,650547,val,1,0.7,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,49.0,15.0,362.0,0.0,400.0,0.17397856712341309,0.0004349464178085327,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,650547,val,1,0.7,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,271.0,400.0,0.06189703941345215,0.00015474259853363038,2.0,0
pilot_s3_q_vs_peaceful,af6b511,classic,35508,val,1,0.72,0,tabular_q_agent,tabular_q_agent,400,400,1,0,0.0,0.0,0.0,0.0,20.0,6.0,31.0,0.0,400.0,0.20083355903625488,0.0005020838975906372,1.5,0
pilot_s3_q_vs_peaceful,af6b511,classic,35508,val,1,0.72,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,277.0,400.0,0.061525821685791016,0.00015381455421447753,1.5,0
pilot_s3_q_vs_peaceful,af6b511,classic,228967,val,1,0.7,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,34.0,11.0,365.0,0.0,400.0,0.17325878143310547,0.00043314695358276367,1.0,1
pilot_s3_q_vs_peaceful,af6b511,classic,228967,val,1,0.7,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,270.0,400.0,0.06150650978088379,0.00015376627445220947,2.0,0
