tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
pilot_s3_sarsa_vs_peaceful,af6b511,classic,49594,val,1,0.91,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,0.0,0.0,0.0,0.0,28.0,7.0,383.0,0.0,400.0,0.37720584869384766,0.0009430146217346191,1.5,0
pilot_s3_sarsa_vs_peaceful,af6b511,classic,49594,val,1,0.91,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,251.0,400.0,0.06303811073303223,0.00015759527683258058,1.5,0
pilot_s3_sarsa_vs_peaceful,af6b511,classic,124020,val,1,0.73,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,6.0,1.0,1.0,0.0,56.0,25.0,333.0,0.0,400.0,0.2904055118560791,0.0007260137796401977,1.0,1
pilot_s3_sarsa_vs_peaceful,af6b511,classic,124020,val,1,0.73,1,peaceful_agent,peaceful_agent,400,176,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,91.0,176.0,0.02826976776123047,0.00016062368046153676,2.0,0
pilot_s3_sarsa_vs_peaceful,af6b511,classic,484337,val,1,0.53,0,tabular_sarsa_agent,tabular_sarsa_agent,400,153,0,1,2.0,2.0,0.0,1.0,57.0,20.0,93.0,1.0,153.0,0.08379340171813965,0.0005476692922754226,1.0,1
pilot_s3_sarsa_vs_peaceful,af6b511,classic,484337,val,1,0.53,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,178.0,400.0,0.060339927673339844,0.00015084981918334962,2.0,0
pilot_s3_sarsa_vs_peaceful,af6b511,classic,208256,val,1,0.89,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,6.0,6.0,0.0,0.0,97.0,34.0,313.0,0.0,400.0,0.348862886428833,0.0008721572160720826,1.0,1
pilot_s3_sarsa_vs_peaceful,af6b511,classic,208256,val,1,0.89,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,231.0,400.0,0.06241965293884277,0.00015604913234710694,2.0,0
pilot_s3_sarsa_vs_peaceful,af6b511,classic,277916,val,1,0.65,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,10.0,5.0,1.0,0.0,83.0,30.0,313.0,0.0,400.0,0.2361452579498291,0.0005903631448745727,1.0,1
pilot_s3_sarsa_vs_peaceful,af6b511,classic,277916,val,1,0.65,1,peaceful_agent,peaceful_agent,400,131,0,0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,86.0,131.0,0.0205533504486084,0.00015689580495120914,2.0,0
