tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
ppo_stage1_1025,bccc813,coin-heaven,49594,val,1,2.11,0,ppo_agent,ppo_agent,400,400,1,0,48.0,48.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.32051610946655273,0.0008012902736663818,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,124020,val,1,1.57,0,ppo_agent,ppo_agent,400,400,1,0,41.0,41.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.21564531326293945,0.0005391132831573486,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,484337,val,1,1.59,0,ppo_agent,ppo_agent,400,400,1,0,28.0,28.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.2238149642944336,0.000559537410736084,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,208256,val,1,1.17,0,ppo_agent,ppo_agent,125,125,1,0,50.0,50.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,0.07450103759765625,0.00059600830078125,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,277916,val,1,1.19,0,ppo_agent,ppo_agent,125,125,1,0,50.0,50.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,0.07547211647033691,0.0006037769317626953,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,790804,val,1,1.64,0,ppo_agent,ppo_agent,400,400,1,0,40.0,40.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.296006441116333,0.0007400161027908325,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,804280,val,1,1.16,0,ppo_agent,ppo_agent,112,112,1,0,50.0,50.0,0.0,0.0,0.0,0.0,112.0,0.0,112.0,0.06333255767822266,0.0005654692649841309,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,545879,val,1,1.56,0,ppo_agent,ppo_agent,400,400,1,0,47.0,47.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.2271556854248047,0.0005678892135620117,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,406102,val,1,1.56,0,ppo_agent,ppo_agent,400,400,1,0,27.0,27.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.2150728702545166,0.0005376821756362915,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,636789,val,1,1.64,0,ppo_agent,ppo_agent,400,400,1,0,26.0,26.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.24765348434448242,0.0006191337108612061,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,624167,val,1,1.54,0,ppo_agent,ppo_agent,400,400,1,0,39.0,39.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.22340846061706543,0.0005585211515426636,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,762722,val,1,1.52,0,ppo_agent,ppo_agent,400,400,1,0,48.0,48.0,0.0,0.0,0.0,0.0,399.0,0.0,400.0,0.25436830520629883,0.000635920763015747,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,839781,val,1,1.25,0,ppo_agent,ppo_agent,400,400,1,0,23.0,23.0,0.0,0.0,0.0,0.0,399.0,0.0,400.0,0.21312355995178223,0.0005328088998794555,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,186192,val,1,1.15,0,ppo_agent,ppo_agent,400,400,1,0,47.0,47.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.18013334274291992,0.0004503333568572998,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,318385,val,1,1.21,0,ppo_agent,ppo_agent,400,400,1,0,47.0,47.0,0.0,0.0,0.0,0.0,399.0,0.0,400.0,0.2252521514892578,0.0005631303787231445,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,400072,val,1,1.18,0,ppo_agent,ppo_agent,400,400,1,0,36.0,36.0,0.0,0.0,0.0,0.0,399.0,0.0,400.0,0.17413783073425293,0.0004353445768356323,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,282475,val,1,1.1,0,ppo_agent,ppo_agent,400,400,1,0,44.0,44.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.18079853057861328,0.0004519963264465332,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,650547,val,1,1.03,0,ppo_agent,ppo_agent,400,400,1,0,44.0,44.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.16904473304748535,0.0004226118326187134,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,35508,val,1,0.99,0,ppo_agent,ppo_agent,400,400,1,0,48.0,48.0,0.0,0.0,0.0,0.0,399.0,0.0,400.0,0.1958301067352295,0.0004895752668380737,1.0,1
ppo_stage1_1025,bccc813,coin-heaven,228967,val,1,0.97,0,ppo_agent,ppo_agent,400,400,1,0,49.0,49.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.17745327949523926,0.00044363319873809816,1.0,1
