tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
q_s4_proto_3coin,af6b511,classic,49594,val,1,3.74,0,tabular_q_agent,tabular_q_agent,400,400,1,0,0.0,0.0,0.0,0.0,39.0,44.0,255.0,0.0,400.0,0.6352221965789795,0.0015880554914474488,4.0,0
q_s4_proto_3coin,af6b511,classic,49594,val,1,3.74,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,24.0,9.0,127.0,1.0,400.0,0.5050806999206543,0.0012627017498016357,3.0,0
q_s4_proto_3coin,af6b511,classic,49594,val,1,3.74,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,26.0,10.0,125.0,0.0,400.0,0.4849088191986084,0.001212272047996521,1.0,1
q_s4_proto_3coin,af6b511,classic,49594,val,1,3.74,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,3.0,3.0,0.0,0.0,38.0,11.0,123.0,2.0,400.0,0.47019147872924805,0.00117547869682312,2.0,0
q_s4_proto_3coin,af6b511,classic,124020,val,1,2.63,0,tabular_q_agent,tabular_q_agent,400,77,0,1,0.0,0.0,0.0,1.0,26.0,10.0,45.0,1.0,77.0,0.10236740112304688,0.0013294467678317775,4.0,0
q_s4_proto_3coin,af6b511,classic,124020,val,1,2.63,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,31.0,12.0,104.0,3.0,400.0,0.5347685813903809,0.0013369214534759521,2.5,0
q_s4_proto_3coin,af6b511,classic,124020,val,1,2.63,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,24.0,10.0,107.0,2.0,400.0,0.5498006343841553,0.0013745015859603883,2.5,0
q_s4_proto_3coin,af6b511,classic,124020,val,1,2.63,3,coin_collector_agent,coin_collector_agent_2,400,96,0,1,5.0,5.0,0.0,1.0,31.0,9.0,85.0,2.0,96.0,0.14968490600585938,0.0015592177708943684,1.0,1
q_s4_proto_3coin,af6b511,classic,484337,val,1,4.22,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,29.0,41.0,261.0,0.0,400.0,0.9159605503082275,0.0022899013757705687,2.5,0
q_s4_proto_3coin,af6b511,classic,484337,val,1,4.22,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,0.0,0.0,0.0,0.0,42.0,13.0,118.0,1.0,400.0,0.5313422679901123,0.0013283556699752808,4.0,0
q_s4_proto_3coin,af6b511,classic,484337,val,1,4.22,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,22.0,9.0,121.0,2.0,400.0,0.5464074611663818,0.0013660186529159547,2.5,0
q_s4_proto_3coin,af6b511,classic,484337,val,1,4.22,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,5.0,5.0,0.0,0.0,27.0,8.0,121.0,3.0,400.0,0.5119009017944336,0.001279752254486084,1.0,1
q_s4_proto_3coin,af6b511,classic,208256,val,1,2.65,0,tabular_q_agent,tabular_q_agent,400,58,0,1,2.0,2.0,0.0,1.0,20.0,8.0,35.0,0.0,58.0,0.05663800239562988,0.0009765172826832738,2.5,0
q_s4_proto_3coin,af6b511,classic,208256,val,1,2.65,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,1.0,1.0,0.0,0.0,37.0,14.0,125.0,3.0,400.0,0.5393993854522705,0.0013484984636306762,4.0,0
q_s4_proto_3coin,af6b511,classic,208256,val,1,2.65,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,30.0,11.0,130.0,1.0,400.0,0.5534625053405762,0.0013836562633514405,1.0,1
q_s4_proto_3coin,af6b511,classic,208256,val,1,2.65,3,coin_collector_agent,coin_collector_agent_2,400,142,0,1,2.0,2.0,0.0,1.0,31.0,11.0,123.0,8.0,142.0,0.25691676139831543,0.0018092729675937707,2.5,0
q_s4_proto_3coin,af6b511,classic,277916,val,1,2.81,0,tabular_q_agent,tabular_q_agent,400,400,1,0,1.0,1.0,0.0,0.0,35.0,16.0,350.0,0.0,400.0,0.6105787754058838,0.0015264469385147094,3.0,0
q_s4_proto_3coin,af6b511,classic,277916,val,1,2.81,1,coin_collector_agent,coin_collector_agent_0,400,129,0,1,1.0,1.0,0.0,1.0,35.0,11.0,115.0,3.0,129.0,0.23471903800964355,0.0018195274264313453,3.0,0
q_s4_proto_3coin,af6b511,classic,277916,val,1,2.81,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,11.0,6.0,1.0,0.0,23.0,11.0,143.0,5.0,400.0,0.5680513381958008,0.001420128345489502,1.0,1
q_s4_proto_3coin,af6b511,classic,277916,val,1,2.81,3,coin_collector_agent,coin_collector_agent_2,400,86,0,0,1.0,1.0,0.0,0.0,26.0,9.0,73.0,4.0,86.0,0.11859750747680664,0.0013790407846140306,3.0,0
q_s4_proto_3coin,af6b511,classic,790804,val,1,3.15,0,tabular_q_agent,tabular_q_agent,400,70,0,1,1.0,1.0,0.0,1.0,22.0,9.0,39.0,1.0,70.0,0.0832068920135498,0.0011886698859078543,3.5,0
q_s4_proto_3coin,af6b511,classic,790804,val,1,3.15,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,5.0,5.0,0.0,0.0,22.0,9.0,116.0,1.0,400.0,0.5403220653533936,0.0013508051633834839,1.0,1
q_s4_proto_3coin,af6b511,classic,790804,val,1,3.15,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,41.0,12.0,114.0,0.0,400.0,0.5404441356658936,0.0013511103391647338,2.0,0
q_s4_proto_3coin,af6b511,classic,790804,val,1,3.15,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,1.0,1.0,0.0,0.0,29.0,9.0,117.0,0.0,400.0,0.5285677909851074,0.0013214194774627687,3.5,0
q_s4_proto_3coin,af6b511,classic,804280,val,1,3.08,0,tabular_q_agent,tabular_q_agent,400,400,1,0,1.0,1.0,0.0,0.0,29.0,17.0,357.0,0.0,400.0,0.944267988204956,0.00236066997051239,3.0,0
q_s4_proto_3coin,af6b511,classic,804280,val,1,3.08,1,coin_collector_agent,coin_collector_agent_0,400,91,0,1,0.0,0.0,0.0,1.0,24.0,9.0,81.0,1.0,91.0,0.1499955654144287,0.0016483029166420738,4.0,0
q_s4_proto_3coin,af6b511,classic,804280,val,1,3.08,2,coin_collector_agent,coin_collector_agent_1,400,93,0,1,2.0,2.0,0.0,1.0,39.0,10.0,79.0,4.0,93.0,0.15345430374145508,0.0016500462767898396,2.0,0
q_s4_proto_3coin,af6b511,classic,804280,val,1,3.08,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,6.0,6.0,0.0,0.0,31.0,12.0,141.0,1.0,400.0,0.5789022445678711,0.0014472556114196776,1.0,1
q_s4_proto_3coin,af6b511,classic,545879,val,1,3.7,0,tabular_q_agent,tabular_q_agent,400,400,1,0,1.0,1.0,0.0,0.0,30.0,37.0,254.0,1.0,400.0,0.7745687961578369,0.0019364219903945923,4.0,0
q_s4_proto_3coin,af6b511,classic,545879,val,1,3.7,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,46.0,14.0,153.0,4.0,400.0,0.6034390926361084,0.001508597731590271,2.5,0
q_s4_proto_3coin,af6b511,classic,545879,val,1,3.7,2,coin_collector_agent,coin_collector_agent_1,400,105,0,1,4.0,4.0,0.0,1.0,28.0,9.0,91.0,5.0,105.0,0.1672511100769043,0.0015928677150181363,1.0,1
q_s4_proto_3coin,af6b511,classic,545879,val,1,3.7,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,2.0,2.0,0.0,0.0,25.0,11.0,158.0,2.0,400.0,0.6404101848602295,0.0016010254621505737,2.5,0
q_s4_proto_3coin,af6b511,classic,406102,val,1,3.73,0,tabular_q_agent,tabular_q_agent,400,400,1,0,1.0,1.0,0.0,0.0,30.0,41.0,264.0,0.0,400.0,0.9015407562255859,0.002253851890563965,3.0,0
q_s4_proto_3coin,af6b511,classic,406102,val,1,3.73,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,9.0,4.0,1.0,0.0,33.0,11.0,121.0,1.0,400.0,0.5484838485717773,0.0013712096214294435,1.0,1
q_s4_proto_3coin,af6b511,classic,406102,val,1,3.73,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,0.0,0.0,0.0,0.0,29.0,11.0,120.0,2.0,400.0,0.5354776382446289,0.0013386940956115723,4.0,0
q_s4_proto_3coin,af6b511,classic,406102,val,1,3.73,3,coin_collector_agent,coin_collector_agent_2,400,117,0,1,4.0,4.0,0.0,1.0,37.0,9.0,105.0,3.0,117.0,0.21190333366394043,0.001811139603965303,2.0,0
q_s4_proto_3coin,af6b511,classic,636789,val,1,4.37,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,33.0,43.0,256.0,0.0,400.0,0.9133198261260986,0.002283299565315247,2.0,0
q_s4_proto_3coin,af6b511,classic,636789,val,1,4.37,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,0.0,0.0,0.0,0.0,34.0,10.0,130.0,2.0,400.0,0.5687541961669922,0.0014218854904174804,4.0,0
q_s4_proto_3coin,af6b511,classic,636789,val,1,4.37,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,30.0,11.0,128.0,3.0,400.0,0.5502853393554688,0.0013757133483886718,2.0,0
q_s4_proto_3coin,af6b511,classic,636789,val,1,4.37,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,3.0,3.0,0.0,0.0,23.0,8.0,133.0,2.0,400.0,0.5710551738739014,0.0014276379346847535,2.0,0
q_s4_proto_3coin,af6b511,classic,624167,val,1,3.39,0,tabular_q_agent,tabular_q_agent,400,400,1,0,5.0,0.0,1.0,0.0,33.0,44.0,265.0,0.0,400.0,0.7371630668640137,0.0018429076671600342,1.5,0
q_s4_proto_3coin,af6b511,classic,624167,val,1,3.39,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,37.0,13.0,114.0,3.0,400.0,0.5425527095794678,0.0013563817739486695,3.5,0
