tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
q_s4_proto_3rule,af6b511,classic,49594,val,1,2.46,0,tabular_q_agent,tabular_q_agent,247,157,0,1,3.0,3.0,0.0,1.0,36.0,16.0,110.0,0.0,157.0,0.22980785369873047,0.0014637442910747163,3.0,0
q_s4_proto_3rule,af6b511,classic,49594,val,1,2.46,1,rule_based_agent,rule_based_agent_0,247,239,0,1,6.0,1.0,1.0,1.0,21.0,22.0,203.0,13.0,239.0,0.36588573455810547,0.0015309026550548346,1.0,1
q_s4_proto_3rule,af6b511,classic,49594,val,1,2.46,2,rule_based_agent,rule_based_agent_1,247,247,1,0,1.0,1.0,0.0,0.0,25.0,23.0,207.0,8.0,247.0,0.38963985443115234,0.0015774892891949489,4.0,0
q_s4_proto_3rule,af6b511,classic,49594,val,1,2.46,3,rule_based_agent,rule_based_agent_2,247,239,0,0,4.0,4.0,0.0,0.0,45.0,21.0,206.0,10.0,239.0,0.35038137435913086,0.001466030855059125,2.0,0
q_s4_proto_3rule,af6b511,classic,124020,val,1,2.34,0,tabular_q_agent,tabular_q_agent,300,300,1,0,1.0,1.0,0.0,0.0,31.0,31.0,208.0,1.0,300.0,0.4519219398498535,0.0015064064661661784,3.5,0
q_s4_proto_3rule,af6b511,classic,124020,val,1,2.34,1,rule_based_agent,rule_based_agent_0,300,296,0,1,1.0,1.0,0.0,1.0,24.0,23.0,265.0,8.0,296.0,0.43631744384765625,0.0014740454184042442,3.5,0
q_s4_proto_3rule,af6b511,classic,124020,val,1,2.34,2,rule_based_agent,rule_based_agent_1,300,143,0,1,7.0,2.0,1.0,1.0,28.0,14.0,125.0,4.0,143.0,0.21288132667541504,0.0014886806061217834,1.0,1
q_s4_proto_3rule,af6b511,classic,124020,val,1,2.34,3,rule_based_agent,rule_based_agent_2,300,110,0,0,5.0,5.0,0.0,0.0,29.0,12.0,93.0,5.0,110.0,0.15342402458190918,0.001394763859835538,2.0,0
q_s4_proto_3rule,af6b511,classic,484337,val,1,4.72,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,33.0,42.0,258.0,1.0,400.0,0.8646571636199951,0.0021616429090499877,3.0,0
q_s4_proto_3rule,af6b511,classic,484337,val,1,4.72,1,rule_based_agent,rule_based_agent_0,400,400,1,0,5.0,0.0,1.0,0.0,39.0,22.0,374.0,4.0,400.0,0.8634634017944336,0.002158658504486084,1.5,0
q_s4_proto_3rule,af6b511,classic,484337,val,1,4.72,2,rule_based_agent,rule_based_agent_1,400,400,1,0,1.0,1.0,0.0,0.0,20.0,19.0,375.0,5.0,400.0,0.818894624710083,0.0020472365617752075,4.0,0
q_s4_proto_3rule,af6b511,classic,484337,val,1,4.72,3,rule_based_agent,rule_based_agent_2,400,229,0,0,5.0,5.0,0.0,0.0,28.0,17.0,204.0,8.0,229.0,0.40168237686157227,0.001754071514679355,1.5,0
q_s4_proto_3rule,af6b511,classic,208256,val,1,3.79,0,tabular_q_agent,tabular_q_agent,400,246,0,0,2.0,2.0,0.0,0.0,32.0,19.0,188.0,2.0,246.0,0.4688284397125244,0.0019058066654980667,3.0,0
q_s4_proto_3rule,af6b511,classic,208256,val,1,3.79,1,rule_based_agent,rule_based_agent_0,400,400,1,0,0.0,0.0,0.0,0.0,31.0,33.0,352.0,15.0,400.0,0.7023518085479736,0.001755879521369934,4.0,0
q_s4_proto_3rule,af6b511,classic,208256,val,1,3.79,2,rule_based_agent,rule_based_agent_1,400,400,1,0,9.0,4.0,1.0,0.0,31.0,30.0,359.0,11.0,400.0,0.6802184581756592,0.001700546145439148,1.0,1
q_s4_proto_3rule,af6b511,classic,208256,val,1,3.79,3,rule_based_agent,rule_based_agent_2,400,263,0,1,3.0,3.0,0.0,1.0,24.0,23.0,229.0,11.0,263.0,0.4220466613769531,0.001604740157326818,2.0,0
q_s4_proto_3rule,af6b511,classic,277916,val,1,2.82,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,49.0,37.0,275.0,0.0,400.0,0.6035916805267334,0.0015089792013168336,2.5,0
q_s4_proto_3rule,af6b511,classic,277916,val,1,2.82,1,rule_based_agent,rule_based_agent_0,400,82,0,1,1.0,1.0,0.0,1.0,26.0,8.0,71.0,3.0,82.0,0.12168264389038086,0.0014839346815900105,4.0,0
q_s4_proto_3rule,af6b511,classic,277916,val,1,2.82,2,rule_based_agent,rule_based_agent_1,400,71,0,1,2.0,2.0,0.0,1.0,18.0,8.0,59.0,4.0,71.0,0.10378170013427734,0.0014617140863982725,2.5,0
q_s4_proto_3rule,af6b511,classic,277916,val,1,2.82,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,26.0,28.0,367.0,2.0,400.0,0.6973588466644287,0.0017433971166610717,1.0,1
q_s4_proto_3rule,af6b511,classic,790804,val,1,3.29,0,tabular_q_agent,tabular_q_agent,291,287,0,1,1.0,1.0,0.0,1.0,38.0,30.0,183.0,2.0,287.0,0.5319039821624756,0.0018533239796601937,4.0,0
q_s4_proto_3rule,af6b511,classic,790804,val,1,3.29,1,rule_based_agent,rule_based_agent_0,291,231,0,0,5.0,5.0,0.0,0.0,18.0,20.0,197.0,14.0,231.0,0.423586368560791,0.0018337072232068876,2.0,0
q_s4_proto_3rule,af6b511,classic,790804,val,1,3.29,2,rule_based_agent,rule_based_agent_1,291,261,0,1,2.0,2.0,0.0,1.0,30.0,23.0,221.0,17.0,261.0,0.486980676651001,0.0018658263473218428,3.0,0
q_s4_proto_3rule,af6b511,classic,790804,val,1,3.29,3,rule_based_agent,rule_based_agent_2,291,291,1,0,6.0,1.0,1.0,0.0,28.0,22.0,253.0,9.0,291.0,0.5037171840667725,0.0017309868868273968,1.0,1
q_s4_proto_3rule,af6b511,classic,804280,val,1,1.9,0,tabular_q_agent,tabular_q_agent,247,83,0,1,1.0,1.0,0.0,1.0,25.0,11.0,54.0,0.0,83.0,0.10370206832885742,0.001249422509986234,3.0,0
q_s4_proto_3rule,af6b511,classic,804280,val,1,1.9,1,rule_based_agent,rule_based_agent_0,247,145,0,1,0.0,0.0,0.0,1.0,26.0,13.0,126.0,6.0,145.0,0.25667881965637207,0.0017701987562508419,4.0,0
q_s4_proto_3rule,af6b511,classic,804280,val,1,1.9,2,rule_based_agent,rule_based_agent_1,247,109,0,1,2.0,2.0,0.0,1.0,31.0,10.0,95.0,4.0,109.0,0.18491172790527344,0.001696437870690582,2.0,0
q_s4_proto_3rule,af6b511,classic,804280,val,1,1.9,3,rule_based_agent,rule_based_agent_2,247,247,1,0,6.0,6.0,0.0,0.0,41.0,19.0,220.0,4.0,247.0,0.4541316032409668,0.0018385894868055337,1.0,1
q_s4_proto_3rule,af6b511,classic,545879,val,1,2.04,0,tabular_q_agent,tabular_q_agent,278,76,0,1,1.0,1.0,0.0,1.0,18.0,10.0,43.0,1.0,76.0,0.08025693893432617,0.0010560123543990286,3.5,0
