tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
q_s4_proto_mixed,af6b511,classic,49594,val,1,1.96,0,tabular_q_agent,tabular_q_agent,264,197,0,0,13.0,3.0,2.0,0.0,59.0,21.0,112.0,3.0,197.0,0.22300934791564941,0.0011320271467799463,1.0,1
q_s4_proto_mixed,af6b511,classic,49594,val,1,1.96,1,rule_based_agent,rule_based_agent,264,264,1,0,7.0,2.0,1.0,0.0,36.0,23.0,228.0,9.0,264.0,0.4439876079559326,0.0016817712422573204,2.0,0
q_s4_proto_mixed,af6b511,classic,49594,val,1,1.96,2,coin_collector_agent,coin_collector_agent,264,146,0,1,4.0,4.0,0.0,1.0,32.0,11.0,127.0,8.0,146.0,0.19223809242248535,0.0013166992631677078,3.0,0
q_s4_proto_mixed,af6b511,classic,49594,val,1,1.96,3,peaceful_agent,peaceful_agent,264,179,0,0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,112.0,179.0,0.05785727500915527,0.00032322500005114676,4.0,0
q_s4_proto_mixed,af6b511,classic,124020,val,1,2.69,0,tabular_q_agent,tabular_q_agent,400,400,1,0,0.0,0.0,0.0,0.0,40.0,30.0,284.0,2.0,400.0,0.7359809875488281,0.0018399524688720702,3.5,0
q_s4_proto_mixed,af6b511,classic,124020,val,1,2.69,1,rule_based_agent,rule_based_agent,400,400,1,0,13.0,8.0,1.0,0.0,51.0,30.0,362.0,7.0,400.0,0.6369931697845459,0.0015924829244613648,1.0,1
q_s4_proto_mixed,af6b511,classic,124020,val,1,2.69,2,coin_collector_agent,coin_collector_agent,400,48,0,1,1.0,1.0,0.0,1.0,21.0,6.0,40.0,2.0,48.0,0.0549468994140625,0.001144727071126302,2.0,0
q_s4_proto_mixed,af6b511,classic,124020,val,1,2.69,3,peaceful_agent,peaceful_agent,400,159,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,105.0,159.0,0.053511857986450195,0.00033655256595251695,3.5,0
q_s4_proto_mixed,af6b511,classic,484337,val,1,2.94,0,tabular_q_agent,tabular_q_agent,400,81,0,1,2.0,2.0,0.0,1.0,29.0,10.0,47.0,1.0,81.0,0.10442519187927246,0.0012891998997441045,3.0,0
q_s4_proto_mixed,af6b511,classic,484337,val,1,2.94,1,rule_based_agent,rule_based_agent,400,400,1,0,3.0,3.0,0.0,0.0,39.0,20.0,378.0,2.0,400.0,0.7998569011688232,0.001999642252922058,2.0,0
q_s4_proto_mixed,af6b511,classic,484337,val,1,2.94,2,coin_collector_agent,coin_collector_agent,400,400,1,0,9.0,4.0,1.0,0.0,52.0,18.0,177.0,0.0,400.0,0.6028478145599365,0.0015071195363998413,1.0,1
q_s4_proto_mixed,af6b511,classic,484337,val,1,2.94,3,peaceful_agent,peaceful_agent,400,109,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,65.0,109.0,0.04419136047363281,0.0004054253254461726,4.0,0
q_s4_proto_mixed,af6b511,classic,208256,val,1,3.02,0,tabular_q_agent,tabular_q_agent,400,400,1,0,8.0,3.0,1.0,0.0,44.0,31.0,282.0,7.0,400.0,0.7111043930053711,0.0017777609825134278,1.0,1
q_s4_proto_mixed,af6b511,classic,208256,val,1,3.02,1,rule_based_agent,rule_based_agent,400,400,1,0,2.0,2.0,0.0,0.0,37.0,26.0,369.0,5.0,400.0,0.6400749683380127,0.0016001874208450317,2.5,0
