tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
s3_q_vs_coin_722,af6b511,classic,49594,val,1,1.25,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,68.0,28.0,317.0,0.0,400.0,0.2249751091003418,0.0005624377727508545,2.0,0
s3_q_vs_coin_722,af6b511,classic,49594,val,1,1.25,1,coin_collector_agent,coin_collector_agent,400,400,1,0,7.0,7.0,0.0,0.0,59.0,22.0,229.0,1.0,400.0,0.35314416885375977,0.0008828604221343994,1.0,1
s3_q_vs_coin_722,af6b511,classic,124020,val,1,0.89,0,tabular_q_agent,tabular_q_agent,400,400,1,0,6.0,1.0,1.0,0.0,49.0,19.0,350.0,0.0,400.0,0.20697832107543945,0.0005174458026885986,1.0,1
s3_q_vs_coin_722,af6b511,classic,124020,val,1,0.89,1,coin_collector_agent,coin_collector_agent,400,147,0,0,4.0,4.0,0.0,0.0,48.0,15.0,129.0,3.0,147.0,0.13392233848571777,0.0009110363162293726,2.0,0
s3_q_vs_coin_722,af6b511,classic,484337,val,1,1.37,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,43.0,19.0,325.0,0.0,400.0,0.3215150833129883,0.0008037877082824707,2.0,0
s3_q_vs_coin_722,af6b511,classic,484337,val,1,1.37,1,coin_collector_agent,coin_collector_agent,400,400,1,0,7.0,7.0,0.0,0.0,77.0,24.0,238.0,1.0,400.0,0.3719460964202881,0.0009298652410507202,1.0,1
s3_q_vs_coin_722,af6b511,classic,208256,val,1,1.1,0,tabular_q_agent,tabular_q_agent,400,400,1,0,4.0,4.0,0.0,0.0,52.0,23.0,117.0,0.0,400.0,0.26755595207214355,0.0006688898801803589,1.0,1
s3_q_vs_coin_722,af6b511,classic,208256,val,1,1.1,1,coin_collector_agent,coin_collector_agent,400,171,0,1,1.0,1.0,0.0,1.0,56.0,16.0,149.0,6.0,171.0,0.18117976188659668,0.0010595307712666473,2.0,0
s3_q_vs_coin_722,af6b511,classic,277916,val,1,1.1,0,tabular_q_agent,tabular_q_agent,400,400,1,0,8.0,3.0,1.0,0.0,66.0,28.0,324.0,0.0,400.0,0.22220802307128906,0.0005555200576782227,1.0,1
s3_q_vs_coin_722,af6b511,classic,277916,val,1,1.1,1,coin_collector_agent,coin_collector_agent,400,145,0,0,6.0,6.0,0.0,0.0,51.0,14.0,127.0,4.0,145.0,0.15494966506958008,0.0010686183797902074,2.0,0
s3_q_vs_coin_722,af6b511,classic,790804,val,1,1.79,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,59.0,27.0,317.0,0.0,400.0,0.3066232204437256,0.0007665580511093139,2.0,0
s3_q_vs_coin_722,af6b511,classic,790804,val,1,1.79,1,coin_collector_agent,coin_collector_agent,400,400,1,0,6.0,6.0,0.0,0.0,55.0,21.0,231.0,1.0,400.0,0.5373902320861816,0.001343475580215454,1.0,1
s3_q_vs_coin_722,af6b511,classic,804280,val,1,1.81,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,70.0,29.0,323.0,0.0,400.0,0.3572404384613037,0.0008931010961532593,2.0,0
