tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
s3_q_vs_peaceful_722,af6b511,classic,49594,val,1,0.99,0,tabular_q_agent,tabular_q_agent,400,400,1,0,0.0,0.0,0.0,0.0,30.0,10.0,369.0,0.0,400.0,0.23002862930297852,0.0005750715732574463,1.5,0
s3_q_vs_peaceful_722,af6b511,classic,49594,val,1,0.99,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,275.0,400.0,0.08301305770874023,0.0002075326442718506,1.5,0
s3_q_vs_peaceful_722,af6b511,classic,124020,val,1,0.94,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,64.0,23.0,323.0,0.0,400.0,0.2141859531402588,0.000535464882850647,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,124020,val,1,0.94,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,256.0,400.0,0.0814061164855957,0.00020351529121398926,2.0,0
s3_q_vs_peaceful_722,af6b511,classic,484337,val,1,0.77,0,tabular_q_agent,tabular_q_agent,400,400,1,0,8.0,3.0,1.0,0.0,97.0,33.0,164.0,0.0,400.0,0.15741968154907227,0.00039354920387268066,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,484337,val,1,0.77,1,peaceful_agent,peaceful_agent,400,188,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,106.0,188.0,0.03863358497619629,0.000205497792426576,2.0,0
s3_q_vs_peaceful_722,af6b511,classic,208256,val,1,0.78,0,tabular_q_agent,tabular_q_agent,400,400,1,0,10.0,5.0,1.0,0.0,80.0,31.0,312.0,0.0,400.0,0.1606428623199463,0.00040160715579986574,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,208256,val,1,0.78,1,peaceful_agent,peaceful_agent,400,132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,91.0,132.0,0.03299427032470703,0.0002499565933689927,2.0,0
s3_q_vs_peaceful_722,af6b511,classic,277916,val,1,1.16,0,tabular_q_agent,tabular_q_agent,400,400,1,0,1.0,1.0,0.0,0.0,51.0,15.0,303.0,0.0,400.0,0.33538126945495605,0.0008384531736373901,1.5,0
s3_q_vs_peaceful_722,af6b511,classic,277916,val,1,1.16,1,peaceful_agent,peaceful_agent,400,400,1,0,1.0,1.0,0.0,0.0,0.0,0.0,215.0,185.0,400.0,0.09653735160827637,0.00024134337902069093,1.5,0
s3_q_vs_peaceful_722,af6b511,classic,790804,val,1,1.27,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,39.0,14.0,359.0,0.0,400.0,0.337665319442749,0.0008441632986068725,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,790804,val,1,1.27,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,273.0,400.0,0.10997986793518066,0.0002749496698379517,2.0,0
s3_q_vs_peaceful_722,af6b511,classic,804280,val,1,1.35,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,45.0,18.0,330.0,0.0,400.0,0.28432703018188477,0.000710817575454712,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,804280,val,1,1.35,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,230.0,400.0,0.12242937088012695,0.0003060734272003174,2.0,0
s3_q_vs_peaceful_722,af6b511,classic,545879,val,1,1.35,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,65.0,20.0,336.0,0.0,400.0,0.3228325843811035,0.0008070814609527588,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,545879,val,1,1.35,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,259.0,400.0,0.11985015869140625,0.00029962539672851563,2.0,0
s3_q_vs_peaceful_722,af6b511,classic,406102,val,1,1.36,0,tabular_q_agent,tabular_q_agent,400,400,1,0,3.0,3.0,0.0,0.0,33.0,11.0,59.0,0.0,400.0,0.33043551445007324,0.0008260887861251831,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,406102,val,1,1.36,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,259.0,400.0,0.12433433532714844,0.0003108358383178711,2.0,0
s3_q_vs_peaceful_722,af6b511,classic,636789,val,1,1.33,0,tabular_q_agent,tabular_q_agent,400,400,1,0,4.0,4.0,0.0,0.0,59.0,18.0,85.0,0.0,400.0,0.3027374744415283,0.0007568436861038208,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,636789,val,1,1.33,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,281.0,400.0,0.12097907066345215,0.00030244767665863035,2.0,0
s3_q_vs_peaceful_722,af6b511,classic,624167,val,1,1.33,0,tabular_q_agent,tabular_q_agent,400,400,1,0,0.0,0.0,0.0,0.0,46.0,14.0,351.0,0.0,400.0,0.3199789524078369,0.0007999473810195923,1.5,0
s3_q_vs_peaceful_722,af6b511,classic,624167,val,1,1.33,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,281.0,400.0,0.12049150466918945,0.0003012287616729736,1.5,0
s3_q_vs_peaceful_722,af6b511,classic,762722,val,1,1.25,0,tabular_q_agent,tabular_q_agent,400,400,1,0,2.0,2.0,0.0,0.0,38.0,14.0,351.0,0.0,400.0,0.2556779384613037,0.0006391948461532593,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,762722,val,1,1.25,1,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,255.0,400.0,0.11365771293640137,0.0002841442823410034,2.0,0
s3_q_vs_peaceful_722,af6b511,classic,839781,val,1,1.25,0,tabular_q_agent,tabular_q_agent,400,400,1,0,7.0,7.0,0.0,0.0,124.0,45.0,253.0,0.0,400.0,0.2568070888519287,0.0006420177221298218,1.0,1
s3_q_vs_peaceful_722,af6b511,classic,839781,val,1,1.25,1,peaceful_agent,peaceful_agent,400,400,1,0,1.0,1.0,0.0,0.0,0.0,0.0,189.0,211.0,400.0,0.11145305633544922,0.00027863264083862306,2.0,0
