tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
s3_sarsa_vs_coin_722,af6b511,classic,49594,val,1,1.43,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,1.0,1.0,0.0,0.0,5.0,5.0,116.0,0.0,400.0,0.33432769775390625,0.0008358192443847656,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,49594,val,1,1.43,1,coin_collector_agent,coin_collector_agent,400,400,1,0,8.0,8.0,0.0,0.0,122.0,36.0,354.0,1.0,400.0,0.40802693367004395,0.0010200673341751098,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,124020,val,1,1.37,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,0.0,0.0,0.0,0.0,22.0,11.0,178.0,0.0,400.0,0.3247191905975342,0.0008117979764938354,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,124020,val,1,1.37,1,coin_collector_agent,coin_collector_agent,400,400,1,0,9.0,9.0,0.0,0.0,90.0,29.0,256.0,1.0,400.0,0.3737034797668457,0.0009342586994171143,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,484337,val,1,1.3,0,tabular_sarsa_agent,tabular_sarsa_agent,350,350,1,0,3.0,3.0,0.0,0.0,26.0,15.0,94.0,1.0,350.0,0.2561349868774414,0.0007318142482212612,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,484337,val,1,1.3,1,coin_collector_agent,coin_collector_agent,350,345,0,1,6.0,6.0,0.0,1.0,94.0,29.0,311.0,5.0,345.0,0.37153148651123047,0.001076902859452842,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,208256,val,1,1.74,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,4.0,4.0,0.0,0.0,51.0,45.0,281.0,0.0,400.0,0.492398738861084,0.00123099684715271,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,208256,val,1,1.74,1,coin_collector_agent,coin_collector_agent,400,400,1,0,5.0,5.0,0.0,0.0,67.0,20.0,229.0,2.0,400.0,0.4074733257293701,0.0010186833143234252,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,277916,val,1,2.02,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,3.0,3.0,0.0,0.0,36.0,34.0,309.0,0.0,400.0,0.5538313388824463,0.0013845783472061157,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,277916,val,1,2.02,1,coin_collector_agent,coin_collector_agent,400,400,1,0,6.0,6.0,0.0,0.0,83.0,27.0,280.0,1.0,400.0,0.4861612319946289,0.0012154030799865724,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,790804,val,1,2.08,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,4.0,4.0,0.0,0.0,74.0,26.0,320.0,1.0,400.0,0.5988321304321289,0.0014970803260803223,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,790804,val,1,2.08,1,coin_collector_agent,coin_collector_agent,400,400,1,0,5.0,5.0,0.0,0.0,40.0,17.0,214.0,4.0,400.0,0.535076379776001,0.0013376909494400024,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,804280,val,1,1.66,0,tabular_sarsa_agent,tabular_sarsa_agent,400,274,0,1,0.0,0.0,0.0,1.0,29.0,9.0,51.0,1.0,274.0,0.21447968482971191,0.0007827725723712113,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,804280,val,1,1.66,1,coin_collector_agent,coin_collector_agent,400,400,1,0,7.0,7.0,0.0,0.0,90.0,32.0,368.0,0.0,400.0,0.5979022979736328,0.001494755744934082,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,545879,val,1,1.97,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,3.0,3.0,0.0,0.0,61.0,26.0,323.0,0.0,400.0,0.5382111072540283,0.0013455277681350707,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,545879,val,1,1.97,1,coin_collector_agent,coin_collector_agent,400,400,1,0,6.0,6.0,0.0,0.0,68.0,22.0,212.0,4.0,400.0,0.49910902976989746,0.0012477725744247437,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,406102,val,1,1.34,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,8.0,3.0,1.0,0.0,88.0,32.0,311.0,0.0,400.0,0.4913458824157715,0.0012283647060394288,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,406102,val,1,1.34,1,coin_collector_agent,coin_collector_agent,400,82,0,0,3.0,3.0,0.0,0.0,28.0,8.0,72.0,2.0,82.0,0.10048294067382812,0.0012254017155344894,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,636789,val,1,1.89,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,1.0,1.0,0.0,0.0,24.0,13.0,138.0,0.0,400.0,0.43947410583496094,0.0010986852645874024,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,636789,val,1,1.89,1,coin_collector_agent,coin_collector_agent,400,400,1,0,8.0,8.0,0.0,0.0,96.0,31.0,322.0,1.0,400.0,0.5333218574523926,0.0013333046436309814,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,624167,val,1,1.3,0,tabular_sarsa_agent,tabular_sarsa_agent,304,119,0,1,3.0,3.0,0.0,1.0,56.0,15.0,76.0,1.0,119.0,0.10863518714904785,0.0009129007323449399,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,624167,val,1,1.3,1,coin_collector_agent,coin_collector_agent,304,304,1,0,6.0,6.0,0.0,0.0,68.0,27.0,272.0,1.0,304.0,0.4971652030944824,0.0016354118522844817,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,762722,val,1,1.91,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,2.0,2.0,0.0,0.0,33.0,17.0,154.0,1.0,400.0,0.4324381351470947,0.0010810953378677368,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,762722,val,1,1.91,1,coin_collector_agent,coin_collector_agent,400,400,1,0,7.0,7.0,0.0,0.0,89.0,29.0,317.0,2.0,400.0,0.5259816646575928,0.001314954161643982,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,839781,val,1,1.91,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,1.0,1.0,0.0,0.0,13.0,8.0,95.0,0.0,400.0,0.3877828121185303,0.0009694570302963257,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,839781,val,1,1.91,1,coin_collector_agent,coin_collector_agent,400,400,1,0,8.0,8.0,0.0,0.0,115.0,36.0,357.0,4.0,400.0,0.5774016380310059,0.0014435040950775146,1.0,1
s3_sarsa_vs_coin_722,af6b511,classic,186192,val,1,1.82,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,4.0,4.0,0.0,0.0,54.0,43.0,285.0,0.0,400.0,0.4723365306854248,0.001180841326713562,2.0,0
s3_sarsa_vs_coin_722,af6b511,classic,186192,val,1,1.82,1,coin_collector_agent,coin_collector_agent,400,400,1,0,5.0,5.0,0.0,0.0,61.0,23.0,247.0,2.0,400.0,0.4581868648529053,0.0011454671621322632,1.0,1
