tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
sarsa_s4_proto_3coin,af6b511,classic,49594,val,1,4.44,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,0.0,0.0,0.0,0.0,33.0,13.0,367.0,0.0,400.0,1.7389514446258545,0.0043473786115646364,4.0,0
sarsa_s4_proto_3coin,af6b511,classic,49594,val,1,4.44,1,coin_collector_agent,coin_collector_agent_0,400,105,0,1,2.0,2.0,0.0,1.0,25.0,9.0,94.0,2.0,105.0,0.14973163604736328,0.0014260155814034598,3.0,0
sarsa_s4_proto_3coin,af6b511,classic,49594,val,1,4.44,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,31.0,12.0,136.0,1.0,400.0,0.519728422164917,0.0012993210554122926,1.0,1
sarsa_s4_proto_3coin,af6b511,classic,49594,val,1,4.44,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,3.0,3.0,0.0,0.0,38.0,14.0,134.0,1.0,400.0,0.5274951457977295,0.0013187378644943237,2.0,0
sarsa_s4_proto_3coin,af6b511,classic,124020,val,1,5.4,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,0.0,0.0,0.0,0.0,27.0,14.0,357.0,0.0,400.0,1.975895881652832,0.00493973970413208,4.0,0
sarsa_s4_proto_3coin,af6b511,classic,124020,val,1,5.4,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,27.0,10.0,99.0,4.0,400.0,0.5645551681518555,0.0014113879203796387,2.0,0
sarsa_s4_proto_3coin,af6b511,classic,124020,val,1,5.4,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,30.0,9.0,104.0,0.0,400.0,0.5397062301635742,0.0013492655754089354,1.0,1
sarsa_s4_proto_3coin,af6b511,classic,124020,val,1,5.4,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,2.0,2.0,0.0,0.0,28.0,11.0,100.0,2.0,400.0,0.5433461666107178,0.0013583654165267944,3.0,0
sarsa_s4_proto_3coin,af6b511,classic,484337,val,1,3.52,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,2.0,2.0,0.0,0.0,31.0,17.0,353.0,0.0,400.0,1.3606963157653809,0.003401740789413452,2.0,0
sarsa_s4_proto_3coin,af6b511,classic,484337,val,1,3.52,1,coin_collector_agent,coin_collector_agent_0,400,100,0,1,0.0,0.0,0.0,1.0,38.0,11.0,87.0,2.0,100.0,0.15004873275756836,0.0015004873275756836,4.0,0
sarsa_s4_proto_3coin,af6b511,classic,484337,val,1,3.52,2,coin_collector_agent,coin_collector_agent_1,400,101,0,1,1.0,1.0,0.0,1.0,22.0,8.0,87.0,6.0,101.0,0.16516828536987305,0.0016353295581175548,3.0,0
