tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
sarsa_s4_proto_mixed,af6b511,classic,49594,val,1,2.32,0,tabular_sarsa_agent,tabular_sarsa_agent,306,128,0,1,0.0,0.0,0.0,1.0,36.0,10.0,103.0,0.0,128.0,0.3625946044921875,0.002832770347595215,3.5,0
sarsa_s4_proto_mixed,af6b511,classic,49594,val,1,2.32,1,rule_based_agent,rule_based_agent,306,306,1,0,9.0,4.0,1.0,0.0,44.0,25.0,276.0,1.0,306.0,0.5428967475891113,0.001774172377742194,1.0,1
sarsa_s4_proto_mixed,af6b511,classic,49594,val,1,2.32,2,coin_collector_agent,coin_collector_agent,306,165,0,1,5.0,5.0,0.0,1.0,47.0,14.0,147.0,4.0,165.0,0.22498083114624023,0.0013635201887650923,2.0,0
sarsa_s4_proto_mixed,af6b511,classic,49594,val,1,2.32,3,peaceful_agent,peaceful_agent,306,192,0,0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,134.0,192.0,0.06775712966918945,0.0003529017170270284,3.5,0
sarsa_s4_proto_mixed,af6b511,classic,124020,val,1,2.42,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,2.0,2.0,0.0,0.0,42.0,19.0,347.0,0.0,400.0,0.8757457733154297,0.0021893644332885744,3.0,0
sarsa_s4_proto_mixed,af6b511,classic,124020,val,1,2.42,1,rule_based_agent,rule_based_agent,400,168,0,1,9.0,4.0,1.0,1.0,36.0,16.0,147.0,5.0,168.0,0.23237371444702148,0.0013831768717084611,1.0,1
sarsa_s4_proto_mixed,af6b511,classic,124020,val,1,2.42,2,coin_collector_agent,coin_collector_agent,400,99,0,1,3.0,3.0,0.0,1.0,33.0,10.0,87.0,2.0,99.0,0.1362760066986084,0.0013765253201879636,2.0,0
sarsa_s4_proto_mixed,af6b511,classic,124020,val,1,2.42,3,peaceful_agent,peaceful_agent,400,168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,124.0,168.0,0.05578947067260742,0.00033208018257504417,4.0,0
sarsa_s4_proto_mixed,af6b511,classic,484337,val,1,3.46,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,3.0,3.0,0.0,0.0,43.0,43.0,263.0,6.0,400.0,0.93096923828125,0.002327423095703125,2.0,0
sarsa_s4_proto_mixed,af6b511,classic,484337,val,1,3.46,1,rule_based_agent,rule_based_agent,400,400,1,0,13.0,3.0,2.0,0.0,44.0,34.0,352.0,11.0,400.0,0.733752965927124,0.0018343824148178102,1.0,1
sarsa_s4_proto_mixed,af6b511,classic,484337,val,1,3.46,2,coin_collector_agent,coin_collector_agent,400,129,0,0,2.0,2.0,0.0,0.0,33.0,12.0,115.0,2.0,129.0,0.22136616706848145,0.0017160167989804763,3.0,0
