tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,49594,val,1,4.26,0,dqn_agent,dqn_agent,400,400,1,0,6.0,1.0,1.0,0.0,28.0,15.0,361.0,1.0,400.0,0.8384387493133545,0.002096096873283386,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,49594,val,1,4.26,1,rule_based_agent,rule_based_agent,400,153,0,0,4.0,4.0,0.0,0.0,34.0,13.0,135.0,5.0,153.0,0.12786364555358887,0.0008357101016574436,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,49594,val,1,4.26,2,coin_collector_agent,coin_collector_agent,400,69,0,1,1.0,1.0,0.0,1.0,14.0,7.0,57.0,5.0,69.0,0.04456162452697754,0.0006458206453185151,3.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,49594,val,1,4.26,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,262.0,400.0,0.03391623497009277,8.479058742523193e-05,4.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,124020,val,1,3.0,0,dqn_agent,dqn_agent,248,83,0,1,0.0,0.0,0.0,1.0,21.0,8.0,65.0,2.0,83.0,0.15717363357543945,0.0018936582358486682,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,124020,val,1,3.0,1,rule_based_agent,rule_based_agent,248,151,0,1,11.0,6.0,1.0,1.0,36.0,15.0,130.0,6.0,151.0,0.11206579208374023,0.0007421575634684784,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,124020,val,1,3.0,2,coin_collector_agent,coin_collector_agent,248,248,1,0,3.0,3.0,0.0,0.0,55.0,24.0,214.0,6.0,248.0,0.38727378845214844,0.001561587856661889,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,124020,val,1,3.0,3,peaceful_agent,peaceful_agent,248,151,0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,114.0,151.0,0.011649131774902344,7.714656804571089e-05,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,484337,val,1,3.03,0,dqn_agent,dqn_agent,400,400,1,0,12.0,7.0,1.0,0.0,42.0,49.0,308.0,0.0,400.0,0.5004875659942627,0.0012512189149856568,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,484337,val,1,3.03,1,rule_based_agent,rule_based_agent,400,119,0,1,0.0,0.0,0.0,1.0,42.0,12.0,103.0,4.0,119.0,0.09049701690673828,0.0007604791336700696,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,484337,val,1,3.03,2,coin_collector_agent,coin_collector_agent,400,93,0,1,1.0,1.0,0.0,1.0,30.0,9.0,79.0,5.0,93.0,0.08045005798339844,0.0008650543869182628,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,484337,val,1,3.03,3,peaceful_agent,peaceful_agent,400,130,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,82.0,130.0,0.010297775268554688,7.921365591195913e-05,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,208256,val,1,3.53,0,dqn_agent,dqn_agent,400,52,0,1,2.0,2.0,0.0,1.0,11.0,6.0,39.0,1.0,52.0,0.09141397476196289,0.001757961053114671,3.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,208256,val,1,3.53,1,rule_based_agent,rule_based_agent,400,400,1,0,8.0,3.0,1.0,0.0,45.0,21.0,374.0,5.0,400.0,0.5983898639678955,0.0014959746599197388,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,208256,val,1,3.53,2,coin_collector_agent,coin_collector_agent,400,400,1,0,4.0,4.0,0.0,0.0,62.0,22.0,245.0,5.0,400.0,0.4641437530517578,0.0011603593826293944,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,208256,val,1,3.53,3,peaceful_agent,peaceful_agent,400,178,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,101.0,178.0,0.015797138214111328,8.874796749500746e-05,4.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,277916,val,1,3.52,0,dqn_agent,dqn_agent,400,84,0,1,2.0,2.0,0.0,1.0,28.0,10.0,65.0,1.0,84.0,0.14883017539978027,0.0017717878023783367,3.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,277916,val,1,3.52,1,rule_based_agent,rule_based_agent,400,400,1,0,6.0,1.0,1.0,0.0,45.0,28.0,367.0,5.0,400.0,0.5361392498016357,0.0013403481245040894,1.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,277916,val,1,3.52,2,coin_collector_agent,coin_collector_agent,400,400,1,0,6.0,6.0,0.0,0.0,46.0,19.0,241.0,6.0,400.0,0.4163539409637451,0.0010408848524093629,1.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,277916,val,1,3.52,3,peaceful_agent,peaceful_agent,400,128,0,0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,79.0,128.0,0.010128021240234375,7.912516593933105e-05,4.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,790804,val,1,3.22,0,dqn_agent,dqn_agent,400,400,1,0,4.0,4.0,0.0,0.0,37.0,43.0,301.0,0.0,400.0,0.5744073390960693,0.0014360183477401733,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,790804,val,1,3.22,1,rule_based_agent,rule_based_agent,400,50,0,1,2.0,2.0,0.0,1.0,11.0,5.0,41.0,4.0,50.0,0.04089045524597168,0.0008178091049194336,3.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,790804,val,1,3.22,2,coin_collector_agent,coin_collector_agent,400,156,0,1,8.0,3.0,1.0,1.0,50.0,14.0,139.0,3.0,156.0,0.15358424186706543,0.0009845143709427272,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,790804,val,1,3.22,3,peaceful_agent,peaceful_agent,400,88,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,46.0,88.0,0.007938623428344727,9.021162986755371e-05,4.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,804280,val,1,3.14,0,dqn_agent,dqn_agent,400,400,1,0,9.0,4.0,1.0,0.0,56.0,47.0,327.0,1.0,400.0,0.5222196578979492,0.001305549144744873,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,804280,val,1,3.14,1,rule_based_agent,rule_based_agent,400,61,0,1,0.0,0.0,0.0,1.0,21.0,7.0,51.0,3.0,61.0,0.045484066009521484,0.0007456404263855982,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,804280,val,1,3.14,2,coin_collector_agent,coin_collector_agent,400,126,0,0,8.0,3.0,1.0,0.0,41.0,13.0,109.0,4.0,126.0,0.1052408218383789,0.000835244617764912,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,804280,val,1,3.14,3,peaceful_agent,peaceful_agent,400,81,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,49.0,81.0,0.008499383926391602,0.000104930665757921,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,545879,val,1,3.34,0,dqn_agent,dqn_agent,400,400,1,0,6.0,1.0,1.0,0.0,34.0,37.0,248.0,1.0,400.0,0.6208710670471191,0.001552177667617798,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,545879,val,1,3.34,1,rule_based_agent,rule_based_agent,400,61,0,0,0.0,0.0,0.0,0.0,23.0,7.0,51.0,3.0,61.0,0.044420719146728516,0.0007282085106021069,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,545879,val,1,3.34,2,coin_collector_agent,coin_collector_agent,400,212,0,1,13.0,8.0,1.0,1.0,67.0,19.0,187.0,6.0,212.0,0.19232797622680664,0.0009072074350321068,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,545879,val,1,3.34,3,peaceful_agent,peaceful_agent,400,83,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,45.0,83.0,0.007955551147460938,9.585001382483057e-05,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,406102,val,1,3.2,0,dqn_agent,dqn_agent,287,100,0,1,8.0,3.0,1.0,1.0,29.0,10.0,71.0,2.0,100.0,0.17020535469055176,0.0017020535469055176,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,406102,val,1,3.2,1,rule_based_agent,rule_based_agent,287,287,1,0,5.0,5.0,0.0,0.0,62.0,24.0,258.0,1.0,287.0,0.4554011821746826,0.0015867637009570822,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,406102,val,1,3.2,2,coin_collector_agent,coin_collector_agent,287,99,0,1,1.0,1.0,0.0,1.0,38.0,9.0,87.0,3.0,99.0,0.08740806579589844,0.0008829097555141256,3.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,406102,val,1,3.2,3,peaceful_agent,peaceful_agent,287,46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,33.0,46.0,0.003924369812011719,8.531238721764606e-05,4.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,636789,val,1,3.9,0,dqn_agent,dqn_agent,400,400,1,0,13.0,3.0,2.0,0.0,25.0,49.0,323.0,1.0,400.0,0.5777795314788818,0.0014444488286972047,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,636789,val,1,3.9,1,rule_based_agent,rule_based_agent,400,81,0,1,0.0,0.0,0.0,1.0,35.0,8.0,71.0,2.0,81.0,0.058429718017578125,0.0007213545434268904,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,636789,val,1,3.9,2,coin_collector_agent,coin_collector_agent,400,151,0,0,4.0,4.0,0.0,0.0,35.0,11.0,138.0,2.0,151.0,0.13178658485412598,0.0008727588400935495,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,636789,val,1,3.9,3,peaceful_agent,peaceful_agent,400,69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,39.0,69.0,0.007157325744628906,0.00010372935861781023,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,624167,val,1,3.7,0,dqn_agent,dqn_agent,400,400,1,0,10.0,5.0,1.0,0.0,57.0,38.0,276.0,0.0,400.0,0.6872563362121582,0.0017181408405303954,1.0,1
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,624167,val,1,3.7,1,rule_based_agent,rule_based_agent,400,197,0,1,4.0,4.0,0.0,1.0,47.0,14.0,179.0,4.0,197.0,0.19518494606018066,0.0009907865282242673,2.0,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,624167,val,1,3.7,2,coin_collector_agent,coin_collector_agent,400,55,0,1,0.0,0.0,0.0,1.0,15.0,6.0,47.0,2.0,55.0,0.03974723815917969,0.0007226770574396307,3.5,0
stage10_qrdqn_selfplay_vs_mixed4,fd81f46,classic,624167,val,1,3.7,3,peaceful_agent,peaceful_agent,400,219,0,0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,148.0,219.0,0.02027583122253418,9.258370421248484e-05,3.5,0
