tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage12_noisy_mixed4,7af6460,classic,49594,val,1,5.48,0,dqn_agent,dqn_agent,348,348,1,0,5.0,5.0,0.0,0.0,41.0,34.0,294.0,2.0,348.0,0.6712784767150879,0.0019289611399858847,2.0,0
stage12_noisy_mixed4,7af6460,classic,49594,val,1,5.48,1,rule_based_agent,rule_based_agent,348,221,0,1,7.0,2.0,1.0,1.0,33.0,20.0,195.0,6.0,221.0,0.18955063819885254,0.000857695195469921,1.0,1
stage12_noisy_mixed4,7af6460,classic,49594,val,1,5.48,2,coin_collector_agent,coin_collector_agent,348,198,0,1,2.0,2.0,0.0,1.0,53.0,17.0,169.0,12.0,198.0,0.16082096099853516,0.0008122270757501775,3.0,0
stage12_noisy_mixed4,7af6460,classic,49594,val,1,5.48,3,peaceful_agent,peaceful_agent,348,212,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,130.0,212.0,0.02046370506286621,9.652691067389722e-05,4.0,0
stage12_noisy_mixed4,7af6460,classic,124020,val,1,4.02,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,21.0,33.0,343.0,0.0,400.0,0.8573617935180664,0.002143404483795166,3.5,0
stage12_noisy_mixed4,7af6460,classic,124020,val,1,4.02,1,rule_based_agent,rule_based_agent,400,400,1,0,12.0,7.0,1.0,0.0,60.0,34.0,355.0,11.0,400.0,0.45301270484924316,0.0011325317621231079,1.0,1
stage12_noisy_mixed4,7af6460,classic,124020,val,1,4.02,2,coin_collector_agent,coin_collector_agent,400,78,0,1,2.0,2.0,0.0,1.0,30.0,9.0,63.0,6.0,78.0,0.0525970458984375,0.0006743211012620192,2.0,0
stage12_noisy_mixed4,7af6460,classic,124020,val,1,4.02,3,peaceful_agent,peaceful_agent,400,138,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,84.0,138.0,0.01248931884765625,9.050231049026269e-05,3.5,0
stage12_noisy_mixed4,7af6460,classic,484337,val,1,3.96,0,dqn_agent,dqn_agent,400,400,1,0,7.0,2.0,1.0,0.0,23.0,16.0,241.0,1.0,400.0,0.9225702285766602,0.0023064255714416505,1.5,0
stage12_noisy_mixed4,7af6460,classic,484337,val,1,3.96,1,rule_based_agent,rule_based_agent,400,104,0,1,0.0,0.0,0.0,1.0,41.0,11.0,89.0,4.0,104.0,0.08752298355102539,0.0008415671495290903,3.5,0
stage12_noisy_mixed4,7af6460,classic,484337,val,1,3.96,2,coin_collector_agent,coin_collector_agent,400,400,1,0,7.0,7.0,0.0,0.0,56.0,21.0,235.0,2.0,400.0,0.4028630256652832,0.001007157564163208,1.5,0
stage12_noisy_mixed4,7af6460,classic,484337,val,1,3.96,3,peaceful_agent,peaceful_agent,400,156,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,100.0,156.0,0.013469696044921875,8.634420541616586e-05,3.5,0
stage12_noisy_mixed4,7af6460,classic,208256,val,1,3.45,0,dqn_agent,dqn_agent,400,400,1,0,8.0,3.0,1.0,0.0,38.0,28.0,350.0,0.0,400.0,0.6701326370239258,0.0016753315925598145,1.0,1
stage12_noisy_mixed4,7af6460,classic,208256,val,1,3.45,1,rule_based_agent,rule_based_agent,400,68,0,1,0.0,0.0,0.0,1.0,24.0,8.0,55.0,5.0,68.0,0.05522727966308594,0.0008121658773983226,3.5,0
stage12_noisy_mixed4,7af6460,classic,208256,val,1,3.45,2,coin_collector_agent,coin_collector_agent,400,181,0,1,7.0,2.0,1.0,1.0,48.0,14.0,163.0,4.0,181.0,0.21855497360229492,0.0012074860420016294,2.0,0
stage12_noisy_mixed4,7af6460,classic,208256,val,1,3.45,3,peaceful_agent,peaceful_agent,400,181,0,0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,116.0,181.0,0.015720129013061523,8.68515415086272e-05,3.5,0
stage12_noisy_mixed4,7af6460,classic,277916,val,1,3.25,0,dqn_agent,dqn_agent,400,400,1,0,15.0,5.0,2.0,0.0,67.0,51.0,327.0,0.0,400.0,0.664665699005127,0.0016616642475128173,1.0,1
stage12_noisy_mixed4,7af6460,classic,277916,val,1,3.25,1,rule_based_agent,rule_based_agent,400,60,0,0,1.0,1.0,0.0,0.0,22.0,7.0,51.0,2.0,60.0,0.04388761520385742,0.0007314602533976237,3.0,0
stage12_noisy_mixed4,7af6460,classic,277916,val,1,3.25,2,coin_collector_agent,coin_collector_agent,400,68,0,1,2.0,2.0,0.0,1.0,25.0,7.0,57.0,4.0,68.0,0.043424129486083984,0.0006385901395012351,2.0,0
stage12_noisy_mixed4,7af6460,classic,277916,val,1,3.25,3,peaceful_agent,peaceful_agent,400,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,168.0,255.0,0.023381471633911133,9.169204562318091e-05,4.0,0
stage12_noisy_mixed4,7af6460,classic,790804,val,1,3.49,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,34.0,27.0,355.0,1.0,400.0,0.6643855571746826,0.0016609638929367065,3.0,0
stage12_noisy_mixed4,7af6460,classic,790804,val,1,3.49,1,rule_based_agent,rule_based_agent,400,85,0,1,4.0,4.0,0.0,1.0,21.0,8.0,71.0,6.0,85.0,0.06329059600830078,0.0007445952471564798,2.0,0
stage12_noisy_mixed4,7af6460,classic,790804,val,1,3.49,2,coin_collector_agent,coin_collector_agent,400,146,0,1,7.0,2.0,1.0,1.0,53.0,13.0,129.0,4.0,146.0,0.14684367179870605,0.0010057785739637402,1.0,1
stage12_noisy_mixed4,7af6460,classic,790804,val,1,3.49,3,peaceful_agent,peaceful_agent,400,87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,41.0,87.0,0.008783102035522461,0.000100955195810603,4.0,0
stage12_noisy_mixed4,7af6460,classic,804280,val,1,3.8,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,43.0,37.0,342.0,1.0,400.0,0.7951111793518066,0.0019877779483795164,2.0,0
stage12_noisy_mixed4,7af6460,classic,804280,val,1,3.8,1,rule_based_agent,rule_based_agent,400,148,0,1,1.0,1.0,0.0,1.0,31.0,12.0,133.0,3.0,148.0,0.1511845588684082,0.0010215172896514068,3.0,0
stage12_noisy_mixed4,7af6460,classic,804280,val,1,3.8,2,coin_collector_agent,coin_collector_agent,400,186,0,1,10.0,5.0,1.0,1.0,47.0,15.0,167.0,4.0,186.0,0.16838622093200684,0.0009053022630753055,1.0,1
stage12_noisy_mixed4,7af6460,classic,804280,val,1,3.8,3,peaceful_agent,peaceful_agent,400,102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,59.0,102.0,0.008683204650878906,8.51294573615579e-05,4.0,0
stage12_noisy_mixed4,7af6460,classic,545879,val,1,3.91,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,18.0,33.0,350.0,1.0,400.0,0.7039847373962402,0.0017599618434906005,3.5,0
