tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage12_noisy_mixed4_full100,40c13d0,classic,49594,val,1,3.57,0,dqn_agent,dqn_agent,331,152,0,1,1.0,1.0,0.0,1.0,20.0,8.0,140.0,1.0,152.0,0.35345888137817383,0.0023253873774879857,3.0,0
stage12_noisy_mixed4_full100,40c13d0,classic,49594,val,1,3.57,1,rule_based_agent,rule_based_agent,331,131,0,1,2.0,2.0,0.0,1.0,27.0,12.0,111.0,8.0,131.0,0.10845136642456055,0.0008278730261416836,2.0,0
stage12_noisy_mixed4_full100,40c13d0,classic,49594,val,1,3.57,2,coin_collector_agent,coin_collector_agent,331,331,1,0,11.0,6.0,1.0,0.0,80.0,30.0,295.0,5.0,331.0,0.4402141571044922,0.001329952136267348,1.0,1
stage12_noisy_mixed4_full100,40c13d0,classic,49594,val,1,3.57,3,peaceful_agent,peaceful_agent,331,208,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,132.0,208.0,0.0513300895690918,0.0002467792767744798,4.0,0
stage12_noisy_mixed4_full100,40c13d0,classic,124020,val,1,3.62,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,33.0,35.0,347.0,1.0,400.0,0.7298545837402344,0.001824636459350586,3.5,0
stage12_noisy_mixed4_full100,40c13d0,classic,124020,val,1,3.62,1,rule_based_agent,rule_based_agent,400,258,0,1,13.0,8.0,1.0,1.0,53.0,24.0,227.0,7.0,258.0,0.22716689109802246,0.0008804918259613274,1.0,1
stage12_noisy_mixed4_full100,40c13d0,classic,124020,val,1,3.62,2,coin_collector_agent,coin_collector_agent,400,48,0,1,1.0,1.0,0.0,1.0,21.0,6.0,40.0,2.0,48.0,0.030072450637817383,0.0006265093882878622,2.0,0
stage12_noisy_mixed4_full100,40c13d0,classic,124020,val,1,3.62,3,peaceful_agent,peaceful_agent,400,160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,110.0,160.0,0.014144182205200195,8.840113878250122e-05,3.5,0
stage12_noisy_mixed4_full100,40c13d0,classic,484337,val,1,3.47,0,dqn_agent,dqn_agent,400,400,1,0,3.0,3.0,0.0,0.0,19.0,14.0,378.0,0.0,400.0,0.6863577365875244,0.001715894341468811,2.0,0
stage12_noisy_mixed4_full100,40c13d0,classic,484337,val,1,3.47,1,rule_based_agent,rule_based_agent,400,102,0,1,0.0,0.0,0.0,1.0,39.0,11.0,87.0,4.0,102.0,0.08505654335021973,0.000833887679904115,4.0,0
stage12_noisy_mixed4_full100,40c13d0,classic,484337,val,1,3.47,2,coin_collector_agent,coin_collector_agent,400,158,0,1,9.0,4.0,1.0,1.0,53.0,16.0,141.0,1.0,158.0,0.12873244285583496,0.0008147622965559174,1.0,1
stage12_noisy_mixed4_full100,40c13d0,classic,484337,val,1,3.47,3,peaceful_agent,peaceful_agent,400,110,0,0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,70.0,110.0,0.009531497955322266,8.66499814120206e-05,3.0,0
stage12_noisy_mixed4_full100,40c13d0,classic,208256,val,1,3.43,0,dqn_agent,dqn_agent,400,400,1,0,14.0,4.0,2.0,0.0,19.0,46.0,329.0,0.0,400.0,0.6418185234069824,0.001604546308517456,1.0,1
stage12_noisy_mixed4_full100,40c13d0,classic,208256,val,1,3.43,1,rule_based_agent,rule_based_agent,400,83,0,1,0.0,0.0,0.0,1.0,31.0,10.0,67.0,6.0,83.0,0.062113046646118164,0.0007483499595917851,3.5,0
stage12_noisy_mixed4_full100,40c13d0,classic,208256,val,1,3.43,2,coin_collector_agent,coin_collector_agent,400,146,0,0,2.0,2.0,0.0,0.0,35.0,11.0,131.0,4.0,146.0,0.14609241485595703,0.001000632978465459,2.0,0
stage12_noisy_mixed4_full100,40c13d0,classic,208256,val,1,3.43,3,peaceful_agent,peaceful_agent,400,153,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,97.0,153.0,0.015517473220825195,0.00010142139360016467,3.5,0
stage12_noisy_mixed4_full100,40c13d0,classic,277916,val,1,3.39,0,dqn_agent,dqn_agent,400,400,1,0,15.0,5.0,2.0,0.0,67.0,49.0,328.0,0.0,400.0,0.7217347621917725,0.0018043369054794312,1.0,1
stage12_noisy_mixed4_full100,40c13d0,classic,277916,val,1,3.39,1,rule_based_agent,rule_based_agent,400,60,0,0,1.0,1.0,0.0,0.0,22.0,7.0,51.0,2.0,60.0,0.04663252830505371,0.0007772088050842285,3.0,0
