tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage13_noisy_mixed4_v2,31ab46e,classic,49594,val,1,6.49,0,dqn_agent,dqn_agent,400,400,1,0,12.0,2.0,2.0,0.0,38.0,13.0,372.0,1.0,400.0,0.5885872840881348,0.0014714682102203369,1.0,1
stage13_noisy_mixed4_v2,31ab46e,classic,49594,val,1,6.49,1,rule_based_agent,rule_based_agent,400,100,0,1,2.0,2.0,0.0,1.0,28.0,10.0,85.0,5.0,100.0,0.08702611923217773,0.0008702611923217773,3.0,0
stage13_noisy_mixed4_v2,31ab46e,classic,49594,val,1,6.49,2,coin_collector_agent,coin_collector_agent,400,177,0,1,4.0,4.0,0.0,1.0,46.0,15.0,157.0,5.0,177.0,0.14689970016479492,0.0008299418088406492,2.0,0
stage13_noisy_mixed4_v2,31ab46e,classic,49594,val,1,6.49,3,peaceful_agent,peaceful_agent,400,104,0,0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,57.0,104.0,0.009282112121582031,8.925107809213492e-05,4.0,0
stage13_noisy_mixed4_v2,31ab46e,classic,124020,val,1,3.55,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,20.0,10.0,376.0,1.0,400.0,0.7031278610229492,0.001757819652557373,3.5,0
stage13_noisy_mixed4_v2,31ab46e,classic,124020,val,1,3.55,1,rule_based_agent,rule_based_agent,400,104,0,1,3.0,3.0,0.0,1.0,25.0,10.0,89.0,5.0,104.0,0.08787322044372559,0.0008449348119588998,2.0,0
stage13_noisy_mixed4_v2,31ab46e,classic,124020,val,1,3.55,2,coin_collector_agent,coin_collector_agent,400,188,0,1,11.0,6.0,1.0,1.0,50.0,17.0,170.0,1.0,188.0,0.16040778160095215,0.0008532328808561285,1.0,1
stage13_noisy_mixed4_v2,31ab46e,classic,124020,val,1,3.55,3,peaceful_agent,peaceful_agent,400,110,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,72.0,110.0,0.010704755783081055,9.731596166437323e-05,3.5,0
stage13_noisy_mixed4_v2,31ab46e,classic,484337,val,1,3.4,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,20.0,11.0,378.0,0.0,400.0,0.6904811859130859,0.001726202964782715,2.0,0
stage13_noisy_mixed4_v2,31ab46e,classic,484337,val,1,3.4,1,rule_based_agent,rule_based_agent,400,61,0,1,0.0,0.0,0.0,1.0,22.0,7.0,49.0,5.0,61.0,0.04359698295593262,0.0007147046386218462,3.5,0
stage13_noisy_mixed4_v2,31ab46e,classic,484337,val,1,3.4,2,coin_collector_agent,coin_collector_agent,400,169,0,1,11.0,6.0,1.0,1.0,53.0,17.0,149.0,3.0,169.0,0.14255762100219727,0.0008435362189479128,1.0,1
stage13_noisy_mixed4_v2,31ab46e,classic,484337,val,1,3.4,3,peaceful_agent,peaceful_agent,400,101,0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,62.0,101.0,0.008588314056396484,8.503281243956915e-05,3.5,0
stage13_noisy_mixed4_v2,31ab46e,classic,208256,val,1,3.46,0,dqn_agent,dqn_agent,400,400,1,0,8.0,3.0,1.0,0.0,13.0,11.0,373.0,2.0,400.0,0.673532247543335,0.0016838306188583375,1.5,0
stage13_noisy_mixed4_v2,31ab46e,classic,208256,val,1,3.46,1,rule_based_agent,rule_based_agent,400,214,0,1,8.0,3.0,1.0,1.0,61.0,20.0,187.0,7.0,214.0,0.2145247459411621,0.001002452083837206,1.5,0
stage13_noisy_mixed4_v2,31ab46e,classic,208256,val,1,3.46,2,coin_collector_agent,coin_collector_agent,400,97,0,1,1.0,1.0,0.0,1.0,26.0,9.0,83.0,5.0,97.0,0.07831239700317383,0.0008073442990017921,3.0,0
stage13_noisy_mixed4_v2,31ab46e,classic,208256,val,1,3.46,3,peaceful_agent,peaceful_agent,400,60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,60.0,0.005097866058349609,8.496443430582682e-05,4.0,0
