tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,49594,val,1,5.83,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,3.0,7.0,382.0,1.0,400.0,0.6455197334289551,0.0016137993335723878,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,49594,val,1,5.83,1,rule_based_agent,rule_based_agent,400,316,0,1,9.0,4.0,1.0,1.0,85.0,29.0,279.0,8.0,316.0,0.30146145820617676,0.0009539919563486606,1.0,1
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,49594,val,1,5.83,2,coin_collector_agent,coin_collector_agent,400,80,0,1,3.0,3.0,0.0,1.0,25.0,9.0,65.0,6.0,80.0,0.04858708381652832,0.000607338547706604,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,49594,val,1,5.83,3,peaceful_agent,peaceful_agent,400,175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,107.0,175.0,0.018221139907836914,0.0001041207994733538,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,124020,val,1,3.58,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,2.0,4.0,389.0,1.0,400.0,0.5269756317138672,0.001317439079284668,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,124020,val,1,3.58,1,rule_based_agent,rule_based_agent,400,194,0,1,2.0,2.0,0.0,1.0,53.0,22.0,168.0,4.0,194.0,0.14695191383361816,0.0007574840919258669,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,124020,val,1,3.58,2,coin_collector_agent,coin_collector_agent,400,226,0,1,12.0,7.0,1.0,1.0,47.0,16.0,199.0,11.0,226.0,0.2544713020324707,0.0011259792125330563,1.0,1
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,124020,val,1,3.58,3,peaceful_agent,peaceful_agent,400,113,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,78.0,113.0,0.010899543762207031,9.64561394885578e-05,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,484337,val,1,3.99,0,dqn_agent,dqn_agent,400,400,1,0,6.0,1.0,1.0,0.0,3.0,27.0,347.0,2.0,400.0,0.7359073162078857,0.0018397682905197143,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,484337,val,1,3.99,1,rule_based_agent,rule_based_agent,400,400,1,0,6.0,1.0,1.0,0.0,64.0,27.0,367.0,6.0,400.0,0.45829224586486816,0.0011457306146621703,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,484337,val,1,3.99,2,coin_collector_agent,coin_collector_agent,400,172,0,0,6.0,6.0,0.0,0.0,49.0,16.0,153.0,3.0,172.0,0.15525245666503906,0.0009026305620060411,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,484337,val,1,3.99,3,peaceful_agent,peaceful_agent,400,210,0,0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,107.0,210.0,0.01889944076538086,8.99973369780041e-05,4.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,208256,val,1,3.91,0,dqn_agent,dqn_agent,400,400,1,0,1.0,1.0,0.0,0.0,0.0,12.0,373.0,3.0,400.0,0.6641347408294678,0.0016603368520736695,3.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,208256,val,1,3.91,1,rule_based_agent,rule_based_agent,400,328,0,1,8.0,3.0,1.0,1.0,58.0,28.0,291.0,9.0,328.0,0.4226691722869873,0.0012886255252652053,1.0,1
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,208256,val,1,3.91,2,coin_collector_agent,coin_collector_agent,400,179,0,1,4.0,4.0,0.0,1.0,49.0,14.0,162.0,3.0,179.0,0.17855572700500488,0.000997518027960921,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,208256,val,1,3.91,3,peaceful_agent,peaceful_agent,400,162,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,106.0,162.0,0.01405954360961914,8.678730623221692e-05,4.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,277916,val,1,4.67,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,3.0,18.0,356.0,1.0,400.0,0.8566646575927734,0.0021416616439819337,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,277916,val,1,4.67,1,rule_based_agent,rule_based_agent,400,400,1,0,9.0,4.0,1.0,0.0,46.0,27.0,367.0,6.0,400.0,0.6174335479736328,0.001543583869934082,1.0,1
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,277916,val,1,4.67,2,coin_collector_agent,coin_collector_agent,400,400,1,0,5.0,5.0,0.0,0.0,70.0,26.0,236.0,1.0,400.0,0.440838098526001,0.0011020952463150025,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,277916,val,1,4.67,3,peaceful_agent,peaceful_agent,400,172,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,95.0,172.0,0.015812397003173828,9.19325407161269e-05,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,790804,val,1,3.88,0,dqn_agent,dqn_agent,400,400,1,0,10.0,0.0,2.0,0.0,12.0,10.0,367.0,1.0,400.0,0.7662136554718018,0.0019155341386795045,1.0,1
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,790804,val,1,3.88,1,rule_based_agent,rule_based_agent,400,99,0,1,3.0,3.0,0.0,1.0,17.0,8.0,87.0,4.0,99.0,0.08513283729553223,0.0008599276494498204,3.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,790804,val,1,3.88,2,coin_collector_agent,coin_collector_agent,400,266,0,0,4.0,4.0,0.0,0.0,68.0,20.0,243.0,3.0,266.0,0.37136197090148926,0.0013960976349680048,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,790804,val,1,3.88,3,peaceful_agent,peaceful_agent,400,237,0,0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,94.0,237.0,0.021589994430541992,9.10970229136793e-05,4.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,804280,val,1,3.51,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,1.0,3.0,373.0,1.0,400.0,0.5543966293334961,0.0013859915733337403,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,804280,val,1,3.51,1,rule_based_agent,rule_based_agent,400,146,0,1,2.0,2.0,0.0,1.0,31.0,10.0,132.0,4.0,146.0,0.13704442977905273,0.0009386604779387174,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,804280,val,1,3.51,2,coin_collector_agent,coin_collector_agent,400,216,0,1,9.0,4.0,1.0,1.0,64.0,19.0,191.0,6.0,216.0,0.2233724594116211,0.0010341317565352828,1.0,1
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,804280,val,1,3.51,3,peaceful_agent,peaceful_agent,400,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,52.0,90.0,0.008397579193115234,9.330643547905816e-05,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,545879,val,1,3.99,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,4.0,16.0,347.0,1.0,400.0,0.7649974822998047,0.0019124937057495117,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,545879,val,1,3.99,1,rule_based_agent,rule_based_agent,400,294,0,1,6.0,1.0,1.0,1.0,59.0,25.0,259.0,10.0,294.0,0.3164205551147461,0.0010762603915467554,2.0,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,545879,val,1,3.99,2,coin_collector_agent,coin_collector_agent,400,216,0,1,7.0,7.0,0.0,1.0,53.0,17.0,195.0,4.0,216.0,0.22466421127319336,0.001040112089227747,1.0,1
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,545879,val,1,3.99,3,peaceful_agent,peaceful_agent,400,294,0,0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,138.0,294.0,0.025638103485107422,8.720443362281436e-05,3.5,0
stage14_noisy_selfplay_vs_mixed4,77e6449,classic,406102,val,1,3.59,0,dqn_agent,dqn_agent,400,400,1,0,5.0,0.0,1.0,0.0,3.0,7.0,378.0,2.0,400.0,0.6305282115936279,0.0015763205289840699,1.5,0
