tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage15_lowlr_mixed4,33889ac,classic,49594,val,1,7.8,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,19.0,6.0,48.0,0.0,400.0,1.0599102973937988,0.002649775743484497,2.0,0
stage15_lowlr_mixed4,33889ac,classic,49594,val,1,7.8,1,rule_based_agent,rule_based_agent,400,97,0,1,1.0,1.0,0.0,1.0,27.0,9.0,83.0,5.0,97.0,0.08010458946228027,0.0008258205099204151,3.0,0
stage15_lowlr_mixed4,33889ac,classic,49594,val,1,7.8,2,coin_collector_agent,coin_collector_agent,400,87,0,1,3.0,3.0,0.0,1.0,23.0,8.0,75.0,4.0,87.0,0.06536507606506348,0.0007513227133915342,1.0,1
stage15_lowlr_mixed4,33889ac,classic,49594,val,1,7.8,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,242.0,400.0,0.03854489326477051,9.636223316192627e-05,4.0,0
stage15_lowlr_mixed4,33889ac,classic,124020,val,1,4.27,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,22.0,35.0,240.0,1.0,400.0,0.9235618114471436,0.0023089045286178588,3.5,0
stage15_lowlr_mixed4,33889ac,classic,124020,val,1,4.27,1,rule_based_agent,rule_based_agent,400,400,1,0,9.0,4.0,1.0,0.0,44.0,27.0,367.0,6.0,400.0,0.5645034313201904,0.0014112585783004762,1.0,1
stage15_lowlr_mixed4,33889ac,classic,124020,val,1,4.27,2,coin_collector_agent,coin_collector_agent,400,137,0,1,5.0,5.0,0.0,1.0,45.0,15.0,117.0,5.0,137.0,0.09789371490478516,0.0007145526635385777,2.0,0
stage15_lowlr_mixed4,33889ac,classic,124020,val,1,4.27,3,peaceful_agent,peaceful_agent,400,123,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,75.0,123.0,0.011237144470214844,9.1358898131828e-05,3.5,0
stage15_lowlr_mixed4,33889ac,classic,484337,val,1,4.07,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,12.0,12.0,102.0,0.0,400.0,1.2747597694396973,0.0031868994235992433,1.0,1
stage15_lowlr_mixed4,33889ac,classic,484337,val,1,4.07,1,rule_based_agent,rule_based_agent,400,87,0,1,0.0,0.0,0.0,1.0,37.0,10.0,70.0,7.0,87.0,0.06341338157653809,0.0007288894434084838,3.5,0
