tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage16_selfplay_reset_mixed4,43804f4,classic,49594,val,1,10.72,0,dqn_agent,dqn_agent,400,400,1,0,5.0,0.0,1.0,0.0,21.0,10.0,329.0,0.0,400.0,0.9959487915039062,0.0024898719787597658,1.5,0
stage16_selfplay_reset_mixed4,43804f4,classic,49594,val,1,10.72,1,rule_based_agent,rule_based_agent,400,161,0,0,5.0,5.0,0.0,0.0,42.0,14.0,142.0,5.0,161.0,0.1588451862335205,0.000986616063562239,1.5,0
stage16_selfplay_reset_mixed4,43804f4,classic,49594,val,1,10.72,2,coin_collector_agent,coin_collector_agent,400,134,0,1,1.0,1.0,0.0,1.0,32.0,12.0,116.0,6.0,134.0,0.14153456687927246,0.0010562281110393468,3.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,49594,val,1,10.72,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,273.0,400.0,0.048827171325683594,0.00012206792831420899,4.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,124020,val,1,4.85,0,dqn_agent,dqn_agent,400,400,1,0,5.0,0.0,1.0,0.0,22.0,30.0,303.0,2.0,400.0,0.8523774147033691,0.002130943536758423,3.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,124020,val,1,4.85,1,rule_based_agent,rule_based_agent,400,323,0,1,8.0,3.0,1.0,1.0,35.0,26.0,283.0,14.0,323.0,0.4254124164581299,0.0013170663048239315,1.0,1
stage16_selfplay_reset_mixed4,43804f4,classic,124020,val,1,4.85,2,coin_collector_agent,coin_collector_agent,400,169,0,0,6.0,6.0,0.0,0.0,49.0,16.0,149.0,4.0,169.0,0.1756887435913086,0.001039578364445613,2.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,124020,val,1,4.85,3,peaceful_agent,peaceful_agent,400,166,0,0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,117.0,166.0,0.01636362075805664,9.85760286629918e-05,4.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,484337,val,1,3.96,0,dqn_agent,dqn_agent,400,400,1,0,1.0,1.0,0.0,0.0,8.0,9.0,351.0,1.0,400.0,0.7111771106719971,0.0017779427766799927,3.5,0
stage16_selfplay_reset_mixed4,43804f4,classic,484337,val,1,3.96,1,rule_based_agent,rule_based_agent,400,193,0,1,6.0,1.0,1.0,1.0,56.0,18.0,171.0,4.0,193.0,0.2230372428894043,0.0011556333828466544,2.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,484337,val,1,3.96,2,coin_collector_agent,coin_collector_agent,400,168,0,1,10.0,5.0,1.0,1.0,51.0,17.0,147.0,4.0,168.0,0.16304326057434082,0.0009704955986567906,1.0,1
stage16_selfplay_reset_mixed4,43804f4,classic,484337,val,1,3.96,3,peaceful_agent,peaceful_agent,400,128,0,0,1.0,1.0,0.0,0.0,0.0,0.0,46.0,82.0,128.0,0.01149749755859375,8.982419967651367e-05,3.5,0
stage16_selfplay_reset_mixed4,43804f4,classic,208256,val,1,4.49,0,dqn_agent,dqn_agent,400,297,0,1,9.0,4.0,1.0,1.0,23.0,26.0,221.0,6.0,297.0,0.7416150569915771,0.002497020393911034,1.0,1
stage16_selfplay_reset_mixed4,43804f4,classic,208256,val,1,4.49,1,rule_based_agent,rule_based_agent,400,400,1,0,1.0,1.0,0.0,0.0,38.0,24.0,370.0,6.0,400.0,0.5463783740997314,0.0013659459352493286,3.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,208256,val,1,4.49,2,coin_collector_agent,coin_collector_agent,400,400,1,0,4.0,4.0,0.0,0.0,57.0,22.0,235.0,9.0,400.0,0.4116361141204834,0.0010290902853012085,2.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,208256,val,1,4.49,3,peaceful_agent,peaceful_agent,400,175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,111.0,175.0,0.015100955963134766,8.629117693219866e-05,4.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,277916,val,1,4.1,0,dqn_agent,dqn_agent,400,288,0,1,2.0,2.0,0.0,1.0,28.0,29.0,196.0,2.0,288.0,0.6992685794830322,0.0024280159009827506,3.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,277916,val,1,4.1,1,rule_based_agent,rule_based_agent,400,400,1,0,8.0,3.0,1.0,0.0,50.0,33.0,356.0,8.0,400.0,0.5743649005889893,0.0014359122514724732,1.0,1
stage16_selfplay_reset_mixed4,43804f4,classic,277916,val,1,4.1,2,coin_collector_agent,coin_collector_agent,400,164,0,1,4.0,4.0,0.0,1.0,41.0,14.0,146.0,4.0,164.0,0.13847899436950684,0.0008443841120091881,2.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,277916,val,1,4.1,3,peaceful_agent,peaceful_agent,400,340,0,0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,213.0,340.0,0.03154897689819336,9.279110852409811e-05,4.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,790804,val,1,3.97,0,dqn_agent,dqn_agent,299,299,1,0,1.0,1.0,0.0,0.0,11.0,23.0,234.0,0.0,299.0,0.6766955852508545,0.0022631959372938276,3.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,790804,val,1,3.97,1,rule_based_agent,rule_based_agent,299,174,0,1,3.0,3.0,0.0,1.0,29.0,15.0,153.0,6.0,174.0,0.159010648727417,0.0009138543030311322,2.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,790804,val,1,3.97,2,coin_collector_agent,coin_collector_agent,299,293,0,1,10.0,5.0,1.0,1.0,74.0,25.0,263.0,5.0,293.0,0.5085768699645996,0.0017357572353740602,1.0,1
stage16_selfplay_reset_mixed4,43804f4,classic,790804,val,1,3.97,3,peaceful_agent,peaceful_agent,299,139,0,0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,74.0,139.0,0.01273488998413086,9.161791355489827e-05,4.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,804280,val,1,3.36,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,15.0,7.0,351.0,2.0,400.0,0.6042537689208984,0.0015106344223022462,2.0,0
stage16_selfplay_reset_mixed4,43804f4,classic,804280,val,1,3.36,1,rule_based_agent,rule_based_agent,400,52,0,1,0.0,0.0,0.0,1.0,17.0,6.0,41.0,5.0,52.0,0.040474891662597656,0.0007783633012038011,3.5,0
stage16_selfplay_reset_mixed4,43804f4,classic,804280,val,1,3.36,2,coin_collector_agent,coin_collector_agent,400,112,0,1,8.0,3.0,1.0,1.0,40.0,12.0,98.0,2.0,112.0,0.08266806602478027,0.0007381077323641096,1.0,1
stage16_selfplay_reset_mixed4,43804f4,classic,804280,val,1,3.36,3,peaceful_agent,peaceful_agent,400,113,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,81.0,113.0,0.01068878173828125,9.459098883434734e-05,3.5,0
