tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage17_gamma099_mixed4,58262a1,classic,49594,val,1,7.91,0,dqn_agent,dqn_agent,375,327,0,1,0.0,0.0,0.0,1.0,2.0,2.0,232.0,1.0,327.0,0.626065731048584,0.001914574101066006,3.5,0
stage17_gamma099_mixed4,58262a1,classic,49594,val,1,7.91,1,rule_based_agent,rule_based_agent,375,87,0,1,1.0,1.0,0.0,1.0,23.0,9.0,73.0,5.0,87.0,0.09079527854919434,0.0010436238913700499,2.0,0
stage17_gamma099_mixed4,58262a1,classic,49594,val,1,7.91,2,coin_collector_agent,coin_collector_agent,375,375,1,0,13.0,8.0,1.0,0.0,102.0,32.0,336.0,3.0,375.0,0.5093908309936523,0.0013583755493164062,1.0,1
stage17_gamma099_mixed4,58262a1,classic,49594,val,1,7.91,3,peaceful_agent,peaceful_agent,375,181,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,125.0,181.0,0.030482769012451172,0.00016841308846658105,3.5,0
stage17_gamma099_mixed4,58262a1,classic,124020,val,1,4.05,0,dqn_agent,dqn_agent,400,400,1,0,1.0,1.0,0.0,0.0,5.0,18.0,283.0,3.0,400.0,0.6621825695037842,0.0016554564237594605,2.5,0
stage17_gamma099_mixed4,58262a1,classic,124020,val,1,4.05,1,rule_based_agent,rule_based_agent,400,278,0,1,12.0,7.0,1.0,1.0,68.0,28.0,244.0,6.0,278.0,0.2437906265258789,0.0008769446997333774,1.0,1
stage17_gamma099_mixed4,58262a1,classic,124020,val,1,4.05,2,coin_collector_agent,coin_collector_agent,400,72,0,1,1.0,1.0,0.0,1.0,28.0,9.0,61.0,2.0,72.0,0.05073070526123047,0.000704593128628201,2.5,0
stage17_gamma099_mixed4,58262a1,classic,124020,val,1,4.05,3,peaceful_agent,peaceful_agent,400,191,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,115.0,191.0,0.018110275268554688,9.481819512332298e-05,4.0,0
stage17_gamma099_mixed4,58262a1,classic,484337,val,1,4.05,0,dqn_agent,dqn_agent,400,400,1,0,1.0,1.0,0.0,0.0,0.0,0.0,271.0,0.0,400.0,0.6864593029022217,0.0017161482572555541,2.5,0
stage17_gamma099_mixed4,58262a1,classic,484337,val,1,4.05,1,rule_based_agent,rule_based_agent,400,145,0,1,1.0,1.0,0.0,1.0,52.0,14.0,128.0,3.0,145.0,0.11871004104614258,0.0008186899382492592,2.5,0
stage17_gamma099_mixed4,58262a1,classic,484337,val,1,4.05,2,coin_collector_agent,coin_collector_agent,400,400,1,0,11.0,6.0,1.0,0.0,51.0,15.0,382.0,3.0,400.0,0.5827221870422363,0.0014568054676055908,1.0,1
stage17_gamma099_mixed4,58262a1,classic,484337,val,1,4.05,3,peaceful_agent,peaceful_agent,400,118,0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,81.0,118.0,0.010586738586425781,8.971812361377781e-05,4.0,0
stage17_gamma099_mixed4,58262a1,classic,208256,val,1,3.54,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,7.0,5.0,373.0,7.0,400.0,0.8186142444610596,0.002046535611152649,1.0,1
stage17_gamma099_mixed4,58262a1,classic,208256,val,1,3.54,1,rule_based_agent,rule_based_agent,400,66,0,1,0.0,0.0,0.0,1.0,25.0,8.0,55.0,3.0,66.0,0.04646944999694824,0.000704082575711337,3.5,0
stage17_gamma099_mixed4,58262a1,classic,208256,val,1,3.54,2,coin_collector_agent,coin_collector_agent,400,79,0,1,1.0,1.0,0.0,1.0,31.0,8.0,66.0,5.0,79.0,0.06268453598022461,0.0007934751389901849,2.0,0
stage17_gamma099_mixed4,58262a1,classic,208256,val,1,3.54,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,221.0,400.0,0.05270218849182129,0.0001317554712295532,3.5,0
stage17_gamma099_mixed4,58262a1,classic,277916,val,1,3.59,0,dqn_agent,dqn_agent,400,400,1,0,5.0,0.0,1.0,0.0,15.0,9.0,354.0,3.0,400.0,0.6636767387390137,0.0016591918468475341,1.0,1
stage17_gamma099_mixed4,58262a1,classic,277916,val,1,3.59,1,rule_based_agent,rule_based_agent,400,179,0,1,2.0,2.0,0.0,1.0,42.0,18.0,157.0,4.0,179.0,0.1665973663330078,0.0009307115437598201,3.0,0
stage17_gamma099_mixed4,58262a1,classic,277916,val,1,3.59,2,coin_collector_agent,coin_collector_agent,400,147,0,1,3.0,3.0,0.0,1.0,42.0,14.0,127.0,6.0,147.0,0.11039423942565918,0.0007509812205827155,2.0,0
stage17_gamma099_mixed4,58262a1,classic,277916,val,1,3.59,3,peaceful_agent,peaceful_agent,400,162,0,0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,97.0,162.0,0.01455378532409668,8.983818101294247e-05,4.0,0
stage17_gamma099_mixed4,58262a1,classic,790804,val,1,3.47,0,dqn_agent,dqn_agent,400,400,1,0,6.0,1.0,1.0,0.0,11.0,43.0,281.0,1.0,400.0,0.6002748012542725,0.001500687003135681,1.5,0
