tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage18_nstep5_mixed4,7c3994f,classic,49594,val,1,8.42,0,dqn_agent,dqn_agent,400,400,1,0,8.0,3.0,1.0,0.0,23.0,52.0,340.0,3.0,400.0,0.934575080871582,0.002336437702178955,1.0,1
stage18_nstep5_mixed4,7c3994f,classic,49594,val,1,8.42,1,rule_based_agent,rule_based_agent,400,102,0,1,2.0,2.0,0.0,1.0,26.0,10.0,83.0,9.0,102.0,0.08766484260559082,0.0008594592412312826,2.0,0
stage18_nstep5_mixed4,7c3994f,classic,49594,val,1,8.42,2,coin_collector_agent,coin_collector_agent,400,50,0,1,0.0,0.0,0.0,1.0,11.0,6.0,42.0,2.0,50.0,0.03491544723510742,0.0006983089447021485,3.5,0
stage18_nstep5_mixed4,7c3994f,classic,49594,val,1,8.42,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,234.0,400.0,0.04199028015136719,0.00010497570037841797,3.5,0
stage18_nstep5_mixed4,7c3994f,classic,124020,val,1,4.08,0,dqn_agent,dqn_agent,400,400,1,0,8.0,3.0,1.0,0.0,31.0,25.0,368.0,1.0,400.0,0.7433342933654785,0.0018583357334136963,1.0,1
stage18_nstep5_mixed4,7c3994f,classic,124020,val,1,4.08,1,rule_based_agent,rule_based_agent,400,182,0,1,5.0,5.0,0.0,1.0,43.0,19.0,159.0,4.0,182.0,0.15305805206298828,0.0008409783080383971,2.0,0
stage18_nstep5_mixed4,7c3994f,classic,124020,val,1,4.08,2,coin_collector_agent,coin_collector_agent,400,72,0,1,1.0,1.0,0.0,1.0,28.0,9.0,61.0,2.0,72.0,0.05176115036010742,0.0007189048661126031,3.0,0
stage18_nstep5_mixed4,7c3994f,classic,124020,val,1,4.08,3,peaceful_agent,peaceful_agent,400,202,0,0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,145.0,202.0,0.01982283592224121,9.813285110020401e-05,4.0,0
stage18_nstep5_mixed4,7c3994f,classic,484337,val,1,3.45,0,dqn_agent,dqn_agent,286,178,0,0,11.0,6.0,1.0,0.0,24.0,20.0,137.0,4.0,178.0,0.32382726669311523,0.0018192543072646924,1.0,1
stage18_nstep5_mixed4,7c3994f,classic,484337,val,1,3.45,1,rule_based_agent,rule_based_agent,286,286,1,0,6.0,1.0,1.0,0.0,61.0,24.0,256.0,2.0,286.0,0.3918893337249756,0.0013702424256118028,2.0,0
