tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage18_nstep5_mixed4_full100,40c13d0,classic,49594,val,1,4.74,0,dqn_agent,dqn_agent,400,400,1,0,9.0,4.0,1.0,0.0,45.0,51.0,333.0,6.0,400.0,0.8181917667388916,0.002045479416847229,1.0,1
stage18_nstep5_mixed4_full100,40c13d0,classic,49594,val,1,4.74,1,rule_based_agent,rule_based_agent,400,238,0,1,2.0,2.0,0.0,1.0,24.0,23.0,203.0,12.0,238.0,0.2794640064239502,0.0011742185143863455,2.0,0
stage18_nstep5_mixed4_full100,40c13d0,classic,49594,val,1,4.74,2,coin_collector_agent,coin_collector_agent,400,50,0,1,0.0,0.0,0.0,1.0,11.0,6.0,42.0,2.0,50.0,0.03388571739196777,0.0006777143478393555,3.5,0
stage18_nstep5_mixed4_full100,40c13d0,classic,49594,val,1,4.74,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,244.0,400.0,0.0393369197845459,9.834229946136475e-05,3.5,0
stage18_nstep5_mixed4_full100,40c13d0,classic,124020,val,1,3.6,0,dqn_agent,dqn_agent,304,120,0,1,2.0,2.0,0.0,1.0,19.0,10.0,108.0,1.0,120.0,0.32724761962890625,0.002727063496907552,2.5,0
stage18_nstep5_mixed4_full100,40c13d0,classic,124020,val,1,3.6,1,rule_based_agent,rule_based_agent,304,304,1,0,10.0,5.0,1.0,0.0,63.0,28.0,268.0,4.0,304.0,0.4262983798980713,0.0014022973022962872,1.0,1
stage18_nstep5_mixed4_full100,40c13d0,classic,124020,val,1,3.6,2,coin_collector_agent,coin_collector_agent,304,78,0,1,2.0,2.0,0.0,1.0,30.0,9.0,63.0,6.0,78.0,0.06469416618347168,0.0008294123869675857,2.5,0
stage18_nstep5_mixed4_full100,40c13d0,classic,124020,val,1,3.6,3,peaceful_agent,peaceful_agent,304,222,0,0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,124.0,222.0,0.023949146270751953,0.00010787903725563943,4.0,0
stage18_nstep5_mixed4_full100,40c13d0,classic,484337,val,1,3.29,0,dqn_agent,dqn_agent,400,400,1,0,13.0,8.0,1.0,0.0,34.0,51.0,342.0,0.0,400.0,0.5337111949920654,0.0013342779874801636,1.0,1
stage18_nstep5_mixed4_full100,40c13d0,classic,484337,val,1,3.29,1,rule_based_agent,rule_based_agent,400,124,0,1,0.0,0.0,0.0,1.0,46.0,13.0,107.0,4.0,124.0,0.11001801490783691,0.0008872420557083622,3.5,0
stage18_nstep5_mixed4_full100,40c13d0,classic,484337,val,1,3.29,2,coin_collector_agent,coin_collector_agent,400,101,0,1,1.0,1.0,0.0,1.0,38.0,11.0,87.0,3.0,101.0,0.08716130256652832,0.0008629831937280031,2.0,0
stage18_nstep5_mixed4_full100,40c13d0,classic,484337,val,1,3.29,3,peaceful_agent,peaceful_agent,400,78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,53.0,78.0,0.007432222366333008,9.528490213247445e-05,3.5,0
stage18_nstep5_mixed4_full100,40c13d0,classic,208256,val,1,3.4,0,dqn_agent,dqn_agent,346,146,0,1,9.0,4.0,1.0,1.0,15.0,13.0,119.0,3.0,146.0,0.26728343963623047,0.0018307084906591129,1.0,1
stage18_nstep5_mixed4_full100,40c13d0,classic,208256,val,1,3.4,1,rule_based_agent,rule_based_agent,346,60,0,1,0.0,0.0,0.0,1.0,25.0,7.0,51.0,2.0,60.0,0.043831825256347656,0.0007305304209391276,3.5,0
stage18_nstep5_mixed4_full100,40c13d0,classic,208256,val,1,3.4,2,coin_collector_agent,coin_collector_agent,346,346,1,0,5.0,5.0,0.0,0.0,78.0,31.0,310.0,1.0,346.0,0.5325431823730469,0.0015391421455868406,2.0,0
stage18_nstep5_mixed4_full100,40c13d0,classic,208256,val,1,3.4,3,peaceful_agent,peaceful_agent,346,76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,57.0,76.0,0.0068340301513671875,8.992144936009457e-05,3.5,0
stage18_nstep5_mixed4_full100,40c13d0,classic,277916,val,1,3.67,0,dqn_agent,dqn_agent,400,400,1,0,10.0,5.0,1.0,0.0,60.0,50.0,328.0,1.0,400.0,0.8594865798950195,0.002148716449737549,1.0,1
stage18_nstep5_mixed4_full100,40c13d0,classic,277916,val,1,3.67,1,rule_based_agent,rule_based_agent,400,113,0,1,1.0,1.0,0.0,1.0,22.0,13.0,93.0,7.0,113.0,0.11002612113952637,0.0009736824879604104,3.0,0
stage18_nstep5_mixed4_full100,40c13d0,classic,277916,val,1,3.67,2,coin_collector_agent,coin_collector_agent,400,137,0,1,3.0,3.0,0.0,1.0,36.0,13.0,119.0,5.0,137.0,0.10893845558166504,0.0007951712086252923,2.0,0
stage18_nstep5_mixed4_full100,40c13d0,classic,277916,val,1,3.67,3,peaceful_agent,peaceful_agent,400,389,0,0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,251.0,389.0,0.036170244216918945,9.298263294837775e-05,4.0,0
stage18_nstep5_mixed4_full100,40c13d0,classic,790804,val,1,3.28,0,dqn_agent,dqn_agent,400,400,1,0,13.0,3.0,2.0,0.0,29.0,14.0,375.0,1.0,400.0,0.6010615825653076,0.001502653956413269,1.0,1
