tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,49594,val,1,7.84,0,dqn_agent,dqn_agent,400,400,1,0,16.0,6.0,2.0,0.0,78.0,39.0,344.0,3.0,400.0,0.847144603729248,0.00211786150932312,1.0,1
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,49594,val,1,7.84,1,rule_based_agent,rule_based_agent,400,143,0,1,3.0,3.0,0.0,1.0,31.0,13.0,123.0,7.0,143.0,0.135026216506958,0.0009442392762724336,2.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,49594,val,1,7.84,2,coin_collector_agent,coin_collector_agent,400,62,0,0,0.0,0.0,0.0,0.0,17.0,7.0,52.0,3.0,62.0,0.04333782196044922,0.0006989971283943423,3.5,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,49594,val,1,7.84,3,peaceful_agent,peaceful_agent,400,266,0,0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,176.0,266.0,0.031729698181152344,0.00011928457962839227,3.5,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,124020,val,1,4.2,0,dqn_agent,dqn_agent,309,309,1,0,8.0,3.0,1.0,0.0,35.0,31.0,266.0,1.0,309.0,0.6461293697357178,0.002091033559015268,1.0,1
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,124020,val,1,4.2,1,rule_based_agent,rule_based_agent,309,227,0,1,4.0,4.0,0.0,1.0,43.0,17.0,205.0,5.0,227.0,0.27588582038879395,0.0012153560369550394,2.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,124020,val,1,4.2,2,coin_collector_agent,coin_collector_agent,309,94,0,1,2.0,2.0,0.0,1.0,34.0,10.0,81.0,3.0,94.0,0.09146523475646973,0.0009730344123028695,3.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,124020,val,1,4.2,3,peaceful_agent,peaceful_agent,309,127,0,0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,78.0,127.0,0.014980792999267578,0.0001179589999942329,4.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,484337,val,1,4.74,0,dqn_agent,dqn_agent,347,304,0,1,9.0,4.0,1.0,1.0,26.0,33.0,252.0,1.0,304.0,0.7613382339477539,0.0025044020853544537,1.0,1
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,484337,val,1,4.74,1,rule_based_agent,rule_based_agent,347,347,1,0,3.0,3.0,0.0,0.0,57.0,33.0,296.0,14.0,347.0,0.6105058193206787,0.001759382764612907,2.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,484337,val,1,4.74,2,coin_collector_agent,coin_collector_agent,347,110,0,1,1.0,1.0,0.0,1.0,37.0,12.0,92.0,6.0,110.0,0.11110305786132812,0.0010100277987393465,3.5,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,484337,val,1,4.74,3,peaceful_agent,peaceful_agent,347,177,0,0,1.0,1.0,0.0,0.0,0.0,0.0,61.0,116.0,177.0,0.02437877655029297,0.00013773320084911283,3.5,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,208256,val,1,5.29,0,dqn_agent,dqn_agent,385,385,1,0,4.0,4.0,0.0,0.0,27.0,34.0,332.0,6.0,385.0,1.0366756916046143,0.002692664134037959,2.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,208256,val,1,5.29,1,rule_based_agent,rule_based_agent,385,301,0,1,8.0,3.0,1.0,1.0,56.0,29.0,266.0,6.0,301.0,0.503340482711792,0.0016722275173149236,1.0,1
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,208256,val,1,5.29,2,coin_collector_agent,coin_collector_agent,385,119,0,1,2.0,2.0,0.0,1.0,35.0,11.0,106.0,2.0,119.0,0.1430189609527588,0.0012018400080063764,3.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,208256,val,1,5.29,3,peaceful_agent,peaceful_agent,385,61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,42.0,61.0,0.008565902709960938,0.00014042463458952356,4.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,277916,val,1,7.13,0,dqn_agent,dqn_agent,307,307,1,0,10.0,5.0,1.0,0.0,64.0,30.0,272.0,1.0,307.0,0.9385716915130615,0.0030572367801728387,1.0,1
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,277916,val,1,7.13,1,rule_based_agent,rule_based_agent,307,69,0,1,1.0,1.0,0.0,1.0,22.0,7.0,59.0,3.0,69.0,0.10605287551879883,0.0015369981959246206,3.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,277916,val,1,7.13,2,coin_collector_agent,coin_collector_agent,307,127,0,1,3.0,3.0,0.0,1.0,33.0,12.0,109.0,6.0,127.0,0.1833200454711914,0.0014434649249700112,2.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,277916,val,1,7.13,3,peaceful_agent,peaceful_agent,307,209,0,0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,146.0,209.0,0.04889655113220215,0.00023395479010623036,4.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,790804,val,1,5.68,0,dqn_agent,dqn_agent,311,311,1,0,11.0,6.0,1.0,0.0,62.0,35.0,266.0,0.0,311.0,0.6655397415161133,0.0021399991688621006,1.0,1
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,790804,val,1,5.68,1,rule_based_agent,rule_based_agent,311,62,0,1,2.0,2.0,0.0,1.0,19.0,6.0,49.0,7.0,62.0,0.0674738883972168,0.0010882885225357549,2.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,790804,val,1,5.68,2,coin_collector_agent,coin_collector_agent,311,69,0,1,1.0,1.0,0.0,1.0,33.0,8.0,57.0,4.0,69.0,0.07829833030700684,0.001134758410246476,3.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,790804,val,1,5.68,3,peaceful_agent,peaceful_agent,311,94,0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,60.0,94.0,0.020885229110717773,0.0002221832884118912,4.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,804280,val,1,6.38,0,dqn_agent,dqn_agent,376,282,0,1,0.0,0.0,0.0,1.0,27.0,28.0,235.0,7.0,282.0,0.9057819843292236,0.0032119928522312893,3.5,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,804280,val,1,6.38,1,rule_based_agent,rule_based_agent,376,376,1,0,13.0,8.0,1.0,0.0,74.0,34.0,334.0,4.0,376.0,0.6539003849029541,0.0017390967683589204,1.0,1
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,804280,val,1,6.38,2,coin_collector_agent,coin_collector_agent,376,58,0,1,1.0,1.0,0.0,1.0,22.0,6.0,50.0,2.0,58.0,0.05633044242858887,0.0009712145246308425,2.0,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,804280,val,1,6.38,3,peaceful_agent,peaceful_agent,376,140,0,0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,76.0,140.0,0.02716803550720215,0.00019405739648001535,3.5,0
stage19_targetsync1000_mixed4_full100,bc0bf27,classic,545879,val,1,4.36,0,dqn_agent,dqn_agent,326,326,1,0,9.0,4.0,1.0,0.0,71.0,39.0,270.0,0.0,326.0,0.7023966312408447,0.0021545908933768244,1.0,1
