tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,49594,val,1,5.57,0,dqn_agent,dqn_agent,400,400,1,0,9.0,4.0,1.0,0.0,43.0,47.0,344.0,3.0,400.0,0.8810698986053467,0.0022026747465133667,1.0,1
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,49594,val,1,5.57,1,rule_based_agent,rule_based_agent,400,213,0,1,7.0,2.0,1.0,1.0,40.0,20.0,185.0,8.0,213.0,0.21126699447631836,0.0009918638238324805,2.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,49594,val,1,5.57,2,coin_collector_agent,coin_collector_agent,400,72,0,0,2.0,2.0,0.0,0.0,17.0,7.0,57.0,8.0,72.0,0.04683828353881836,0.0006505317158169217,3.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,49594,val,1,5.57,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,255.0,400.0,0.03618454933166504,9.04613733291626e-05,4.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,124020,val,1,3.6,0,dqn_agent,dqn_agent,400,400,1,0,14.0,4.0,2.0,0.0,48.0,45.0,348.0,2.0,400.0,0.6676323413848877,0.0016690808534622192,1.0,1
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,124020,val,1,3.6,1,rule_based_agent,rule_based_agent,400,140,0,1,3.0,3.0,0.0,1.0,27.0,15.0,122.0,3.0,140.0,0.12212944030761719,0.0008723531450544085,2.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,124020,val,1,3.6,2,coin_collector_agent,coin_collector_agent,400,77,0,1,2.0,2.0,0.0,1.0,30.0,9.0,65.0,3.0,77.0,0.055318355560302734,0.0007184202020818537,3.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,124020,val,1,3.6,3,peaceful_agent,peaceful_agent,400,198,0,0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,133.0,198.0,0.01826310157775879,9.223788675635752e-05,4.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,484337,val,1,3.79,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,16.0,12.0,383.0,0.0,400.0,0.9331059455871582,0.0023327648639678957,1.5,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,484337,val,1,3.79,1,rule_based_agent,rule_based_agent,400,99,0,1,0.0,0.0,0.0,1.0,38.0,11.0,85.0,3.0,99.0,0.07643890380859375,0.000772110139480745,3.5,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,484337,val,1,3.79,2,coin_collector_agent,coin_collector_agent,400,146,0,1,2.0,2.0,0.0,1.0,48.0,14.0,127.0,5.0,146.0,0.12566184997558594,0.0008606976025725064,1.5,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,484337,val,1,3.79,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,293.0,400.0,0.037108659744262695,9.277164936065674e-05,3.5,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,208256,val,1,3.58,0,dqn_agent,dqn_agent,400,400,1,0,10.0,5.0,1.0,0.0,34.0,43.0,349.0,0.0,400.0,0.6633734703063965,0.0016584336757659913,1.0,1
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,208256,val,1,3.58,1,rule_based_agent,rule_based_agent,400,156,0,1,0.0,0.0,0.0,1.0,32.0,13.0,135.0,8.0,156.0,0.14547109603881836,0.0009325070258898613,3.5,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,208256,val,1,3.58,2,coin_collector_agent,coin_collector_agent,400,143,0,1,4.0,4.0,0.0,1.0,31.0,10.0,128.0,5.0,143.0,0.13875079154968262,0.0009702852555921862,2.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,208256,val,1,3.58,3,peaceful_agent,peaceful_agent,400,180,0,0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,133.0,180.0,0.01586604118347168,8.814467324150934e-05,3.5,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,277916,val,1,3.46,0,dqn_agent,dqn_agent,400,400,1,0,10.0,0.0,2.0,0.0,10.0,54.0,343.0,1.0,400.0,0.662787914276123,0.0016569697856903076,1.0,1
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,277916,val,1,3.46,1,rule_based_agent,rule_based_agent,400,62,0,0,1.0,1.0,0.0,0.0,25.0,7.0,54.0,1.0,62.0,0.044524192810058594,0.0007181321420977192,3.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,277916,val,1,3.46,2,coin_collector_agent,coin_collector_agent,400,87,0,0,3.0,3.0,0.0,0.0,26.0,9.0,75.0,3.0,87.0,0.06263494491577148,0.0007199418955835803,2.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,277916,val,1,3.46,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,256.0,400.0,0.037894248962402344,9.473562240600586e-05,4.0,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,790804,val,1,3.47,0,dqn_agent,dqn_agent,400,400,1,0,15.0,5.0,2.0,0.0,42.0,50.0,332.0,3.0,400.0,0.6170165538787842,0.0015425413846969604,1.0,1
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,790804,val,1,3.47,1,rule_based_agent,rule_based_agent,400,65,0,1,2.0,2.0,0.0,1.0,10.0,6.0,55.0,4.0,65.0,0.04697990417480469,0.0007227677565354567,2.5,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,790804,val,1,3.47,2,coin_collector_agent,coin_collector_agent,400,192,0,1,2.0,2.0,0.0,1.0,50.0,15.0,175.0,2.0,192.0,0.20179533958435059,0.0010510173936684926,2.5,0
stage20_epsdecay400k_mixed4_full100,57a9b31,classic,790804,val,1,3.47,3,peaceful_agent,peaceful_agent,400,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,52.0,90.0,0.00774383544921875,8.604261610243056e-05,4.0,0
