tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,49594,val,1,6.11,0,dqn_agent,dqn_agent,336,109,0,1,0.0,0.0,0.0,1.0,15.0,9.0,59.0,3.0,109.0,0.25037574768066406,0.0022970252080794866,3.5,0
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,49594,val,1,6.11,1,rule_based_agent,rule_based_agent,336,79,0,1,2.0,2.0,0.0,1.0,27.0,8.0,69.0,2.0,79.0,0.05964803695678711,0.000755038442490976,2.0,0
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,49594,val,1,6.11,2,coin_collector_agent,coin_collector_agent,336,336,1,0,12.0,7.0,1.0,0.0,85.0,29.0,300.0,3.0,336.0,0.4128856658935547,0.0012288263865879603,1.0,1
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,49594,val,1,6.11,3,peaceful_agent,peaceful_agent,336,208,0,0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,128.0,208.0,0.019129514694213867,9.196882064525898e-05,3.5,0
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,124020,val,1,3.34,0,dqn_agent,dqn_agent,243,126,0,0,1.0,1.0,0.0,0.0,23.0,13.0,93.0,5.0,126.0,0.2722458839416504,0.0021606816185845267,3.0,0
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,124020,val,1,3.34,1,rule_based_agent,rule_based_agent,243,243,1,0,13.0,3.0,2.0,0.0,52.0,24.0,214.0,1.0,243.0,0.3454303741455078,0.0014215241734383038,1.0,1
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,124020,val,1,3.34,2,coin_collector_agent,coin_collector_agent,243,115,0,1,5.0,5.0,0.0,1.0,37.0,10.0,101.0,4.0,115.0,0.10682106018066406,0.0009288787841796875,2.0,0
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,124020,val,1,3.34,3,peaceful_agent,peaceful_agent,243,118,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,83.0,118.0,0.011157751083374023,9.45572125709663e-05,4.0,0
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,484337,val,1,4.19,0,dqn_agent,dqn_agent,400,400,1,0,15.0,5.0,2.0,0.0,26.0,38.0,286.0,5.0,400.0,0.8744194507598877,0.002186048626899719,1.0,1
stage21_gradclip5_mixed4_full100,a1fe9d0,classic,484337,val,1,4.19,1,rule_based_agent,rule_based_agent,400,400,1,0,3.0,3.0,0.0,0.0,54.0,28.0,365.0,7.0,400.0,0.48791027069091797,0.0012197756767272948,2.0,0
