tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,49594,val,1,7.59,0,dqn_agent,dqn_agent,400,400,1,0,11.0,6.0,1.0,0.0,82.0,48.0,346.0,0.0,400.0,0.8691174983978271,0.002172793745994568,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,49594,val,1,7.59,1,rule_based_agent,rule_based_agent,400,81,0,1,2.0,2.0,0.0,1.0,25.0,8.0,67.0,6.0,81.0,0.06037402153015137,0.0007453582904956959,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,49594,val,1,7.59,2,coin_collector_agent,coin_collector_agent,400,52,0,1,0.0,0.0,0.0,1.0,10.0,6.0,41.0,5.0,52.0,0.03385663032531738,0.000651089044717642,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,49594,val,1,7.59,3,peaceful_agent,peaceful_agent,400,397,0,0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,219.0,397.0,0.03680753707885742,9.271419919107663e-05,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,124020,val,1,3.41,0,dqn_agent,dqn_agent,400,400,1,0,3.0,3.0,0.0,0.0,32.0,54.0,341.0,1.0,400.0,0.5731043815612793,0.0014327609539031983,2.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,124020,val,1,3.41,1,rule_based_agent,rule_based_agent,400,115,0,1,8.0,3.0,1.0,1.0,28.0,11.0,100.0,4.0,115.0,0.08454489707946777,0.0007351730180823285,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,124020,val,1,3.41,2,coin_collector_agent,coin_collector_agent,400,96,0,1,3.0,3.0,0.0,1.0,31.0,9.0,83.0,4.0,96.0,0.08154702186584473,0.0008494481444358826,2.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,124020,val,1,3.41,3,peaceful_agent,peaceful_agent,400,115,0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,84.0,115.0,0.011188268661499023,9.728929270868716e-05,4.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,484337,val,1,3.6,0,dqn_agent,dqn_agent,400,400,1,0,8.0,3.0,1.0,0.0,33.0,23.0,187.0,1.0,400.0,0.7028288841247559,0.0017570722103118896,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,484337,val,1,3.6,1,rule_based_agent,rule_based_agent,400,144,0,1,6.0,1.0,1.0,1.0,36.0,14.0,125.0,5.0,144.0,0.15416836738586426,0.0010706136624018352,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,484337,val,1,3.6,2,coin_collector_agent,coin_collector_agent,400,118,0,0,2.0,2.0,0.0,0.0,41.0,13.0,103.0,2.0,118.0,0.09729528427124023,0.0008245363073833918,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,484337,val,1,3.6,3,peaceful_agent,peaceful_agent,400,133,0,0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,83.0,133.0,0.012091636657714844,9.091456133620184e-05,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,208256,val,1,3.26,0,dqn_agent,dqn_agent,400,400,1,0,7.0,2.0,1.0,0.0,17.0,51.0,345.0,0.0,400.0,0.5513229370117188,0.0013783073425292969,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,208256,val,1,3.26,1,rule_based_agent,rule_based_agent,400,75,0,1,5.0,0.0,1.0,1.0,27.0,8.0,64.0,3.0,75.0,0.055121660232543945,0.0007349554697672526,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,208256,val,1,3.26,2,coin_collector_agent,coin_collector_agent,400,118,0,0,2.0,2.0,0.0,0.0,38.0,12.0,103.0,3.0,118.0,0.09565448760986328,0.0008106312509310447,3.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,208256,val,1,3.26,3,peaceful_agent,peaceful_agent,400,60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,39.0,60.0,0.005567312240600586,9.27885373433431e-05,4.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,277916,val,1,3.48,0,dqn_agent,dqn_agent,400,400,1,0,10.0,5.0,1.0,0.0,53.0,45.0,349.0,0.0,400.0,0.7423017024993896,0.001855754256248474,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,277916,val,1,3.48,1,rule_based_agent,rule_based_agent,400,52,0,1,1.0,1.0,0.0,1.0,22.0,6.0,43.0,3.0,52.0,0.03856801986694336,0.0007416926897489107,3.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,277916,val,1,3.48,2,coin_collector_agent,coin_collector_agent,400,128,0,1,3.0,3.0,0.0,1.0,35.0,12.0,112.0,4.0,128.0,0.09279417991638184,0.0007249545305967331,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,277916,val,1,3.48,3,peaceful_agent,peaceful_agent,400,258,0,0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,179.0,258.0,0.023931503295898438,9.275776471278464e-05,4.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,790804,val,1,3.43,0,dqn_agent,dqn_agent,400,400,1,0,14.0,4.0,2.0,0.0,30.0,44.0,343.0,0.0,400.0,0.6066567897796631,0.0015166419744491576,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,790804,val,1,3.43,1,rule_based_agent,rule_based_agent,400,61,0,0,2.0,2.0,0.0,0.0,11.0,6.0,51.0,4.0,61.0,0.05301785469055176,0.0008691451588615042,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,790804,val,1,3.43,2,coin_collector_agent,coin_collector_agent,400,135,0,1,1.0,1.0,0.0,1.0,49.0,13.0,115.0,7.0,135.0,0.1260979175567627,0.0009340586485686125,3.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,790804,val,1,3.43,3,peaceful_agent,peaceful_agent,400,145,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,70.0,145.0,0.01348733901977539,9.301613117086476e-05,4.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,804280,val,1,3.5,0,dqn_agent,dqn_agent,352,190,0,1,9.0,4.0,1.0,1.0,23.0,19.0,149.0,7.0,190.0,0.38759446144104004,0.0020399708496896844,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,804280,val,1,3.5,1,rule_based_agent,rule_based_agent,352,66,0,1,0.0,0.0,0.0,1.0,22.0,8.0,55.0,3.0,66.0,0.05150866508483887,0.0007804343194672556,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,804280,val,1,3.5,2,coin_collector_agent,coin_collector_agent,352,352,1,0,5.0,5.0,0.0,0.0,78.0,32.0,317.0,3.0,352.0,0.5057826042175293,0.0014368823983452537,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,804280,val,1,3.5,3,peaceful_agent,peaceful_agent,352,109,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,71.0,109.0,0.009427070617675781,8.648688640069525e-05,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,545879,val,1,3.38,0,dqn_agent,dqn_agent,287,52,0,0,0.0,0.0,0.0,0.0,11.0,6.0,40.0,1.0,52.0,0.08653640747070312,0.0016641616821289062,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,545879,val,1,3.38,1,rule_based_agent,rule_based_agent,287,261,0,1,13.0,3.0,2.0,1.0,57.0,22.0,235.0,4.0,261.0,0.27399325370788574,0.0010497825812562673,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,545879,val,1,3.38,2,coin_collector_agent,coin_collector_agent,287,287,1,0,6.0,6.0,0.0,0.0,61.0,22.0,256.0,5.0,287.0,0.4397773742675781,0.001532325345880063,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,545879,val,1,3.38,3,peaceful_agent,peaceful_agent,287,175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,79.0,175.0,0.014323949813842773,8.185114179338728e-05,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,406102,val,1,3.58,0,dqn_agent,dqn_agent,400,400,1,0,10.0,5.0,1.0,0.0,43.0,51.0,342.0,1.0,400.0,0.6311709880828857,0.0015779274702072143,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,406102,val,1,3.58,1,rule_based_agent,rule_based_agent,400,139,0,0,3.0,3.0,0.0,0.0,28.0,12.0,123.0,4.0,139.0,0.1247854232788086,0.0008977368581209251,3.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,406102,val,1,3.58,2,coin_collector_agent,coin_collector_agent,400,175,0,1,6.0,1.0,1.0,1.0,48.0,15.0,159.0,1.0,175.0,0.19553780555725098,0.001117358888898577,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,406102,val,1,3.58,3,peaceful_agent,peaceful_agent,400,127,0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,81.0,127.0,0.011223793029785156,8.837632306917446e-05,4.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,636789,val,1,3.54,0,dqn_agent,dqn_agent,309,309,1,0,10.0,5.0,1.0,0.0,26.0,28.0,266.0,3.0,309.0,0.60323166847229,0.0019522060468358902,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,636789,val,1,3.54,1,rule_based_agent,rule_based_agent,309,92,0,1,1.0,1.0,0.0,1.0,38.0,10.0,78.0,4.0,92.0,0.06769800186157227,0.0007358478463214377,3.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,636789,val,1,3.54,2,coin_collector_agent,coin_collector_agent,309,232,0,1,3.0,3.0,0.0,1.0,56.0,21.0,203.0,8.0,232.0,0.31794166564941406,0.001370438214006095,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,636789,val,1,3.54,3,peaceful_agent,peaceful_agent,309,102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,64.0,102.0,0.008703470230102539,8.53281395108092e-05,4.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,624167,val,1,3.51,0,dqn_agent,dqn_agent,344,344,1,0,17.0,7.0,2.0,0.0,78.0,39.0,286.0,3.0,344.0,0.7292170524597168,0.002119817012964293,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,624167,val,1,3.51,1,rule_based_agent,rule_based_agent,344,67,0,1,2.0,2.0,0.0,1.0,15.0,8.0,57.0,2.0,67.0,0.05058431625366211,0.0007549897948307778,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,624167,val,1,3.51,2,coin_collector_agent,coin_collector_agent,344,96,0,0,0.0,0.0,0.0,0.0,31.0,10.0,84.0,2.0,96.0,0.07915091514587402,0.0008244886994361877,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,624167,val,1,3.51,3,peaceful_agent,peaceful_agent,344,340,0,0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,215.0,340.0,0.03214597702026367,9.454699123606962e-05,3.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,762722,val,1,4.15,0,dqn_agent,dqn_agent,400,400,1,0,8.0,3.0,1.0,0.0,32.0,43.0,322.0,13.0,400.0,0.9293851852416992,0.002323462963104248,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,762722,val,1,4.15,1,rule_based_agent,rule_based_agent,400,400,1,0,3.0,3.0,0.0,0.0,45.0,32.0,352.0,16.0,400.0,0.4827604293823242,0.0012069010734558105,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,762722,val,1,4.15,2,coin_collector_agent,coin_collector_agent,400,64,0,1,1.0,1.0,0.0,1.0,22.0,7.0,53.0,4.0,64.0,0.052634477615356445,0.0008224137127399445,3.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,762722,val,1,4.15,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,240.0,400.0,0.03698420524597168,9.24605131149292e-05,4.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,839781,val,1,3.43,0,dqn_agent,dqn_agent,400,400,1,0,9.0,4.0,1.0,0.0,33.0,48.0,345.0,2.0,400.0,0.638887882232666,0.0015972197055816651,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,839781,val,1,3.43,1,rule_based_agent,rule_based_agent,400,139,0,1,1.0,1.0,0.0,1.0,44.0,14.0,120.0,5.0,139.0,0.12042403221130371,0.0008663599439662137,3.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,839781,val,1,3.43,2,coin_collector_agent,coin_collector_agent,400,66,0,1,2.0,2.0,0.0,1.0,20.0,7.0,55.0,4.0,66.0,0.04738020896911621,0.0007178819540775183,2.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,839781,val,1,3.43,3,peaceful_agent,peaceful_agent,400,171,0,0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,91.0,171.0,0.01504206657409668,8.796530160290456e-05,4.0,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,186192,val,1,2.87,0,dqn_agent,dqn_agent,400,97,0,1,1.0,1.0,0.0,1.0,22.0,11.0,79.0,2.0,97.0,0.19651246070861816,0.002025901656789878,2.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,186192,val,1,2.87,1,rule_based_agent,rule_based_agent,400,138,0,1,4.0,4.0,0.0,1.0,42.0,14.0,121.0,3.0,138.0,0.10283541679382324,0.0007451841796653858,1.0,1
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,186192,val,1,2.87,2,coin_collector_agent,coin_collector_agent,400,57,0,1,1.0,1.0,0.0,1.0,17.0,7.0,45.0,5.0,57.0,0.03744912147521973,0.0006570021311442057,2.5,0
stage22_f_quantiles64_mixed4_full100,8e62e85,classic,186192,val,1,2.87,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,178.0,400.0,0.027570247650146484,6.892561912536622e-05,4.0,0
