tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage22_f_quantiles64_solo_classic,168848c,classic,49594,val,1,3.64,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,123.0,53.0,307.0,0.0,400.0,0.48959851264953613,0.0012239962816238403,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,124020,val,1,3.06,0,dqn_agent,dqn_agent,395,395,1,0,9.0,9.0,0.0,0.0,112.0,51.0,304.0,0.0,395.0,0.4787747859954834,0.0012120880658113503,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,484337,val,1,3.16,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,119.0,53.0,301.0,0.0,400.0,0.48572444915771484,0.001214311122894287,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,208256,val,1,3.05,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,107.0,55.0,288.0,0.0,400.0,0.5166642665863037,0.0012916606664657593,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,277916,val,1,3.23,0,dqn_agent,dqn_agent,400,400,1,0,8.0,8.0,0.0,0.0,108.0,55.0,274.0,0.0,400.0,0.5642645359039307,0.0014106613397598267,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,790804,val,1,3.7,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,111.0,51.0,294.0,0.0,400.0,0.47959208488464355,0.0011989802122116088,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,804280,val,1,3.05,0,dqn_agent,dqn_agent,400,400,1,0,7.0,7.0,0.0,0.0,114.0,53.0,296.0,0.0,400.0,0.4926719665527344,0.001231679916381836,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,545879,val,1,2.98,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,123.0,54.0,292.0,0.0,400.0,0.4714329242706299,0.0011785823106765748,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,406102,val,1,3.1,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,107.0,54.0,298.0,0.0,400.0,0.5003373622894287,0.0012508434057235717,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,636789,val,1,3.0,0,dqn_agent,dqn_agent,366,366,1,0,9.0,9.0,0.0,0.0,120.0,47.0,276.0,0.0,366.0,0.4369986057281494,0.0011939852615523209,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,624167,val,1,3.01,0,dqn_agent,dqn_agent,393,393,1,0,9.0,9.0,0.0,0.0,124.0,52.0,288.0,0.0,393.0,0.4634389877319336,0.001179234065475658,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,762722,val,1,3.04,0,dqn_agent,dqn_agent,400,400,1,0,8.0,8.0,0.0,0.0,117.0,53.0,301.0,0.0,400.0,0.5132715702056885,0.001283178925514221,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,839781,val,1,3.1,0,dqn_agent,dqn_agent,400,400,1,0,8.0,8.0,0.0,0.0,114.0,53.0,311.0,0.0,400.0,0.486818790435791,0.0012170469760894775,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,186192,val,1,3.04,0,dqn_agent,dqn_agent,400,400,1,0,7.0,7.0,0.0,0.0,107.0,54.0,289.0,0.0,400.0,0.5014491081237793,0.0012536227703094482,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,318385,val,1,2.89,0,dqn_agent,dqn_agent,374,374,1,0,9.0,9.0,0.0,0.0,123.0,51.0,281.0,0.0,374.0,0.4519033432006836,0.0012082977090927369,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,400072,val,1,2.99,0,dqn_agent,dqn_agent,395,395,1,0,9.0,9.0,0.0,0.0,121.0,52.0,294.0,0.0,395.0,0.465573787689209,0.0011786678169347063,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,282475,val,1,2.92,0,dqn_agent,dqn_agent,385,385,1,0,9.0,9.0,0.0,0.0,125.0,49.0,282.0,0.0,385.0,0.4780998229980469,0.001241817722072849,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,650547,val,1,2.97,0,dqn_agent,dqn_agent,400,400,1,0,4.0,4.0,0.0,0.0,53.0,57.0,283.0,0.0,400.0,0.46459197998046875,0.001161479949951172,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,35508,val,1,2.98,0,dqn_agent,dqn_agent,397,397,1,0,9.0,9.0,0.0,0.0,116.0,53.0,296.0,0.0,397.0,0.4785895347595215,0.0012055152009055956,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,228967,val,1,2.98,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,120.0,53.0,297.0,0.0,400.0,0.47467923164367676,0.001186698079109192,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,478560,val,1,3.0,0,dqn_agent,dqn_agent,375,375,1,0,9.0,9.0,0.0,0.0,116.0,48.0,282.0,0.0,375.0,0.459735631942749,0.001225961685180664,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,231944,val,1,2.97,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,115.0,52.0,301.0,0.0,400.0,0.4824244976043701,0.0012060612440109252,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,906466,val,1,2.99,0,dqn_agent,dqn_agent,400,400,1,0,7.0,7.0,0.0,0.0,106.0,56.0,285.0,0.0,400.0,0.48014092445373535,0.0012003523111343384,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,445753,val,1,2.97,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,115.0,54.0,309.0,0.0,400.0,0.48007798194885254,0.0012001949548721314,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,855458,val,1,3.02,0,dqn_agent,dqn_agent,391,391,1,0,9.0,9.0,0.0,0.0,124.0,51.0,291.0,0.0,391.0,0.47059035301208496,0.0012035558900564832,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,407560,val,1,3.0,0,dqn_agent,dqn_agent,400,400,1,0,7.0,7.0,0.0,0.0,92.0,56.0,283.0,0.0,400.0,0.5034289360046387,0.0012585723400115967,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,182882,val,1,3.02,0,dqn_agent,dqn_agent,400,400,1,0,7.0,7.0,0.0,0.0,88.0,55.0,294.0,0.0,400.0,0.4968883991241455,0.0012422209978103637,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,838439,val,1,2.99,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,124.0,54.0,292.0,0.0,400.0,0.4762754440307617,0.0011906886100769042,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,362182,val,1,2.91,0,dqn_agent,dqn_agent,369,369,1,0,9.0,9.0,0.0,0.0,125.0,48.0,278.0,0.0,369.0,0.4425036907196045,0.0011991969938200664,1.0,1
stage22_f_quantiles64_solo_classic,168848c,classic,33914,val,1,3.0,0,dqn_agent,dqn_agent,400,400,1,0,9.0,9.0,0.0,0.0,118.0,53.0,297.0,0.0,400.0,0.4735229015350342,0.0011838072538375855,1.0,1
