tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage25_diversity_mixed4_full100,6f94b08,classic,49594,val,1,5.2,0,dqn_agent,dqn_agent,400,90,0,1,0.0,0.0,0.0,1.0,8.0,7.0,74.0,1.0,90.0,0.22768235206604004,0.0025298039118448893,3.5,0
stage25_diversity_mixed4_full100,6f94b08,classic,49594,val,1,5.2,1,rule_based_agent,rule_based_agent,400,133,0,0,6.0,1.0,1.0,0.0,36.0,11.0,118.0,4.0,133.0,0.1338202953338623,0.0010061676340891903,2.0,0
stage25_diversity_mixed4_full100,6f94b08,classic,49594,val,1,5.2,2,coin_collector_agent,coin_collector_agent,400,135,0,0,10.0,5.0,1.0,0.0,31.0,13.0,113.0,9.0,135.0,0.13490819931030273,0.0009993199948911313,1.0,1
stage25_diversity_mixed4_full100,6f94b08,classic,49594,val,1,5.2,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,236.0,400.0,0.041829824447631836,0.00010457456111907959,3.5,0
stage25_diversity_mixed4_full100,6f94b08,classic,124020,val,1,4.07,0,dqn_agent,dqn_agent,400,400,1,0,12.0,2.0,2.0,0.0,32.0,46.0,347.0,0.0,400.0,0.8634011745452881,0.00215850293636322,1.0,1
stage25_diversity_mixed4_full100,6f94b08,classic,124020,val,1,4.07,1,rule_based_agent,rule_based_agent,400,186,0,0,6.0,6.0,0.0,0.0,40.0,16.0,167.0,3.0,186.0,0.17832684516906738,0.0009587464794035881,2.0,0
stage25_diversity_mixed4_full100,6f94b08,classic,124020,val,1,4.07,2,coin_collector_agent,coin_collector_agent,400,48,0,1,1.0,1.0,0.0,1.0,21.0,6.0,40.0,2.0,48.0,0.03483271598815918,0.0007256815830866495,3.0,0
stage25_diversity_mixed4_full100,6f94b08,classic,124020,val,1,4.07,3,peaceful_agent,peaceful_agent,400,214,0,0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,133.0,214.0,0.02778935432434082,0.00012985679590813467,4.0,0
stage25_diversity_mixed4_full100,6f94b08,classic,484337,val,1,3.98,0,dqn_agent,dqn_agent,268,141,0,0,2.0,2.0,0.0,0.0,22.0,11.0,125.0,1.0,141.0,0.37943029403686523,0.002690994993169257,3.0,0
stage25_diversity_mixed4_full100,6f94b08,classic,484337,val,1,3.98,1,rule_based_agent,rule_based_agent,268,268,1,0,12.0,2.0,2.0,0.0,52.0,25.0,239.0,3.0,268.0,0.47331857681274414,0.0017661140925848663,1.0,1
stage25_diversity_mixed4_full100,6f94b08,classic,484337,val,1,3.98,2,coin_collector_agent,coin_collector_agent,268,178,0,1,5.0,5.0,0.0,1.0,46.0,14.0,160.0,4.0,178.0,0.23235344886779785,0.001305356454313471,2.0,0
stage25_diversity_mixed4_full100,6f94b08,classic,484337,val,1,3.98,3,peaceful_agent,peaceful_agent,268,114,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,72.0,114.0,0.014274120330810547,0.0001252115818492153,4.0,0
