tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,49594,val,1,4.82,0,q_agent,q_agent_0,400,400,1,0,9.0,9.0,0.0,0.0,0.0,0.0,20.0,1.0,400.0,0.8700056076049805,0.002175014019012451,3.0,0
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,49594,val,1,4.82,1,q_agent,q_agent_1,400,400,1,0,14.0,14.0,0.0,0.0,0.0,0.0,28.0,0.0,400.0,0.7692432403564453,0.0019231081008911134,1.0,1
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,49594,val,1,4.82,2,q_agent,q_agent_2,400,400,1,0,7.0,7.0,0.0,0.0,0.0,0.0,20.0,0.0,400.0,1.0425713062286377,0.0026064282655715943,4.0,0
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,49594,val,1,4.82,3,q_agent,q_agent_3,400,400,1,0,13.0,13.0,0.0,0.0,0.0,0.0,24.0,0.0,400.0,0.922959566116333,0.0023073989152908327,2.0,0
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,124020,val,1,4.99,0,q_agent,q_agent_0,400,400,1,0,16.0,16.0,0.0,0.0,0.0,0.0,29.0,0.0,400.0,1.0064237117767334,0.0025160592794418336,1.0,1
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,124020,val,1,4.99,1,q_agent,q_agent_1,400,400,1,0,10.0,10.0,0.0,0.0,0.0,0.0,21.0,1.0,400.0,0.9121983051300049,0.0022804957628250124,3.5,0
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,124020,val,1,4.99,2,q_agent,q_agent_2,400,400,1,0,12.0,12.0,0.0,0.0,0.0,0.0,25.0,0.0,400.0,0.844038724899292,0.00211009681224823,2.0,0
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,124020,val,1,4.99,3,q_agent,q_agent_3,400,400,1,0,10.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,400.0,1.012444257736206,0.002531110644340515,3.5,0
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,484337,val,1,4.68,0,q_agent,q_agent_0,400,400,1,0,13.0,13.0,0.0,0.0,0.0,0.0,30.0,0.0,400.0,0.7095532417297363,0.0017738831043243408,3.0,0
stage2_qagent_opponentfeatures_coinheaven,b0e932b,coin-heaven,484337,val,1,4.68,1,q_agent,q_agent_1,400,400,1,0,16.0,16.0,0.0,0.0,0.0,0.0,45.0,0.0,400.0,0.9075050354003906,0.0022687625885009764,1.5,0
