tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage3_vs_peaceful,87675cc,classic,49594,val,1,4.43,0,dqn_agent,dqn_agent,400,400,1,0,13.0,8.0,1.0,0.0,122.0,53.0,260.0,1.0,400.0,0.3886871337890625,0.0009717178344726562,1.0,1
stage3_vs_peaceful,87675cc,classic,49594,val,1,4.43,1,peaceful_agent,peaceful_agent,400,210,0,0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,143.0,210.0,0.016944408416748047,8.068765912737166e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,124020,val,1,2.66,0,dqn_agent,dqn_agent,373,373,1,0,14.0,9.0,1.0,0.0,112.0,50.0,232.0,0.0,373.0,0.34166407585144043,0.0009159894794944784,1.0,1
stage3_vs_peaceful,87675cc,classic,124020,val,1,2.66,1,peaceful_agent,peaceful_agent,373,85,0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,52.0,85.0,0.006755828857421875,7.948033949908088e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,484337,val,1,2.78,0,dqn_agent,dqn_agent,400,400,1,0,14.0,9.0,1.0,0.0,111.0,50.0,256.0,0.0,400.0,0.4274470806121826,0.0010686177015304566,1.0,1
stage3_vs_peaceful,87675cc,classic,484337,val,1,2.78,1,peaceful_agent,peaceful_agent,400,290,0,0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,189.0,290.0,0.023512840270996094,8.107875955515895e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,208256,val,1,2.73,0,dqn_agent,dqn_agent,400,400,1,0,13.0,8.0,1.0,0.0,117.0,52.0,254.0,0.0,400.0,0.3828768730163574,0.0009571921825408936,1.0,1
stage3_vs_peaceful,87675cc,classic,208256,val,1,2.73,1,peaceful_agent,peaceful_agent,400,113,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,86.0,113.0,0.008912324905395508,7.887013190615494e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,277916,val,1,2.75,0,dqn_agent,dqn_agent,371,371,1,0,14.0,9.0,1.0,0.0,119.0,49.0,253.0,0.0,371.0,0.4060509204864502,0.0010944768746265505,1.0,1
stage3_vs_peaceful,87675cc,classic,277916,val,1,2.75,1,peaceful_agent,peaceful_agent,371,294,0,0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,188.0,294.0,0.023512601852416992,7.997483623271086e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,790804,val,1,2.84,0,dqn_agent,dqn_agent,400,400,1,0,10.0,5.0,1.0,0.0,61.0,20.0,344.0,0.0,400.0,0.5324451923370361,0.0013311129808425903,1.0,1
stage3_vs_peaceful,87675cc,classic,790804,val,1,2.84,1,peaceful_agent,peaceful_agent,400,135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,86.0,135.0,0.013514995574951172,0.00010011107833297164,2.0,0
stage3_vs_peaceful,87675cc,classic,804280,val,1,2.74,0,dqn_agent,dqn_agent,400,400,1,0,12.0,7.0,1.0,0.0,112.0,42.0,198.0,1.0,400.0,0.4145803451538086,0.0010364508628845214,1.0,1
stage3_vs_peaceful,87675cc,classic,804280,val,1,2.74,1,peaceful_agent,peaceful_agent,400,189,0,0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,111.0,189.0,0.015666723251342773,8.289271561557022e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,545879,val,1,2.63,0,dqn_agent,dqn_agent,378,378,1,0,14.0,9.0,1.0,0.0,129.0,50.0,245.0,0.0,378.0,0.34734320640563965,0.0009188973714434911,1.0,1
stage3_vs_peaceful,87675cc,classic,545879,val,1,2.63,1,peaceful_agent,peaceful_agent,378,102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,73.0,102.0,0.008769512176513672,8.597560957366345e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,406102,val,1,2.75,0,dqn_agent,dqn_agent,395,395,1,0,14.0,9.0,1.0,0.0,129.0,54.0,253.0,0.0,395.0,0.4333837032318115,0.0010971739322324342,1.0,1
stage3_vs_peaceful,87675cc,classic,406102,val,1,2.75,1,peaceful_agent,peaceful_agent,395,354,0,0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,249.0,354.0,0.02735161781311035,7.726445709918179e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,636789,val,1,2.71,0,dqn_agent,dqn_agent,400,400,1,0,14.0,9.0,1.0,0.0,120.0,53.0,276.0,0.0,400.0,0.37268662452697754,0.0009317165613174439,1.0,1
stage3_vs_peaceful,87675cc,classic,636789,val,1,2.71,1,peaceful_agent,peaceful_agent,400,130,0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,93.0,130.0,0.010181188583374023,7.831683525672326e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,624167,val,1,2.73,0,dqn_agent,dqn_agent,400,400,1,0,13.0,8.0,1.0,0.0,122.0,45.0,217.0,0.0,400.0,0.42423176765441895,0.0010605794191360473,1.0,1
stage3_vs_peaceful,87675cc,classic,624167,val,1,2.73,1,peaceful_agent,peaceful_agent,400,187,0,0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,113.0,187.0,0.015071868896484375,8.059822939296457e-05,2.0,0
stage3_vs_peaceful,87675cc,classic,762722,val,1,2.82,0,dqn_agent,dqn_agent,400,400,1,0,12.0,7.0,1.0,0.0,103.0,52.0,248.0,0.0,400.0,0.4586308002471924,0.001146577000617981,1.0,1
stage3_vs_peaceful,87675cc,classic,762722,val,1,2.82,1,peaceful_agent,peaceful_agent,400,369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,193.0,369.0,0.029953956604003906,8.117603415719215e-05,2.0,0
