tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage4a_v2_vs_coincollector,0f5e37a,classic,49594,val,1,3.4,0,dqn_agent,dqn_agent,400,400,1,0,5.0,5.0,0.0,0.0,75.0,28.0,160.0,0.0,400.0,0.48607683181762695,0.0012151920795440674,1.0,1
stage4a_v2_vs_coincollector,0f5e37a,classic,49594,val,1,3.4,1,coin_collector_agent,coin_collector_agent,400,95,0,1,3.0,3.0,0.0,1.0,35.0,10.0,81.0,4.0,95.0,0.0770566463470459,0.0008111225931267989,2.0,0
stage4a_v2_vs_coincollector,0f5e37a,classic,124020,val,1,3.01,0,dqn_agent,dqn_agent,313,313,1,0,2.0,2.0,0.0,0.0,42.0,22.0,195.0,0.0,313.0,0.4307575225830078,0.0013762221168786193,2.0,0
stage4a_v2_vs_coincollector,0f5e37a,classic,124020,val,1,3.01,1,coin_collector_agent,coin_collector_agent,313,241,0,1,7.0,7.0,0.0,1.0,70.0,23.0,211.0,7.0,241.0,0.2593953609466553,0.0010763292985338394,1.0,1
stage4a_v2_vs_coincollector,0f5e37a,classic,484337,val,1,2.87,0,dqn_agent,dqn_agent,387,62,0,1,2.0,2.0,0.0,1.0,19.0,6.0,44.0,1.0,62.0,0.07125473022460938,0.0011492698423324092,2.0,0
stage4a_v2_vs_coincollector,0f5e37a,classic,484337,val,1,2.87,1,coin_collector_agent,coin_collector_agent,387,387,1,0,12.0,7.0,1.0,0.0,101.0,36.0,346.0,1.0,387.0,0.4858059883117676,0.001255312631296557,1.0,1
stage4a_v2_vs_coincollector,0f5e37a,classic,208256,val,1,2.76,0,dqn_agent,dqn_agent,318,318,1,0,8.0,8.0,0.0,0.0,63.0,33.0,238.0,0.0,318.0,0.3507225513458252,0.0011029011048610856,1.0,1
stage4a_v2_vs_coincollector,0f5e37a,classic,208256,val,1,2.76,1,coin_collector_agent,coin_collector_agent,318,146,0,1,1.0,1.0,0.0,1.0,55.0,15.0,128.0,3.0,146.0,0.1118168830871582,0.0007658690622408096,2.0,0
stage4a_v2_vs_coincollector,0f5e37a,classic,277916,val,1,2.82,0,dqn_agent,dqn_agent,400,400,1,0,8.0,8.0,0.0,0.0,73.0,32.0,320.0,0.0,400.0,0.4443385601043701,0.0011108464002609253,1.0,1
stage4a_v2_vs_coincollector,0f5e37a,classic,277916,val,1,2.82,1,coin_collector_agent,coin_collector_agent,400,68,0,1,1.0,1.0,0.0,1.0,34.0,8.0,57.0,3.0,68.0,0.04924368858337402,0.0007241718909319709,2.0,0
