tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage4a_vs_coincollector,a706845,classic,49594,val,1,3.76,0,dqn_agent,dqn_agent,400,400,1,0,9.0,4.0,1.0,0.0,67.0,27.0,339.0,0.0,400.0,0.48767638206481934,0.0012191909551620484,1.0,1
stage4a_vs_coincollector,a706845,classic,49594,val,1,3.76,1,coin_collector_agent,coin_collector_agent,400,124,0,0,5.0,5.0,0.0,0.0,41.0,12.0,109.0,3.0,124.0,0.0955507755279541,0.0007705707703867267,2.0,0
stage4a_vs_coincollector,a706845,classic,124020,val,1,2.61,0,dqn_agent,dqn_agent,294,294,1,0,13.0,8.0,1.0,0.0,86.0,33.0,223.0,0.0,294.0,0.2775259017944336,0.0009439656523620191,1.0,1
stage4a_vs_coincollector,a706845,classic,124020,val,1,2.61,1,coin_collector_agent,coin_collector_agent,294,71,0,0,1.0,1.0,0.0,0.0,26.0,8.0,61.0,2.0,71.0,0.05050468444824219,0.000711333583778059,2.0,0
stage4a_vs_coincollector,a706845,classic,484337,val,1,2.66,0,dqn_agent,dqn_agent,329,329,1,0,14.0,9.0,1.0,0.0,94.0,39.0,248.0,0.0,329.0,0.29947328567504883,0.0009102531479484767,1.0,1
stage4a_vs_coincollector,a706845,classic,484337,val,1,2.66,1,coin_collector_agent,coin_collector_agent,329,75,0,0,0.0,0.0,0.0,0.0,26.0,8.0,65.0,2.0,75.0,0.05524897575378418,0.0007366530100504557,2.0,0
stage4a_vs_coincollector,a706845,classic,208256,val,1,2.72,0,dqn_agent,dqn_agent,351,75,0,1,2.0,2.0,0.0,1.0,20.0,9.0,54.0,1.0,75.0,0.08910918235778809,0.0011881224314371744,2.0,0
stage4a_vs_coincollector,a706845,classic,208256,val,1,2.72,1,coin_collector_agent,coin_collector_agent,351,351,1,0,7.0,7.0,0.0,0.0,98.0,32.0,314.0,1.0,351.0,0.40346503257751465,0.0011494730272863666,1.0,1
stage4a_vs_coincollector,a706845,classic,277916,val,1,2.64,0,dqn_agent,dqn_agent,319,319,1,0,13.0,8.0,1.0,0.0,98.0,36.0,234.0,0.0,319.0,0.29544973373413086,0.0009261747139000967,1.0,1
stage4a_vs_coincollector,a706845,classic,277916,val,1,2.64,1,coin_collector_agent,coin_collector_agent,319,53,0,0,1.0,1.0,0.0,0.0,21.0,6.0,46.0,1.0,53.0,0.03703951835632324,0.0006988588369117593,2.0,0
stage4a_vs_coincollector,a706845,classic,790804,val,1,3.3,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,18.0,40.0,314.0,0.0,400.0,0.49751830101013184,0.0012437957525253296,2.0,0
stage4a_vs_coincollector,a706845,classic,790804,val,1,3.3,1,coin_collector_agent,coin_collector_agent,400,400,1,0,3.0,3.0,0.0,0.0,22.0,7.0,391.0,2.0,400.0,0.43604159355163574,0.0010901039838790893,1.0,1
stage4a_vs_coincollector,a706845,classic,804280,val,1,2.81,0,dqn_agent,dqn_agent,400,400,1,0,6.0,6.0,0.0,0.0,93.0,35.0,325.0,0.0,400.0,0.44298601150512695,0.0011074650287628174,1.0,1
stage4a_vs_coincollector,a706845,classic,804280,val,1,2.81,1,coin_collector_agent,coin_collector_agent,400,69,0,1,0.0,0.0,0.0,1.0,24.0,8.0,60.0,1.0,69.0,0.049912452697753906,0.0007233688796775929,2.0,0
stage4a_vs_coincollector,a706845,classic,545879,val,1,3.3,0,dqn_agent,dqn_agent,400,400,1,0,1.0,1.0,0.0,0.0,28.0,22.0,234.0,0.0,400.0,0.6155507564544678,0.0015388768911361694,2.0,0
stage4a_vs_coincollector,a706845,classic,545879,val,1,3.3,1,coin_collector_agent,coin_collector_agent,400,315,0,1,8.0,8.0,0.0,1.0,99.0,31.0,279.0,5.0,315.0,0.3770744800567627,0.0011970618414500402,1.0,1
stage4a_vs_coincollector,a706845,classic,406102,val,1,2.96,0,dqn_agent,dqn_agent,400,57,0,1,2.0,2.0,0.0,1.0,16.0,5.0,33.0,0.0,57.0,0.06841564178466797,0.0012002744172748766,2.0,0
stage4a_vs_coincollector,a706845,classic,406102,val,1,2.96,1,coin_collector_agent,coin_collector_agent,400,400,1,0,7.0,7.0,0.0,0.0,109.0,37.0,359.0,4.0,400.0,0.608450174331665,0.0015211254358291626,1.0,1
stage4a_vs_coincollector,a706845,classic,636789,val,1,2.93,0,dqn_agent,dqn_agent,321,321,1,0,5.0,5.0,0.0,0.0,53.0,29.0,254.0,1.0,321.0,0.3944873809814453,0.00122893265103254,1.0,1
stage4a_vs_coincollector,a706845,classic,636789,val,1,2.93,1,coin_collector_agent,coin_collector_agent,321,239,0,1,4.0,4.0,0.0,1.0,67.0,21.0,211.0,7.0,239.0,0.19405412673950195,0.0008119419528849454,2.0,0
stage4a_vs_coincollector,a706845,classic,624167,val,1,2.81,0,dqn_agent,dqn_agent,400,400,1,0,8.0,8.0,0.0,0.0,87.0,39.0,315.0,0.0,400.0,0.4245481491088867,0.0010613703727722168,1.0,1
stage4a_vs_coincollector,a706845,classic,624167,val,1,2.81,1,coin_collector_agent,coin_collector_agent,400,129,0,1,1.0,1.0,0.0,1.0,36.0,12.0,115.0,2.0,129.0,0.11395716667175293,0.0008833888889283173,2.0,0
stage4a_vs_coincollector,a706845,classic,762722,val,1,3.06,0,dqn_agent,dqn_agent,400,400,1,0,5.0,5.0,0.0,0.0,56.0,25.0,357.0,0.0,400.0,0.5118885040283203,0.0012797212600708008,1.0,1
stage4a_vs_coincollector,a706845,classic,762722,val,1,3.06,1,coin_collector_agent,coin_collector_agent,400,220,0,1,3.0,3.0,0.0,1.0,60.0,20.0,193.0,7.0,220.0,0.21840286254882812,0.0009927402843128551,2.0,0
stage4a_vs_coincollector,a706845,classic,839781,val,1,2.82,0,dqn_agent,dqn_agent,400,400,1,0,8.0,8.0,0.0,0.0,87.0,34.0,323.0,0.0,400.0,0.4651460647583008,0.001162865161895752,1.0,1
stage4a_vs_coincollector,a706845,classic,839781,val,1,2.82,1,coin_collector_agent,coin_collector_agent,400,88,0,1,0.0,0.0,0.0,1.0,30.0,10.0,72.0,6.0,88.0,0.059205055236816406,0.0006727847186001865,2.0,0
stage4a_vs_coincollector,a706845,classic,186192,val,1,2.66,0,dqn_agent,dqn_agent,358,358,1,0,12.0,7.0,1.0,0.0,87.0,41.0,256.0,0.0,358.0,0.34458398818969727,0.000962525106675132,1.0,1
stage4a_vs_coincollector,a706845,classic,186192,val,1,2.66,1,coin_collector_agent,coin_collector_agent,358,76,0,0,2.0,2.0,0.0,0.0,28.0,8.0,66.0,2.0,76.0,0.051067352294921875,0.0006719388459858141,2.0,0
stage4a_vs_coincollector,a706845,classic,318385,val,1,2.73,0,dqn_agent,dqn_agent,337,337,1,0,11.0,6.0,1.0,0.0,92.0,40.0,254.0,0.0,337.0,0.332763671875,0.000987429293397626,1.0,1
stage4a_vs_coincollector,a706845,classic,318385,val,1,2.73,1,coin_collector_agent,coin_collector_agent,337,117,0,0,3.0,3.0,0.0,0.0,31.0,11.0,104.0,2.0,117.0,0.09731197357177734,0.0008317262698442508,2.0,0
stage4a_vs_coincollector,a706845,classic,400072,val,1,2.9,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,18.0,9.0,383.0,1.0,400.0,0.5516965389251709,0.0013792413473129274,1.0,1
stage4a_vs_coincollector,a706845,classic,400072,val,1,2.9,1,coin_collector_agent,coin_collector_agent,400,135,0,1,0.0,0.0,0.0,1.0,59.0,15.0,118.0,2.0,135.0,0.09811925888061523,0.0007268093250415944,2.0,0
stage4a_vs_coincollector,a706845,classic,282475,val,1,2.71,0,dqn_agent,dqn_agent,400,400,1,0,7.0,7.0,0.0,0.0,104.0,42.0,296.0,0.0,400.0,0.4005470275878906,0.0010013675689697266,1.0,1
stage4a_vs_coincollector,a706845,classic,282475,val,1,2.71,1,coin_collector_agent,coin_collector_agent,400,46,0,1,1.0,1.0,0.0,1.0,17.0,5.0,37.0,4.0,46.0,0.034836769104003906,0.0007573210674783458,2.0,0
stage4a_vs_coincollector,a706845,classic,650547,val,1,2.8,0,dqn_agent,dqn_agent,400,400,1,0,8.0,8.0,0.0,0.0,83.0,36.0,328.0,0.0,400.0,0.45072054862976074,0.0011268013715744019,1.0,1
stage4a_vs_coincollector,a706845,classic,650547,val,1,2.8,1,coin_collector_agent,coin_collector_agent,400,72,0,1,1.0,1.0,0.0,1.0,28.0,8.0,59.0,5.0,72.0,0.057325124740600586,0.000796182288063897,2.0,0
stage4a_vs_coincollector,a706845,classic,35508,val,1,2.8,0,dqn_agent,dqn_agent,400,400,1,0,7.0,7.0,0.0,0.0,93.0,34.0,333.0,0.0,400.0,0.41364336013793945,0.0010341084003448486,1.0,1
stage4a_vs_coincollector,a706845,classic,35508,val,1,2.8,1,coin_collector_agent,coin_collector_agent,400,65,0,1,1.0,1.0,0.0,1.0,20.0,6.0,56.0,3.0,65.0,0.04966139793395996,0.0007640215066763071,2.0,0
stage4a_vs_coincollector,a706845,classic,228967,val,1,2.79,0,dqn_agent,dqn_agent,400,400,1,0,13.0,8.0,1.0,0.0,91.0,37.0,324.0,0.0,400.0,0.4293801784515381,0.0010734504461288451,1.0,1
stage4a_vs_coincollector,a706845,classic,228967,val,1,2.79,1,coin_collector_agent,coin_collector_agent,400,75,0,1,1.0,1.0,0.0,1.0,27.0,8.0,65.0,2.0,75.0,0.05164670944213867,0.000688622792561849,2.0,0
stage4a_vs_coincollector,a706845,classic,478560,val,1,2.73,0,dqn_agent,dqn_agent,359,359,1,0,14.0,9.0,1.0,0.0,83.0,38.0,276.0,0.0,359.0,0.355515718460083,0.0009902944803902034,1.0,1
stage4a_vs_coincollector,a706845,classic,478560,val,1,2.73,1,coin_collector_agent,coin_collector_agent,359,99,0,0,0.0,0.0,0.0,0.0,33.0,10.0,86.0,3.0,99.0,0.08435988426208496,0.0008521200430513632,2.0,0
stage4a_vs_coincollector,a706845,classic,231944,val,1,2.72,0,dqn_agent,dqn_agent,400,400,1,0,12.0,7.0,1.0,0.0,87.0,35.0,321.0,0.0,400.0,0.41698312759399414,0.0010424578189849854,1.0,1
stage4a_vs_coincollector,a706845,classic,231944,val,1,2.72,1,coin_collector_agent,coin_collector_agent,400,55,0,0,2.0,2.0,0.0,0.0,22.0,7.0,47.0,1.0,55.0,0.03695178031921387,0.000671850551258434,2.0,0
stage4a_vs_coincollector,a706845,classic,906466,val,1,2.89,0,dqn_agent,dqn_agent,400,79,0,1,1.0,1.0,0.0,1.0,22.0,9.0,57.0,1.0,79.0,0.0905611515045166,0.0011463436899305898,2.0,0
stage4a_vs_coincollector,a706845,classic,906466,val,1,2.89,1,coin_collector_agent,coin_collector_agent,400,400,1,0,8.0,8.0,0.0,0.0,98.0,37.0,361.0,2.0,400.0,0.5181436538696289,0.0012953591346740723,1.0,1
stage4a_vs_coincollector,a706845,classic,445753,val,1,2.96,0,dqn_agent,dqn_agent,400,400,1,0,11.0,6.0,1.0,0.0,43.0,14.0,372.0,1.0,400.0,0.5149548053741455,0.0012873870134353638,1.0,1
stage4a_vs_coincollector,a706845,classic,445753,val,1,2.96,1,coin_collector_agent,coin_collector_agent,400,141,0,0,1.0,1.0,0.0,0.0,42.0,14.0,123.0,4.0,141.0,0.11872506141662598,0.0008420217121746523,2.0,0
stage4a_vs_coincollector,a706845,classic,855458,val,1,2.78,0,dqn_agent,dqn_agent,400,400,1,0,6.0,6.0,0.0,0.0,90.0,35.0,327.0,1.0,400.0,0.4300813674926758,0.0010752034187316893,1.0,1
stage4a_vs_coincollector,a706845,classic,855458,val,1,2.78,1,coin_collector_agent,coin_collector_agent,400,95,0,1,2.0,2.0,0.0,1.0,32.0,10.0,79.0,6.0,95.0,0.07224106788635254,0.000760432293540553,2.0,0
stage4a_vs_coincollector,a706845,classic,407560,val,1,2.92,0,dqn_agent,dqn_agent,400,400,1,0,3.0,3.0,0.0,0.0,52.0,20.0,356.0,0.0,400.0,0.4733126163482666,0.0011832815408706664,1.5,0
stage4a_vs_coincollector,a706845,classic,407560,val,1,2.92,1,coin_collector_agent,coin_collector_agent,400,121,0,1,3.0,3.0,0.0,1.0,42.0,12.0,103.0,6.0,121.0,0.10411930084228516,0.0008604900896056624,1.5,0
stage4a_vs_coincollector,a706845,classic,182882,val,1,2.75,0,dqn_agent,dqn_agent,400,400,1,0,11.0,6.0,1.0,0.0,61.0,24.0,349.0,0.0,400.0,0.4210090637207031,0.001052522659301758,1.0,1
stage4a_vs_coincollector,a706845,classic,182882,val,1,2.75,1,coin_collector_agent,coin_collector_agent,400,90,0,1,2.0,2.0,0.0,1.0,33.0,10.0,77.0,3.0,90.0,0.0688631534576416,0.0007651461495293511,2.0,0
