tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage4b_vs_rulebased,4942725,classic,49594,val,1,3.49,0,dqn_agent,dqn_agent,400,400,1,0,9.0,4.0,1.0,0.0,81.0,29.0,335.0,0.0,400.0,0.4988718032836914,0.0012471795082092286,1.0,1
stage4b_vs_rulebased,4942725,classic,49594,val,1,3.49,1,rule_based_agent,rule_based_agent,400,124,0,0,5.0,5.0,0.0,0.0,40.0,12.0,109.0,3.0,124.0,0.1004478931427002,0.0008100636543766145,2.0,0
stage4b_vs_rulebased,4942725,classic,124020,val,1,2.84,0,dqn_agent,dqn_agent,400,400,1,0,6.0,1.0,1.0,0.0,24.0,9.0,376.0,0.0,400.0,0.4741508960723877,0.0011853772401809693,1.0,1
stage4b_vs_rulebased,4942725,classic,124020,val,1,2.84,1,rule_based_agent,rule_based_agent,400,77,0,0,1.0,1.0,0.0,0.0,26.0,9.0,66.0,2.0,77.0,0.05531954765319824,0.0007184356838077694,2.0,0
stage4b_vs_rulebased,4942725,classic,484337,val,1,2.75,0,dqn_agent,dqn_agent,400,400,1,0,14.0,9.0,1.0,0.0,97.0,38.0,315.0,0.0,400.0,0.40583133697509766,0.001014578342437744,1.0,1
stage4b_vs_rulebased,4942725,classic,484337,val,1,2.75,1,rule_based_agent,rule_based_agent,400,63,0,0,0.0,0.0,0.0,0.0,22.0,7.0,54.0,2.0,63.0,0.04462432861328125,0.0007083226764012896,2.0,0
stage4b_vs_rulebased,4942725,classic,208256,val,1,2.75,0,dqn_agent,dqn_agent,376,376,1,0,9.0,9.0,0.0,0.0,96.0,40.0,288.0,0.0,376.0,0.3669395446777344,0.0009759030443556765,1.0,1
stage4b_vs_rulebased,4942725,classic,208256,val,1,2.75,1,rule_based_agent,rule_based_agent,376,65,0,1,0.0,0.0,0.0,1.0,22.0,8.0,51.0,6.0,65.0,0.04196524620056152,0.0006456191723163312,2.0,0
stage4b_vs_rulebased,4942725,classic,277916,val,1,2.79,0,dqn_agent,dqn_agent,400,400,1,0,8.0,8.0,0.0,0.0,80.0,27.0,327.0,1.0,400.0,0.41545724868774414,0.0010386431217193604,1.0,1
stage4b_vs_rulebased,4942725,classic,277916,val,1,2.79,1,rule_based_agent,rule_based_agent,400,59,0,1,1.0,1.0,0.0,1.0,29.0,7.0,49.0,3.0,59.0,0.0413510799407959,0.0007008657617084051,2.0,0
stage4b_vs_rulebased,4942725,classic,790804,val,1,2.85,0,dqn_agent,dqn_agent,361,76,0,1,0.0,0.0,0.0,1.0,7.0,7.0,58.0,1.0,76.0,0.08376479148864746,0.0011021683090611507,2.0,0
stage4b_vs_rulebased,4942725,classic,790804,val,1,2.85,1,rule_based_agent,rule_based_agent,361,361,1,0,9.0,9.0,0.0,0.0,107.0,30.0,324.0,3.0,361.0,0.445648193359375,0.0012344825300813712,1.0,1
stage4b_vs_rulebased,4942725,classic,804280,val,1,2.64,0,dqn_agent,dqn_agent,331,331,1,0,9.0,9.0,0.0,0.0,109.0,37.0,247.0,0.0,331.0,0.3166227340698242,0.0009565641512683511,1.0,1
stage4b_vs_rulebased,4942725,classic,804280,val,1,2.64,1,rule_based_agent,rule_based_agent,331,43,0,1,0.0,0.0,0.0,1.0,14.0,5.0,37.0,1.0,43.0,0.03227043151855469,0.0007504751515942951,2.0,0
stage4b_vs_rulebased,4942725,classic,545879,val,1,3.08,0,dqn_agent,dqn_agent,385,385,1,0,6.0,1.0,1.0,0.0,37.0,22.0,334.0,0.0,385.0,0.5403468608856201,0.0014034983399626496,2.0,0
stage4b_vs_rulebased,4942725,classic,545879,val,1,3.08,1,rule_based_agent,rule_based_agent,385,267,0,1,8.0,8.0,0.0,1.0,92.0,26.0,235.0,6.0,267.0,0.253201961517334,0.0009483219532484419,1.0,1
stage4b_vs_rulebased,4942725,classic,406102,val,1,2.89,0,dqn_agent,dqn_agent,400,400,1,0,3.0,3.0,0.0,0.0,50.0,19.0,346.0,0.0,400.0,0.46347570419311523,0.0011586892604827882,2.0,0
stage4b_vs_rulebased,4942725,classic,406102,val,1,2.89,1,rule_based_agent,rule_based_agent,400,138,0,1,5.0,5.0,0.0,1.0,41.0,11.0,125.0,2.0,138.0,0.11425352096557617,0.0008279240649679433,1.0,1
stage4b_vs_rulebased,4942725,classic,636789,val,1,2.72,0,dqn_agent,dqn_agent,366,366,1,0,14.0,9.0,1.0,0.0,97.0,41.0,276.0,0.0,366.0,0.3432314395904541,0.0009377908185531533,1.0,1
stage4b_vs_rulebased,4942725,classic,636789,val,1,2.72,1,rule_based_agent,rule_based_agent,366,46,0,0,0.0,0.0,0.0,0.0,23.0,6.0,38.0,2.0,46.0,0.0306546688079834,0.000666405843651813,2.0,0
stage4b_vs_rulebased,4942725,classic,624167,val,1,2.8,0,dqn_agent,dqn_agent,371,371,1,0,8.0,8.0,0.0,0.0,98.0,40.0,257.0,0.0,371.0,0.357968807220459,0.0009648754911602668,1.0,1
stage4b_vs_rulebased,4942725,classic,624167,val,1,2.8,1,rule_based_agent,rule_based_agent,371,109,0,1,1.0,1.0,0.0,1.0,26.0,10.0,95.0,4.0,109.0,0.09582924842834473,0.0008791674167738048,2.0,0
stage4b_vs_rulebased,4942725,classic,762722,val,1,2.81,0,dqn_agent,dqn_agent,337,337,1,0,6.0,6.0,0.0,0.0,70.0,33.0,228.0,2.0,337.0,0.3596339225769043,0.0010671629750056508,1.0,1
stage4b_vs_rulebased,4942725,classic,762722,val,1,2.81,1,rule_based_agent,rule_based_agent,337,181,0,1,3.0,3.0,0.0,1.0,52.0,16.0,161.0,4.0,181.0,0.15340423583984375,0.0008475372145847721,2.0,0
stage4b_vs_rulebased,4942725,classic,839781,val,1,2.96,0,dqn_agent,dqn_agent,400,151,0,0,2.0,2.0,0.0,0.0,23.0,14.0,117.0,0.0,151.0,0.18598294258117676,0.001231675116431634,2.0,0
stage4b_vs_rulebased,4942725,classic,839781,val,1,2.96,1,rule_based_agent,rule_based_agent,400,400,1,0,11.0,6.0,1.0,0.0,100.0,35.0,362.0,3.0,400.0,0.47426652908325195,0.00118566632270813,1.0,1
stage4b_vs_rulebased,4942725,classic,186192,val,1,3.02,0,dqn_agent,dqn_agent,377,163,0,1,2.0,2.0,0.0,1.0,27.0,11.0,125.0,2.0,163.0,0.2247765064239502,0.0013789969719260747,2.0,0
stage4b_vs_rulebased,4942725,classic,186192,val,1,3.02,1,rule_based_agent,rule_based_agent,377,377,1,0,7.0,7.0,0.0,0.0,88.0,35.0,336.0,2.0,377.0,0.4753563404083252,0.0012608921496242047,1.0,1
stage4b_vs_rulebased,4942725,classic,318385,val,1,2.75,0,dqn_agent,dqn_agent,360,360,1,0,11.0,6.0,1.0,0.0,96.0,41.0,265.0,0.0,360.0,0.3735322952270508,0.0010375897089640298,1.0,1
stage4b_vs_rulebased,4942725,classic,318385,val,1,2.75,1,rule_based_agent,rule_based_agent,360,101,0,0,3.0,3.0,0.0,0.0,27.0,10.0,89.0,2.0,101.0,0.08806753158569336,0.0008719557582741917,2.0,0
stage4b_vs_rulebased,4942725,classic,400072,val,1,2.64,0,dqn_agent,dqn_agent,305,305,1,0,7.0,7.0,0.0,0.0,88.0,34.0,227.0,0.0,305.0,0.3172781467437744,0.0010402562188320474,1.0,1
stage4b_vs_rulebased,4942725,classic,400072,val,1,2.64,1,rule_based_agent,rule_based_agent,305,91,0,1,2.0,2.0,0.0,1.0,33.0,10.0,75.0,6.0,91.0,0.06730818748474121,0.0007396504119202331,2.0,0
stage4b_vs_rulebased,4942725,classic,282475,val,1,3.06,0,dqn_agent,dqn_agent,339,248,0,1,1.0,1.0,0.0,1.0,31.0,17.0,207.0,0.0,248.0,0.3833160400390625,0.0015456291937058972,2.0,0
stage4b_vs_rulebased,4942725,classic,282475,val,1,3.06,1,rule_based_agent,rule_based_agent,339,339,1,0,8.0,8.0,0.0,0.0,94.0,30.0,304.0,1.0,339.0,0.39042019844055176,0.0011516820012995627,1.0,1
stage4b_vs_rulebased,4942725,classic,650547,val,1,2.89,0,dqn_agent,dqn_agent,400,400,1,0,7.0,2.0,1.0,0.0,53.0,25.0,326.0,0.0,400.0,0.4906778335571289,0.0012266945838928223,1.0,1
