tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage5_mixed4,703570c,classic,49594,val,1,4.0,0,dqn_agent,dqn_agent,400,400,1,0,5.0,0.0,1.0,0.0,28.0,28.0,348.0,1.0,400.0,0.5998141765594482,0.0014995354413986205,2.5,0
stage5_mixed4,703570c,classic,49594,val,1,4.0,1,rule_based_agent,rule_based_agent,400,175,0,1,5.0,5.0,0.0,1.0,32.0,16.0,156.0,3.0,175.0,0.16411352157592773,0.0009377915518624442,2.5,0
stage5_mixed4,703570c,classic,49594,val,1,4.0,2,coin_collector_agent,coin_collector_agent,400,228,0,1,8.0,3.0,1.0,1.0,67.0,22.0,201.0,5.0,228.0,0.24931550025939941,0.001093489036225436,1.0,1
stage5_mixed4,703570c,classic,49594,val,1,4.0,3,peaceful_agent,peaceful_agent,400,173,0,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,101.0,173.0,0.014225244522094727,8.222684694852444e-05,4.0,0
stage5_mixed4,703570c,classic,124020,val,1,3.24,0,dqn_agent,dqn_agent,400,400,1,0,5.0,0.0,1.0,0.0,25.0,11.0,370.0,0.0,400.0,0.6593735218048096,0.001648433804512024,1.0,1
stage5_mixed4,703570c,classic,124020,val,1,3.24,1,rule_based_agent,rule_based_agent,400,98,0,0,3.0,3.0,0.0,0.0,25.0,10.0,83.0,5.0,98.0,0.07009387016296387,0.000715243573091468,2.0,0
stage5_mixed4,703570c,classic,124020,val,1,3.24,2,coin_collector_agent,coin_collector_agent,400,72,0,1,1.0,1.0,0.0,1.0,28.0,8.0,59.0,5.0,72.0,0.05662417411804199,0.0007864468627505832,3.0,0
stage5_mixed4,703570c,classic,124020,val,1,3.24,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,267.0,400.0,0.03162264823913574,7.905662059783935e-05,4.0,0
stage5_mixed4,703570c,classic,484337,val,1,2.89,0,dqn_agent,dqn_agent,263,60,0,1,2.0,2.0,0.0,1.0,16.0,6.0,45.0,2.0,60.0,0.08142733573913574,0.001357122262318929,2.5,0
stage5_mixed4,703570c,classic,484337,val,1,2.89,1,rule_based_agent,rule_based_agent,263,263,1,0,10.0,5.0,1.0,0.0,60.0,25.0,228.0,6.0,263.0,0.3755924701690674,0.001428108251593412,1.0,1
stage5_mixed4,703570c,classic,484337,val,1,2.89,2,coin_collector_agent,coin_collector_agent,263,116,0,1,2.0,2.0,0.0,1.0,44.0,12.0,101.0,3.0,116.0,0.08681702613830566,0.0007484226391233247,2.5,0
stage5_mixed4,703570c,classic,484337,val,1,2.89,3,peaceful_agent,peaceful_agent,263,139,0,0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,81.0,139.0,0.010702133178710938,7.699376387561825e-05,4.0,0
stage5_mixed4,703570c,classic,208256,val,1,3.5,0,dqn_agent,dqn_agent,400,400,1,0,5.0,5.0,0.0,0.0,28.0,40.0,338.0,1.0,400.0,0.5318400859832764,0.001329600214958191,2.0,0
stage5_mixed4,703570c,classic,208256,val,1,3.5,1,rule_based_agent,rule_based_agent,400,171,0,1,0.0,0.0,0.0,1.0,41.0,14.0,151.0,6.0,171.0,0.17540478706359863,0.0010257589886760155,3.5,0
stage5_mixed4,703570c,classic,208256,val,1,3.5,2,coin_collector_agent,coin_collector_agent,400,248,0,1,9.0,4.0,1.0,1.0,49.0,18.0,217.0,13.0,248.0,0.3928089141845703,0.0015839069120345576,1.0,1
stage5_mixed4,703570c,classic,208256,val,1,3.5,3,peaceful_agent,peaceful_agent,400,194,0,0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,106.0,194.0,0.01664113998413086,8.577907208314876e-05,3.5,0
stage5_mixed4,703570c,classic,277916,val,1,3.25,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,23.0,16.0,120.0,3.0,400.0,0.6165938377380371,0.0015414845943450928,3.5,0
stage5_mixed4,703570c,classic,277916,val,1,3.25,1,rule_based_agent,rule_based_agent,400,67,0,1,1.0,1.0,0.0,1.0,27.0,8.0,57.0,2.0,67.0,0.05108022689819336,0.0007623914462416919,2.0,0
stage5_mixed4,703570c,classic,277916,val,1,3.25,2,coin_collector_agent,coin_collector_agent,400,155,0,1,4.0,4.0,0.0,1.0,33.0,13.0,136.0,6.0,155.0,0.1454484462738037,0.0009383770727342175,1.0,1
stage5_mixed4,703570c,classic,277916,val,1,3.25,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,278.0,400.0,0.03147578239440918,7.868945598602295e-05,3.5,0
stage5_mixed4,703570c,classic,790804,val,1,3.37,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,21.0,38.0,317.0,4.0,400.0,0.5185065269470215,0.0012962663173675538,2.0,0
stage5_mixed4,703570c,classic,790804,val,1,3.37,1,rule_based_agent,rule_based_agent,400,364,0,1,16.0,6.0,2.0,1.0,58.0,34.0,315.0,15.0,364.0,0.41033101081848145,0.00112728299675407,1.0,1
stage5_mixed4,703570c,classic,790804,val,1,3.37,2,coin_collector_agent,coin_collector_agent,400,68,0,0,1.0,1.0,0.0,0.0,34.0,8.0,58.0,2.0,68.0,0.0479738712310791,0.0007054981063393986,3.0,0
stage5_mixed4,703570c,classic,790804,val,1,3.37,3,peaceful_agent,peaceful_agent,400,75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,43.0,75.0,0.005936384201049805,7.915178934733073e-05,4.0,0
stage5_mixed4,703570c,classic,804280,val,1,3.12,0,dqn_agent,dqn_agent,400,400,1,0,3.0,3.0,0.0,0.0,52.0,38.0,320.0,0.0,400.0,0.47659993171691895,0.0011914998292922973,2.0,0
stage5_mixed4,703570c,classic,804280,val,1,3.12,1,rule_based_agent,rule_based_agent,400,67,0,1,0.0,0.0,0.0,1.0,21.0,7.0,57.0,3.0,67.0,0.04919600486755371,0.0007342687293664733,3.5,0
stage5_mixed4,703570c,classic,804280,val,1,3.12,2,coin_collector_agent,coin_collector_agent,400,207,0,1,11.0,6.0,1.0,1.0,50.0,16.0,189.0,2.0,207.0,0.20434069633483887,0.0009871531223905258,1.0,1
stage5_mixed4,703570c,classic,804280,val,1,3.12,3,peaceful_agent,peaceful_agent,400,102,0,0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,102.0,0.008855104446411133,8.681474947461895e-05,3.5,0
stage5_mixed4,703570c,classic,545879,val,1,2.98,0,dqn_agent,dqn_agent,400,400,1,0,8.0,3.0,1.0,0.0,25.0,14.0,127.0,0.0,400.0,0.46583127975463867,0.0011645781993865967,1.0,1
stage5_mixed4,703570c,classic,545879,val,1,2.98,1,rule_based_agent,rule_based_agent,400,109,0,1,1.0,1.0,0.0,1.0,45.0,12.0,93.0,4.0,109.0,0.08392572402954102,0.0007699607709132203,3.0,0
stage5_mixed4,703570c,classic,545879,val,1,2.98,2,coin_collector_agent,coin_collector_agent,400,85,0,1,4.0,4.0,0.0,1.0,30.0,9.0,74.0,2.0,85.0,0.05493974685668945,0.0006463499630198759,2.0,0
stage5_mixed4,703570c,classic,545879,val,1,2.98,3,peaceful_agent,peaceful_agent,400,135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,82.0,135.0,0.010959625244140625,8.118240921585648e-05,4.0,0
stage5_mixed4,703570c,classic,406102,val,1,3.0,0,dqn_agent,dqn_agent,400,400,1,0,16.0,6.0,2.0,0.0,55.0,49.0,332.0,0.0,400.0,0.42928218841552734,0.0010732054710388184,1.0,1
stage5_mixed4,703570c,classic,406102,val,1,3.0,1,rule_based_agent,rule_based_agent,400,111,0,1,6.0,1.0,1.0,1.0,24.0,11.0,93.0,7.0,111.0,0.11246824264526367,0.0010132274112185917,2.0,0
stage5_mixed4,703570c,classic,406102,val,1,3.0,2,coin_collector_agent,coin_collector_agent,400,104,0,0,1.0,1.0,0.0,0.0,36.0,9.0,89.0,6.0,104.0,0.0861208438873291,0.0008280850373781645,3.0,0
stage5_mixed4,703570c,classic,406102,val,1,3.0,3,peaceful_agent,peaceful_agent,400,126,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,73.0,126.0,0.009978532791137695,7.919470469156901e-05,4.0,0
stage5_mixed4,703570c,classic,636789,val,1,3.06,0,dqn_agent,dqn_agent,400,400,1,0,3.0,3.0,0.0,0.0,49.0,43.0,337.0,0.0,400.0,0.5155355930328369,0.0012888389825820923,2.0,0
stage5_mixed4,703570c,classic,636789,val,1,3.06,1,rule_based_agent,rule_based_agent,400,73,0,1,1.0,1.0,0.0,1.0,17.0,6.0,61.0,6.0,73.0,0.05549788475036621,0.000760244996580359,3.0,0
stage5_mixed4,703570c,classic,636789,val,1,3.06,2,coin_collector_agent,coin_collector_agent,400,182,0,1,10.0,5.0,1.0,1.0,52.0,17.0,161.0,4.0,182.0,0.13817334175109863,0.0007591941854455968,1.0,1
stage5_mixed4,703570c,classic,636789,val,1,3.06,3,peaceful_agent,peaceful_agent,400,132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,72.0,132.0,0.010368585586547852,7.854989080718069e-05,4.0,0
stage5_mixed4,703570c,classic,624167,val,1,2.99,0,dqn_agent,dqn_agent,400,400,1,0,13.0,8.0,1.0,0.0,93.0,45.0,313.0,0.0,400.0,0.4933335781097412,0.001233333945274353,1.0,1
stage5_mixed4,703570c,classic,624167,val,1,2.99,1,rule_based_agent,rule_based_agent,400,93,0,1,1.0,1.0,0.0,1.0,12.0,7.0,83.0,3.0,93.0,0.08109474182128906,0.0008719864711966566,2.0,0
stage5_mixed4,703570c,classic,624167,val,1,2.99,2,coin_collector_agent,coin_collector_agent,400,55,0,1,0.0,0.0,0.0,1.0,17.0,6.0,47.0,2.0,55.0,0.037828683853149414,0.0006877942518754439,3.5,0
stage5_mixed4,703570c,classic,624167,val,1,2.99,3,peaceful_agent,peaceful_agent,400,320,0,0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,214.0,320.0,0.025491952896118164,7.966235280036927e-05,3.5,0
stage5_mixed4,703570c,classic,762722,val,1,3.33,0,dqn_agent,dqn_agent,400,292,0,1,7.0,2.0,1.0,1.0,28.0,30.0,227.0,5.0,292.0,0.4960918426513672,0.0016989446666142711,1.0,1
stage5_mixed4,703570c,classic,762722,val,1,3.33,1,rule_based_agent,rule_based_agent,400,289,0,1,4.0,4.0,0.0,1.0,37.0,23.0,251.0,15.0,289.0,0.3274533748626709,0.0011330566604244668,2.0,0
stage5_mixed4,703570c,classic,762722,val,1,3.33,2,coin_collector_agent,coin_collector_agent,400,128,0,0,1.0,1.0,0.0,0.0,41.0,13.0,111.0,4.0,128.0,0.09860610961914062,0.0007703602313995361,3.0,0
stage5_mixed4,703570c,classic,762722,val,1,3.33,3,peaceful_agent,peaceful_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,170.0,400.0,0.030769824981689453,7.692456245422363e-05,4.0,0
stage5_mixed4,703570c,classic,839781,val,1,2.98,0,dqn_agent,dqn_agent,332,58,0,1,1.0,1.0,0.0,1.0,11.0,6.0,39.0,1.0,58.0,0.07559776306152344,0.0013034097079573006,3.0,0
