tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,49594,val,1,0.67,0,q_agent,q_agent,13,13,0,1,0.0,0.0,0.0,1.0,4.0,2.0,9.0,0.0,13.0,0.0035049915313720703,0.00026961473318246694,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,124020,val,1,0.97,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,2.0,50.0,200.0,0.0,400.0,0.15355372428894043,0.0003838843107223511,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,484337,val,1,0.97,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,3.0,50.0,200.0,0.0,400.0,0.16162347793579102,0.0004040586948394775,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,208256,val,1,0.72,0,q_agent,q_agent,25,25,0,1,1.0,1.0,0.0,1.0,7.0,3.0,17.0,0.0,25.0,0.006502628326416016,0.00026010513305664063,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,277916,val,1,1.04,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.23256850242614746,0.0005814212560653686,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,790804,val,1,0.69,0,q_agent,q_agent,13,13,0,1,0.0,0.0,0.0,1.0,4.0,2.0,8.0,0.0,13.0,0.00670170783996582,0.0005155159876896784,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,804280,val,1,0.96,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,2.0,50.0,200.0,0.0,400.0,0.17037153244018555,0.00042592883110046385,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,545879,val,1,0.69,0,q_agent,q_agent,13,13,0,1,0.0,0.0,0.0,1.0,4.0,2.0,8.0,0.0,13.0,0.004506349563598633,0.00034664227412297175,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,406102,val,1,1.0,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.2054741382598877,0.0005136853456497192,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,636789,val,1,1.01,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,3.0,50.0,300.0,0.0,400.0,0.16432428359985352,0.0004108107089996338,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,624167,val,1,0.71,0,q_agent,q_agent,20,20,0,1,0.0,0.0,0.0,1.0,9.0,3.0,13.0,0.0,20.0,0.005011796951293945,0.00025058984756469725,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,762722,val,1,0.99,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,2.0,50.0,200.0,0.0,400.0,0.16076135635375977,0.0004019033908843994,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,839781,val,1,0.99,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,2.0,50.0,200.0,0.0,400.0,0.17651009559631348,0.0004412752389907837,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,186192,val,1,1.05,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.20128083229064941,0.0005032020807266235,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,318385,val,1,1.1,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,3.0,50.0,200.0,0.0,400.0,0.1921701431274414,0.0004804253578186035,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,400072,val,1,1.01,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.1977536678314209,0.0004943841695785522,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,282475,val,1,1.0,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,5.0,50.0,200.0,0.0,400.0,0.17355847358703613,0.0004338961839675903,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,650547,val,1,1.06,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,400.0,0.24991631507873535,0.0006247907876968384,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,35508,val,1,0.69,0,q_agent,q_agent,13,13,0,1,0.0,0.0,0.0,1.0,4.0,2.0,8.0,0.0,13.0,0.005149126052856445,0.0003960866194504958,1.0,1
stage5_qagent_solo_classic_rebalanced,0df9c3e,classic,228967,val,1,0.99,0,q_agent,q_agent,400,400,1,0,0.0,0.0,0.0,0.0,1.0,50.0,300.0,0.0,400.0,0.16206598281860352,0.0004051649570465088,1.0,1
