tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage5_v2_mixed4,2fc5d82,classic,49594,val,1,6.25,0,dqn_agent,dqn_agent,400,367,0,1,1.0,1.0,0.0,1.0,15.0,33.0,221.0,5.0,367.0,0.6282038688659668,0.0017117271631225254,3.0,0
stage5_v2_mixed4,2fc5d82,classic,49594,val,1,6.25,1,rule_based_agent,rule_based_agent,400,400,1,0,2.0,2.0,0.0,0.0,41.0,28.0,358.0,14.0,400.0,0.5223996639251709,0.0013059991598129272,2.0,0
stage5_v2_mixed4,2fc5d82,classic,49594,val,1,6.25,2,coin_collector_agent,coin_collector_agent,400,255,0,1,11.0,6.0,1.0,1.0,70.0,24.0,223.0,8.0,255.0,0.25892114639282227,0.0010153770446777344,1.0,1
stage5_v2_mixed4,2fc5d82,classic,49594,val,1,6.25,3,peaceful_agent,peaceful_agent,400,241,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,145.0,241.0,0.020383834838867188,8.458022754716676e-05,4.0,0
stage5_v2_mixed4,2fc5d82,classic,124020,val,1,2.75,0,dqn_agent,dqn_agent,174,122,0,1,7.0,2.0,1.0,1.0,21.0,13.0,88.0,1.0,122.0,0.1928398609161377,0.0015806545976732598,2.0,0
stage5_v2_mixed4,2fc5d82,classic,124020,val,1,2.75,1,rule_based_agent,rule_based_agent,174,173,0,1,9.0,4.0,1.0,1.0,40.0,16.0,154.0,3.0,173.0,0.13761186599731445,0.000795444312123205,1.0,1
stage5_v2_mixed4,2fc5d82,classic,124020,val,1,2.75,2,coin_collector_agent,coin_collector_agent,174,87,0,0,2.0,2.0,0.0,0.0,30.0,9.0,75.0,3.0,87.0,0.06728982925415039,0.0007734463132660964,3.0,0
stage5_v2_mixed4,2fc5d82,classic,124020,val,1,2.75,3,peaceful_agent,peaceful_agent,174,174,1,0,1.0,1.0,0.0,0.0,0.0,0.0,68.0,106.0,174.0,0.013199806213378906,7.586095524930406e-05,4.0,0
stage5_v2_mixed4,2fc5d82,classic,484337,val,1,3.08,0,dqn_agent,dqn_agent,276,104,0,1,2.0,2.0,0.0,1.0,17.0,7.0,43.0,2.0,104.0,0.17412137985229492,0.0016742440370412974,3.0,0
stage5_v2_mixed4,2fc5d82,classic,484337,val,1,3.08,1,rule_based_agent,rule_based_agent,276,193,0,0,8.0,3.0,1.0,0.0,47.0,18.0,167.0,8.0,193.0,0.16185426712036133,0.000838623145701354,1.5,0
stage5_v2_mixed4,2fc5d82,classic,484337,val,1,3.08,2,coin_collector_agent,coin_collector_agent,276,276,1,0,8.0,3.0,1.0,0.0,56.0,22.0,242.0,8.0,276.0,0.3859059810638428,0.001398210076318271,1.5,0
stage5_v2_mixed4,2fc5d82,classic,484337,val,1,3.08,3,peaceful_agent,peaceful_agent,276,185,0,0,1.0,1.0,0.0,0.0,0.0,0.0,66.0,119.0,185.0,0.014737844467163086,7.96640241468275e-05,4.0,0
stage5_v2_mixed4,2fc5d82,classic,208256,val,1,3.04,0,dqn_agent,dqn_agent,300,300,1,0,11.0,6.0,1.0,0.0,53.0,28.0,238.0,0.0,300.0,0.4514901638031006,0.001504967212677002,1.0,1
stage5_v2_mixed4,2fc5d82,classic,208256,val,1,3.04,1,rule_based_agent,rule_based_agent,300,75,0,1,0.0,0.0,0.0,1.0,30.0,9.0,61.0,5.0,75.0,0.053008317947387695,0.000706777572631836,3.5,0
stage5_v2_mixed4,2fc5d82,classic,208256,val,1,3.04,2,coin_collector_agent,coin_collector_agent,300,128,0,1,3.0,3.0,0.0,1.0,35.0,11.0,112.0,5.0,128.0,0.1367478370666504,0.0010683424770832062,2.0,0
stage5_v2_mixed4,2fc5d82,classic,208256,val,1,3.04,3,peaceful_agent,peaceful_agent,300,273,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,189.0,273.0,0.023661375045776367,8.66717034643823e-05,3.5,0
stage5_v2_mixed4,2fc5d82,classic,277916,val,1,3.14,0,dqn_agent,dqn_agent,334,169,0,1,0.0,0.0,0.0,1.0,31.0,15.0,97.0,2.0,169.0,0.2685074806213379,0.0015888016604812894,3.5,0
stage5_v2_mixed4,2fc5d82,classic,277916,val,1,3.14,1,rule_based_agent,rule_based_agent,334,334,1,0,11.0,6.0,1.0,0.0,63.0,30.0,297.0,6.0,334.0,0.45281171798706055,0.0013557237065480855,1.0,1
stage5_v2_mixed4,2fc5d82,classic,277916,val,1,3.14,2,coin_collector_agent,coin_collector_agent,334,99,0,1,3.0,3.0,0.0,1.0,25.0,10.0,85.0,4.0,99.0,0.06779813766479492,0.0006848296733817669,2.0,0
stage5_v2_mixed4,2fc5d82,classic,277916,val,1,3.14,3,peaceful_agent,peaceful_agent,334,233,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,156.0,233.0,0.01848602294921875,7.933915428849248e-05,3.5,0
stage5_v2_mixed4,2fc5d82,classic,790804,val,1,3.42,0,dqn_agent,dqn_agent,400,400,1,0,9.0,4.0,1.0,0.0,26.0,28.0,332.0,5.0,400.0,0.5850174427032471,0.0014625436067581177,1.0,1
