tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage6_selfplay_vs_mixed4,dc0fc84,classic,49594,val,1,5.47,0,dqn_agent,dqn_agent,335,245,0,1,0.0,0.0,0.0,1.0,15.0,5.0,184.0,3.0,245.0,0.4296584129333496,0.0017537078078912229,3.5,0
stage6_selfplay_vs_mixed4,dc0fc84,classic,49594,val,1,5.47,1,rule_based_agent,rule_based_agent,335,335,1,0,11.0,6.0,1.0,0.0,87.0,27.0,305.0,3.0,335.0,0.40968990325927734,0.0012229549351023205,1.0,1
stage6_selfplay_vs_mixed4,dc0fc84,classic,49594,val,1,5.47,2,coin_collector_agent,coin_collector_agent,335,80,0,1,3.0,3.0,0.0,1.0,25.0,9.0,65.0,6.0,80.0,0.04616832733154297,0.0005771040916442872,2.0,0
stage6_selfplay_vs_mixed4,dc0fc84,classic,49594,val,1,5.47,3,peaceful_agent,peaceful_agent,335,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,134.0,255.0,0.021703481674194336,8.511169283997779e-05,3.5,0
stage6_selfplay_vs_mixed4,dc0fc84,classic,124020,val,1,3.07,0,dqn_agent,dqn_agent,400,400,1,0,1.0,1.0,0.0,0.0,27.0,16.0,355.0,4.0,400.0,0.5247890949249268,0.001311972737312317,3.0,0
stage6_selfplay_vs_mixed4,dc0fc84,classic,124020,val,1,3.07,1,rule_based_agent,rule_based_agent,400,142,0,1,3.0,3.0,0.0,1.0,31.0,14.0,123.0,5.0,142.0,0.11078953742980957,0.0007802080100690814,2.0,0
stage6_selfplay_vs_mixed4,dc0fc84,classic,124020,val,1,3.07,2,coin_collector_agent,coin_collector_agent,400,109,0,1,9.0,4.0,1.0,1.0,34.0,11.0,96.0,2.0,109.0,0.07537484169006348,0.0006915123090831511,1.0,1
stage6_selfplay_vs_mixed4,dc0fc84,classic,124020,val,1,3.07,3,peaceful_agent,peaceful_agent,400,86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,61.0,86.0,0.007153987884521484,8.318590563397075e-05,4.0,0
stage6_selfplay_vs_mixed4,dc0fc84,classic,484337,val,1,3.29,0,dqn_agent,dqn_agent,400,400,1,0,2.0,2.0,0.0,0.0,23.0,20.0,338.0,0.0,400.0,0.5426263809204102,0.0013565659523010255,2.5,0
stage6_selfplay_vs_mixed4,dc0fc84,classic,484337,val,1,3.29,1,rule_based_agent,rule_based_agent,400,269,0,1,9.0,4.0,1.0,1.0,60.0,24.0,239.0,6.0,269.0,0.2900583744049072,0.0010782839197208448,1.0,1
stage6_selfplay_vs_mixed4,dc0fc84,classic,484337,val,1,3.29,2,coin_collector_agent,coin_collector_agent,400,96,0,1,1.0,1.0,0.0,1.0,33.0,10.0,83.0,3.0,96.0,0.07817888259887695,0.0008143633604049683,4.0,0
stage6_selfplay_vs_mixed4,dc0fc84,classic,484337,val,1,3.29,3,peaceful_agent,peaceful_agent,400,137,0,0,2.0,2.0,0.0,0.0,0.0,0.0,49.0,88.0,137.0,0.010693550109863281,7.805511029097286e-05,2.5,0
