tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage7_combined_mixed4,50838d5,classic,49594,val,1,5.55,0,dqn_agent,dqn_agent,362,153,0,1,0.0,0.0,0.0,1.0,28.0,20.0,115.0,1.0,153.0,0.2776186466217041,0.0018145009583117916,3.5,0
stage7_combined_mixed4,50838d5,classic,49594,val,1,5.55,1,rule_based_agent,rule_based_agent,362,362,1,0,12.0,7.0,1.0,0.0,80.0,33.0,321.0,8.0,362.0,0.4441952705383301,0.001227058758393177,1.0,1
stage7_combined_mixed4,50838d5,classic,49594,val,1,5.55,2,coin_collector_agent,coin_collector_agent,362,74,0,1,2.0,2.0,0.0,1.0,19.0,8.0,63.0,3.0,74.0,0.05198049545288086,0.0007024391277416333,2.0,0
stage7_combined_mixed4,50838d5,classic,49594,val,1,5.55,3,peaceful_agent,peaceful_agent,362,205,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,129.0,205.0,0.01678609848022461,8.188340722060785e-05,3.5,0
stage7_combined_mixed4,50838d5,classic,124020,val,1,3.17,0,dqn_agent,dqn_agent,400,400,1,0,6.0,1.0,1.0,0.0,31.0,16.0,364.0,0.0,400.0,0.549349308013916,0.00137337327003479,1.5,0
stage7_combined_mixed4,50838d5,classic,124020,val,1,3.17,1,rule_based_agent,rule_based_agent,400,101,0,1,2.0,2.0,0.0,1.0,23.0,10.0,88.0,3.0,101.0,0.08028721809387207,0.000794922951424476,3.0,0
stage7_combined_mixed4,50838d5,classic,124020,val,1,3.17,2,coin_collector_agent,coin_collector_agent,400,155,0,1,6.0,6.0,0.0,1.0,46.0,15.0,133.0,7.0,155.0,0.11478948593139648,0.0007405773285896547,1.5,0
stage7_combined_mixed4,50838d5,classic,124020,val,1,3.17,3,peaceful_agent,peaceful_agent,400,147,0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,97.0,147.0,0.011968135833740234,8.141589002544377e-05,4.0,0
stage7_combined_mixed4,50838d5,classic,484337,val,1,3.22,0,dqn_agent,dqn_agent,400,400,1,0,8.0,3.0,1.0,0.0,25.0,16.0,366.0,0.0,400.0,0.5290648937225342,0.0013226622343063355,2.0,0
stage7_combined_mixed4,50838d5,classic,484337,val,1,3.22,1,rule_based_agent,rule_based_agent,400,162,0,0,0.0,0.0,0.0,0.0,47.0,16.0,143.0,3.0,162.0,0.18573832511901855,0.001146532871105053,3.5,0
stage7_combined_mixed4,50838d5,classic,484337,val,1,3.22,2,coin_collector_agent,coin_collector_agent,400,130,0,1,10.0,5.0,1.0,1.0,42.0,14.0,113.0,3.0,130.0,0.113250732421875,0.0008711594801682692,1.0,1
stage7_combined_mixed4,50838d5,classic,484337,val,1,3.22,3,peaceful_agent,peaceful_agent,400,119,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,78.0,119.0,0.01007080078125,8.462857799369748e-05,3.5,0
stage7_combined_mixed4,50838d5,classic,208256,val,1,3.27,0,dqn_agent,dqn_agent,337,192,0,1,8.0,3.0,1.0,1.0,21.0,17.0,159.0,4.0,192.0,0.31929516792297363,0.0016629956662654877,2.0,0
stage7_combined_mixed4,50838d5,classic,208256,val,1,3.27,1,rule_based_agent,rule_based_agent,337,337,1,0,9.0,4.0,1.0,0.0,63.0,28.0,300.0,5.0,337.0,0.511448860168457,0.0015176524040607033,1.0,1
stage7_combined_mixed4,50838d5,classic,208256,val,1,3.27,2,coin_collector_agent,coin_collector_agent,337,96,0,0,2.0,2.0,0.0,0.0,34.0,10.0,84.0,2.0,96.0,0.0732722282409668,0.0007632523775100708,3.0,0
stage7_combined_mixed4,50838d5,classic,208256,val,1,3.27,3,peaceful_agent,peaceful_agent,337,229,0,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,157.0,229.0,0.017850399017333984,7.794934068704797e-05,4.0,0
stage7_combined_mixed4,50838d5,classic,277916,val,1,2.98,0,dqn_agent,dqn_agent,400,400,1,0,14.0,4.0,2.0,0.0,42.0,18.0,366.0,2.0,400.0,0.4833836555480957,0.0012084591388702394,1.0,1
stage7_combined_mixed4,50838d5,classic,277916,val,1,2.98,1,rule_based_agent,rule_based_agent,400,53,0,0,1.0,1.0,0.0,0.0,19.0,6.0,46.0,1.0,53.0,0.04061412811279297,0.0007663043040149616,2.5,0
stage7_combined_mixed4,50838d5,classic,277916,val,1,2.98,2,coin_collector_agent,coin_collector_agent,400,106,0,1,1.0,1.0,0.0,1.0,32.0,11.0,87.0,8.0,106.0,0.0768134593963623,0.0007246552773241727,2.5,0
stage7_combined_mixed4,50838d5,classic,277916,val,1,2.98,3,peaceful_agent,peaceful_agent,400,160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,106.0,160.0,0.014562606811523438,9.101629257202148e-05,4.0,0
