tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage8_qagent_vs_coincollector,e2e0e1c,classic,49594,val,1,2.27,0,q_agent,q_agent,400,187,0,1,0.0,0.0,0.0,1.0,0.0,8.0,167.0,0.0,187.0,0.1546463966369629,0.0008269860782725288,4.0,0
stage8_qagent_vs_coincollector,e2e0e1c,classic,49594,val,1,2.27,1,coin_collector_agent,coin_collector_agent_0,400,129,0,1,3.0,3.0,0.0,1.0,39.0,12.0,115.0,2.0,129.0,0.1810920238494873,0.0014038141383681186,2.0,0
stage8_qagent_vs_coincollector,e2e0e1c,classic,49594,val,1,2.27,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,5.0,5.0,0.0,0.0,34.0,14.0,165.0,1.0,400.0,0.4765605926513672,0.001191401481628418,1.0,1
stage8_qagent_vs_coincollector,e2e0e1c,classic,49594,val,1,2.27,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,1.0,1.0,0.0,0.0,54.0,17.0,162.0,1.0,400.0,0.41504764556884766,0.0010376191139221192,3.0,0
stage8_qagent_vs_coincollector,e2e0e1c,classic,124020,val,1,2.38,0,q_agent,q_agent,400,129,0,1,0.0,0.0,0.0,1.0,0.0,3.0,95.0,0.0,129.0,0.10045719146728516,0.0007787379183510477,4.0,0
stage8_qagent_vs_coincollector,e2e0e1c,classic,124020,val,1,2.38,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,35.0,16.0,140.0,2.0,400.0,0.4476640224456787,0.0011191600561141967,2.0,0
stage8_qagent_vs_coincollector,e2e0e1c,classic,124020,val,1,2.38,2,coin_collector_agent,coin_collector_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,38.0,13.0,143.0,2.0,400.0,0.38982343673706055,0.0009745585918426513,1.0,1
stage8_qagent_vs_coincollector,e2e0e1c,classic,124020,val,1,2.38,3,coin_collector_agent,coin_collector_agent_2,400,400,1,0,2.0,2.0,0.0,0.0,39.0,15.0,143.0,2.0,400.0,0.356783390045166,0.000891958475112915,3.0,0
stage8_qagent_vs_coincollector,e2e0e1c,classic,484337,val,1,2.35,0,q_agent,q_agent,400,181,0,1,0.0,0.0,0.0,1.0,0.0,4.0,137.0,0.0,181.0,0.16616582870483398,0.0009180432525128949,3.5,0
stage8_qagent_vs_coincollector,e2e0e1c,classic,484337,val,1,2.35,1,coin_collector_agent,coin_collector_agent_0,400,400,1,0,0.0,0.0,0.0,0.0,45.0,15.0,158.0,3.0,400.0,0.41902613639831543,0.0010475653409957885,3.5,0
