tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,49594,val,1,2.06,0,q_agent,q_agent,276,181,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,181.0,0.17012548446655273,0.0009399198036826118,4.0,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,49594,val,1,2.06,1,rule_based_agent,rule_based_agent_0,276,276,1,0,17.0,7.0,2.0,0.0,57.0,25.0,242.0,5.0,276.0,0.49327921867370605,0.0017872435459192247,1.0,1
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,49594,val,1,2.06,2,rule_based_agent,rule_based_agent_1,276,181,0,0,1.0,1.0,0.0,0.0,32.0,15.0,157.0,9.0,181.0,0.237457275390625,0.001311918648566989,2.5,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,49594,val,1,2.06,3,rule_based_agent,rule_based_agent_2,276,124,0,1,1.0,1.0,0.0,1.0,37.0,14.0,105.0,5.0,124.0,0.14741253852844238,0.0011888107945842127,2.5,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,124020,val,1,2.78,0,q_agent,q_agent,400,265,0,0,0.0,0.0,0.0,0.0,1.0,8.0,30.0,1.0,265.0,0.2199687957763672,0.0008300709274579893,4.0,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,124020,val,1,2.78,1,rule_based_agent,rule_based_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,35.0,34.0,357.0,9.0,400.0,0.7613339424133301,0.0019033348560333252,2.0,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,124020,val,1,2.78,2,rule_based_agent,rule_based_agent_1,400,136,0,1,1.0,1.0,0.0,1.0,38.0,14.0,113.0,9.0,136.0,0.10939574241638184,0.0008043804589439841,3.0,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,124020,val,1,2.78,3,rule_based_agent,rule_based_agent_2,400,400,1,0,10.0,5.0,1.0,0.0,38.0,36.0,349.0,15.0,400.0,0.6504838466644287,0.0016262096166610718,1.0,1
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,484337,val,1,2.14,0,q_agent,q_agent,400,18,0,1,0.0,0.0,0.0,1.0,4.0,2.0,14.0,0.0,18.0,0.010081768035888672,0.0005600982242160373,4.0,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,484337,val,1,2.14,1,rule_based_agent,rule_based_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,48.0,33.0,358.0,9.0,400.0,0.5822153091430664,0.001455538272857666,2.0,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,484337,val,1,2.14,2,rule_based_agent,rule_based_agent_1,400,90,0,1,1.0,1.0,0.0,1.0,25.0,10.0,78.0,2.0,90.0,0.07061648368835449,0.0007846275965372721,3.0,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,484337,val,1,2.14,3,rule_based_agent,rule_based_agent_2,400,400,1,0,6.0,6.0,0.0,0.0,42.0,34.0,359.0,7.0,400.0,0.5866847038269043,0.0014667117595672608,1.0,1
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,208256,val,1,2.48,0,q_agent,q_agent,342,300,0,1,2.0,2.0,0.0,1.0,6.0,10.0,77.0,2.0,300.0,0.36231374740600586,0.0012077124913533529,3.5,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,208256,val,1,2.48,1,rule_based_agent,rule_based_agent_0,342,243,0,1,7.0,2.0,1.0,1.0,37.0,25.0,211.0,7.0,243.0,0.3564455509185791,0.0014668541190064983,1.0,1
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,208256,val,1,2.48,2,rule_based_agent,rule_based_agent_1,342,112,0,0,2.0,2.0,0.0,0.0,39.0,11.0,97.0,4.0,112.0,0.10305476188659668,0.0009201318025588989,3.5,0
stage9_candidateA_qagent_vs_rulebased,e2e0e1c,classic,208256,val,1,2.48,3,rule_based_agent,rule_based_agent_2,342,342,1,0,3.0,3.0,0.0,0.0,36.0,27.0,306.0,5.0,342.0,0.632617712020874,0.0018497593918739006,2.0,0
