tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,49594,val,1,3.08,0,q_agent,q_agent,400,129,0,1,0.0,0.0,0.0,1.0,0.0,1.0,127.0,0.0,129.0,0.10618042945861816,0.0008231041043303734,4.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,49594,val,1,3.08,1,rule_based_agent,rule_based_agent_0,400,400,1,0,9.0,4.0,1.0,0.0,33.0,34.0,357.0,9.0,400.0,0.6830296516418457,0.0017075741291046143,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,49594,val,1,3.08,2,rule_based_agent,rule_based_agent_1,400,127,0,1,1.0,1.0,0.0,1.0,38.0,13.0,111.0,3.0,127.0,0.13594961166381836,0.0010704693831796721,3.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,49594,val,1,3.08,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,56.0,40.0,354.0,6.0,400.0,0.7045459747314453,0.0017613649368286132,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,124020,val,1,2.69,0,q_agent,q_agent,400,137,0,1,0.0,0.0,0.0,1.0,0.0,1.0,135.0,0.0,137.0,0.09591555595397949,0.0007001135471093393,4.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,124020,val,1,2.69,1,rule_based_agent,rule_based_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,34.0,39.0,349.0,12.0,400.0,0.7084522247314453,0.0017711305618286132,3.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,124020,val,1,2.69,2,rule_based_agent,rule_based_agent_1,400,400,1,0,6.0,1.0,1.0,0.0,42.0,40.0,352.0,8.0,400.0,0.6758260726928711,0.0016895651817321778,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,124020,val,1,2.69,3,rule_based_agent,rule_based_agent_2,400,158,0,0,5.0,5.0,0.0,0.0,35.0,14.0,141.0,3.0,158.0,0.21877169609069824,0.0013846309879158116,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,484337,val,1,1.72,0,q_agent,q_agent,288,165,0,1,2.0,2.0,0.0,1.0,4.0,2.0,159.0,2.0,165.0,0.10596179962158203,0.000642192724979285,2.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,484337,val,1,1.72,1,rule_based_agent,rule_based_agent_0,288,76,0,1,0.0,0.0,0.0,1.0,33.0,9.0,63.0,4.0,76.0,0.06589674949645996,0.0008670624933744732,4.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,484337,val,1,1.72,2,rule_based_agent,rule_based_agent_1,288,288,1,0,2.0,2.0,0.0,0.0,53.0,24.0,256.0,4.0,288.0,0.5259058475494385,0.0018260619706577724,2.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,484337,val,1,1.72,3,rule_based_agent,rule_based_agent_2,288,105,0,1,5.0,5.0,0.0,1.0,30.0,10.0,92.0,3.0,105.0,0.08179259300231934,0.0007789770762125652,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,208256,val,1,2.6,0,q_agent,q_agent,400,116,0,1,1.0,1.0,0.0,1.0,0.0,2.0,111.0,0.0,116.0,0.0646517276763916,0.0005573424799688931,3.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,208256,val,1,2.6,1,rule_based_agent,rule_based_agent_0,400,250,0,1,1.0,1.0,0.0,1.0,37.0,22.0,224.0,4.0,250.0,0.3666701316833496,0.0014666805267333984,3.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,208256,val,1,2.6,2,rule_based_agent,rule_based_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,43.0,42.0,342.0,16.0,400.0,0.5503084659576416,0.001375771164894104,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,208256,val,1,2.6,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,38.0,41.0,349.0,10.0,400.0,0.5929036140441895,0.0014822590351104737,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,277916,val,1,1.69,0,q_agent,q_agent,307,6,0,1,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,6.0,0.0035474300384521484,0.0005912383397420248,4.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,277916,val,1,1.69,1,rule_based_agent,rule_based_agent_0,307,99,0,1,2.0,2.0,0.0,1.0,34.0,11.0,86.0,2.0,99.0,0.09801506996154785,0.0009900512117328067,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,277916,val,1,1.69,2,rule_based_agent,rule_based_agent_1,307,307,1,0,6.0,6.0,0.0,0.0,44.0,28.0,268.0,7.0,307.0,0.5140008926391602,0.0016742700085966128,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,277916,val,1,1.69,3,rule_based_agent,rule_based_agent_2,307,223,0,1,1.0,1.0,0.0,1.0,40.0,23.0,191.0,9.0,223.0,0.2647552490234375,0.0011872432691633968,3.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,790804,val,1,2.45,0,q_agent,q_agent,400,14,0,1,0.0,0.0,0.0,1.0,2.0,2.0,10.0,0.0,14.0,0.0045893192291259766,0.00032780851636614116,4.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,790804,val,1,2.45,1,rule_based_agent,rule_based_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,37.0,38.0,338.0,22.0,400.0,0.48713231086730957,0.001217830777168274,3.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,790804,val,1,2.45,2,rule_based_agent,rule_based_agent_1,400,353,0,1,3.0,3.0,0.0,1.0,37.0,30.0,303.0,18.0,353.0,0.49033498764038086,0.001389050956488331,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,790804,val,1,2.45,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,38.0,34.0,355.0,11.0,400.0,0.5575525760650635,0.0013938814401626587,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,804280,val,1,2.87,0,q_agent,q_agent,400,99,0,0,2.0,2.0,0.0,0.0,2.0,1.0,96.0,0.0,99.0,0.07645177841186523,0.0007722401859784367,3.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,804280,val,1,2.87,1,rule_based_agent,rule_based_agent_0,400,400,1,0,1.0,1.0,0.0,0.0,47.0,36.0,355.0,9.0,400.0,0.6901383399963379,0.0017253458499908447,4.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,804280,val,1,2.87,2,rule_based_agent,rule_based_agent_1,400,400,1,0,5.0,0.0,1.0,0.0,45.0,35.0,352.0,13.0,400.0,0.7108414173126221,0.001777103543281555,1.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,804280,val,1,2.87,3,rule_based_agent,rule_based_agent_2,400,214,0,1,5.0,5.0,0.0,1.0,27.0,18.0,185.0,11.0,214.0,0.39689159393310547,0.0018546336165098387,1.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,545879,val,1,2.49,0,q_agent,q_agent,400,14,0,1,0.0,0.0,0.0,1.0,3.0,2.0,10.0,0.0,14.0,0.005589008331298828,0.00039921488080705913,4.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,545879,val,1,2.49,1,rule_based_agent,rule_based_agent_0,400,400,1,0,5.0,0.0,1.0,0.0,49.0,31.0,357.0,12.0,400.0,0.7126119136810303,0.0017815297842025757,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,545879,val,1,2.49,2,rule_based_agent,rule_based_agent_1,400,400,1,0,7.0,7.0,0.0,0.0,39.0,27.0,362.0,10.0,400.0,0.6920645236968994,0.0017301613092422486,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,545879,val,1,2.49,3,rule_based_agent,rule_based_agent_2,400,172,0,0,2.0,2.0,0.0,0.0,38.0,16.0,151.0,5.0,172.0,0.17971253395080566,0.0010448403136674748,3.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,406102,val,1,2.28,0,q_agent,q_agent,400,80,0,1,1.0,1.0,0.0,1.0,1.0,2.0,77.0,0.0,80.0,0.05820965766906738,0.0007276207208633423,3.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,406102,val,1,2.28,1,rule_based_agent,rule_based_agent_0,400,100,0,1,4.0,4.0,0.0,1.0,37.0,9.0,88.0,3.0,100.0,0.07588028907775879,0.0007588028907775879,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,406102,val,1,2.28,2,rule_based_agent,rule_based_agent_1,400,400,1,0,1.0,1.0,0.0,0.0,42.0,37.0,355.0,8.0,400.0,0.5726096630096436,0.001431524157524109,3.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,406102,val,1,2.28,3,rule_based_agent,rule_based_agent_2,400,400,1,0,8.0,3.0,1.0,0.0,46.0,38.0,356.0,6.0,400.0,0.6553018093109131,0.0016382545232772826,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,636789,val,1,1.45,0,q_agent,q_agent,230,123,0,1,6.0,1.0,1.0,1.0,3.0,3.0,117.0,0.0,123.0,0.08139896392822266,0.0006617801945383955,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,636789,val,1,1.45,1,rule_based_agent,rule_based_agent_0,230,105,0,0,1.0,1.0,0.0,0.0,40.0,11.0,91.0,3.0,105.0,0.07613325119018555,0.0007250785827636718,4.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,636789,val,1,1.45,2,rule_based_agent,rule_based_agent_1,230,109,0,1,3.0,3.0,0.0,1.0,31.0,11.0,93.0,5.0,109.0,0.08469271659851074,0.0007769973999863371,3.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,636789,val,1,1.45,3,rule_based_agent,rule_based_agent_2,230,230,1,0,4.0,4.0,0.0,0.0,46.0,20.0,206.0,0.0,230.0,0.44185543060302734,0.0019211105678392493,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,624167,val,1,1.8,0,q_agent,q_agent,349,100,0,1,0.0,0.0,0.0,1.0,0.0,1.0,97.0,0.0,100.0,0.05200052261352539,0.0005200052261352539,3.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,624167,val,1,1.8,1,rule_based_agent,rule_based_agent_0,349,349,1,0,4.0,4.0,0.0,0.0,43.0,28.0,310.0,7.0,349.0,0.4429130554199219,0.0012690918493407503,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,624167,val,1,1.8,2,rule_based_agent,rule_based_agent_1,349,55,0,1,0.0,0.0,0.0,1.0,17.0,6.0,47.0,2.0,55.0,0.03570270538330078,0.000649140097878196,3.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,624167,val,1,1.8,3,rule_based_agent,rule_based_agent_2,349,324,0,1,5.0,5.0,0.0,1.0,64.0,27.0,287.0,10.0,324.0,0.4060218334197998,0.001253153806851234,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,762722,val,1,2.48,0,q_agent,q_agent,400,117,0,0,1.0,1.0,0.0,0.0,3.0,1.0,115.0,0.0,117.0,0.055669546127319336,0.00047580808655828494,3.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,762722,val,1,2.48,1,rule_based_agent,rule_based_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,39.0,34.0,360.0,6.0,400.0,0.66455078125,0.001661376953125,2.0,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,762722,val,1,2.48,2,rule_based_agent,rule_based_agent_1,400,95,0,1,1.0,1.0,0.0,1.0,35.0,10.0,82.0,3.0,95.0,0.07592916488647461,0.0007992543672260485,3.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,762722,val,1,2.48,3,rule_based_agent,rule_based_agent_2,400,400,1,0,15.0,5.0,2.0,0.0,45.0,36.0,353.0,11.0,400.0,0.741663932800293,0.0018541598320007324,1.0,1
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,839781,val,1,1.46,0,q_agent,q_agent,279,91,0,1,0.0,0.0,0.0,1.0,0.0,1.0,89.0,0.0,91.0,0.057965993881225586,0.0006369889437497317,3.5,0
stage9_candidateB_qagent_vs_rulebased,e2e0e1c,classic,839781,val,1,1.46,1,rule_based_agent,rule_based_agent_0,279,47,0,1,0.0,0.0,0.0,1.0,20.0,6.0,37.0,4.0,47.0,0.03366732597351074,0.0007163260845427817,3.5,0
