tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage9_qrdqn_mixed4,24482a0,classic,49594,val,1,4.49,0,dqn_agent,dqn_agent,400,87,0,1,5.0,0.0,1.0,1.0,15.0,7.0,65.0,4.0,87.0,0.15230798721313477,0.0017506665196912042,2.0,0
stage9_qrdqn_mixed4,24482a0,classic,49594,val,1,4.49,1,rule_based_agent,rule_based_agent,400,400,1,0,12.0,7.0,1.0,0.0,92.0,36.0,361.0,3.0,400.0,0.5340151786804199,0.0013350379467010499,1.0,1
stage9_qrdqn_mixed4,24482a0,classic,49594,val,1,4.49,2,coin_collector_agent,coin_collector_agent,400,77,0,1,1.0,1.0,0.0,1.0,19.0,8.0,65.0,4.0,77.0,0.0509641170501709,0.0006618716500022194,3.0,0
stage9_qrdqn_mixed4,24482a0,classic,49594,val,1,4.49,3,peaceful_agent,peaceful_agent,400,280,0,0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,161.0,280.0,0.02107381820678711,7.526363645281111e-05,4.0,0
stage9_qrdqn_mixed4,24482a0,classic,124020,val,1,3.88,0,dqn_agent,dqn_agent,400,400,1,0,0.0,0.0,0.0,0.0,15.0,38.0,296.0,8.0,400.0,0.7170240879058838,0.0017925602197647094,3.5,0
stage9_qrdqn_mixed4,24482a0,classic,124020,val,1,3.88,1,rule_based_agent,rule_based_agent,400,400,1,0,7.0,2.0,1.0,0.0,45.0,37.0,351.0,12.0,400.0,0.5044999122619629,0.0012612497806549071,1.5,0
stage9_qrdqn_mixed4,24482a0,classic,124020,val,1,3.88,2,coin_collector_agent,coin_collector_agent,400,154,0,1,7.0,7.0,0.0,1.0,47.0,13.0,136.0,5.0,154.0,0.11932992935180664,0.0007748696711156276,1.5,0
stage9_qrdqn_mixed4,24482a0,classic,124020,val,1,3.88,3,peaceful_agent,peaceful_agent,400,132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,80.0,132.0,0.010565519332885742,8.00418131279223e-05,3.5,0
stage9_qrdqn_mixed4,24482a0,classic,484337,val,1,2.92,0,dqn_agent,dqn_agent,400,400,1,0,11.0,6.0,1.0,0.0,48.0,46.0,329.0,0.0,400.0,0.44898390769958496,0.0011224597692489624,1.0,1
stage9_qrdqn_mixed4,24482a0,classic,484337,val,1,2.92,1,rule_based_agent,rule_based_agent,400,90,0,1,0.0,0.0,0.0,1.0,38.0,10.0,78.0,2.0,90.0,0.06909728050231934,0.0007677475611368815,3.5,0
