tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,49594,val,1,3.72,0,dqn_agent,dqn_agent,400,400,1,0,15.0,5.0,2.0,0.0,69.0,47.0,342.0,0.0,400.0,0.7668039798736572,0.001917009949684143,1.0,1
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,49594,val,1,3.72,1,rule_based_agent,rule_based_agent,400,73,0,1,1.0,1.0,0.0,1.0,23.0,7.0,63.0,3.0,73.0,0.054963111877441406,0.0007529193407868686,3.0,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,49594,val,1,3.72,2,coin_collector_agent,coin_collector_agent,400,102,0,0,2.0,2.0,0.0,0.0,23.0,10.0,85.0,7.0,102.0,0.08049464225769043,0.0007891631593891219,2.0,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,49594,val,1,3.72,3,peaceful_agent,peaceful_agent,400,305,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,175.0,305.0,0.029368162155151367,9.628905624639792e-05,4.0,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,124020,val,1,3.27,0,dqn_agent,dqn_agent,216,187,0,1,7.0,2.0,1.0,1.0,29.0,21.0,153.0,1.0,187.0,0.40428829193115234,0.0021619694755676596,1.0,1
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,124020,val,1,3.27,1,rule_based_agent,rule_based_agent,216,103,0,1,3.0,3.0,0.0,1.0,29.0,10.0,87.0,6.0,103.0,0.07927179336547852,0.0007696290618007623,3.0,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,124020,val,1,3.27,2,coin_collector_agent,coin_collector_agent,216,216,1,0,4.0,4.0,0.0,0.0,54.0,20.0,192.0,0.0,216.0,0.2844359874725342,0.0013168332753358063,2.0,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,124020,val,1,3.27,3,peaceful_agent,peaceful_agent,216,166,0,0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,101.0,166.0,0.015089035034179688,9.089780141072101e-05,4.0,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,484337,val,1,3.35,0,dqn_agent,dqn_agent,400,400,1,0,4.0,4.0,0.0,0.0,30.0,53.0,344.0,0.0,400.0,0.5903358459472656,0.001475839614868164,2.0,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,484337,val,1,3.35,1,rule_based_agent,rule_based_agent,400,125,0,1,5.0,0.0,1.0,1.0,41.0,12.0,111.0,2.0,125.0,0.11598420143127441,0.0009278736114501953,1.0,1
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,484337,val,1,3.35,2,coin_collector_agent,coin_collector_agent,400,113,0,1,2.0,2.0,0.0,1.0,36.0,12.0,98.0,3.0,113.0,0.09315228462219238,0.0008243565010813486,3.5,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,484337,val,1,3.35,3,peaceful_agent,peaceful_agent,400,126,0,0,2.0,2.0,0.0,0.0,0.0,0.0,51.0,75.0,126.0,0.011474847793579102,9.107022058396112e-05,3.5,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,208256,val,1,3.33,0,dqn_agent,dqn_agent,400,400,1,0,12.0,2.0,2.0,0.0,22.0,48.0,345.0,0.0,400.0,0.6239032745361328,0.0015597581863403321,1.0,1
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,208256,val,1,3.33,1,rule_based_agent,rule_based_agent,400,75,0,1,0.0,0.0,0.0,1.0,27.0,8.0,64.0,3.0,75.0,0.05623126029968262,0.0007497501373291015,3.5,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,208256,val,1,3.33,2,coin_collector_agent,coin_collector_agent,400,160,0,0,3.0,3.0,0.0,0.0,42.0,13.0,143.0,4.0,160.0,0.1402451992034912,0.00087653249502182,2.0,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,208256,val,1,3.33,3,peaceful_agent,peaceful_agent,400,76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,50.0,76.0,0.006776571273803711,8.916541149741725e-05,3.5,0
stage_runF_newshield_noretrain_mixed4_full100,18732a9,classic,277916,val,1,3.39,0,dqn_agent,dqn_agent,400,400,1,0,14.0,4.0,2.0,0.0,44.0,48.0,344.0,0.0,400.0,0.6973004341125488,0.0017432510852813722,1.0,1
