tag,scenario,agent_code,n_matches,metric,mean,ci_lo,ci_hi
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,score,3.520,2.940,4.130
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,coins,2.370,2.020,2.740
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,kills,0.230,0.150,0.320
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,suicides,0.730,0.640,0.810
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,suicide,0.730,0.640,0.810
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,crates,37.120,34.049,40.181
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,invalid,4.010,3.590,4.440
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,alive_steps,132.010,116.499,148.380
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,rank,2.380,2.230,2.520
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,win,0.120,0.060,0.190
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,survived,0.060,0.020,0.110
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,time,0.163,0.132,0.199
stage19_targetsync1000_mixed4_full100,classic,coin_collector_agent,100,think_time_mean,0.001,0.001,0.001
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,score,9.000,7.890,10.050
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,coins,4.000,3.620,4.380
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,kills,1.000,0.840,1.160
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,suicides,0.240,0.160,0.320
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,suicide,0.240,0.160,0.320
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,crates,45.070,40.940,49.010
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,invalid,1.560,1.210,1.950
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,alive_steps,295.280,274.659,313.980
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,rank,1.565,1.415,1.735
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,win,0.620,0.520,0.710
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,survived,0.760,0.680,0.840
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,time,0.700,0.647,0.751
stage19_targetsync1000_mixed4_full100,classic,dqn_agent,100,think_time_mean,0.002,0.002,0.002
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,score,0.070,0.020,0.130
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,coins,0.070,0.020,0.130
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,kills,0.000,0.000,0.000
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,suicides,0.000,0.000,0.000
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,suicide,0.000,0.000,0.000
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,crates,0.000,0.000,0.000
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,invalid,100.400,91.419,110.041
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,alive_steps,161.660,146.630,177.581
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,rank,3.820,3.770,3.870
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,win,0.000,0.000,0.000
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,survived,0.040,0.010,0.080
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,time,0.022,0.020,0.025
stage19_targetsync1000_mixed4_full100,classic,peaceful_agent,100,think_time_mean,0.000,0.000,0.000
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,score,3.950,3.250,4.720
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,coins,2.450,2.070,2.860
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,kills,0.300,0.210,0.400
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,suicides,0.540,0.440,0.640
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,suicide,0.540,0.440,0.640
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,crates,38.560,35.299,42.110
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,invalid,4.570,3.960,5.200
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,alive_steps,169.470,149.019,191.322
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,rank,2.235,2.065,2.405
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,win,0.240,0.160,0.330
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,survived,0.240,0.160,0.330
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,time,0.254,0.207,0.306
stage19_targetsync1000_mixed4_full100,classic,rule_based_agent,100,think_time_mean,0.001,0.001,0.001
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,score,2.930,2.410,3.530
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,coins,2.030,1.750,2.360
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,kills,0.180,0.110,0.260
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,suicides,0.630,0.540,0.730
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,suicide,0.630,0.540,0.730
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,crates,37.210,34.230,40.520
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,invalid,4.130,3.730,4.510
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,alive_steps,135.570,117.678,155.630
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,rank,2.465,2.310,2.610
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,win,0.120,0.060,0.190
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,survived,0.110,0.050,0.180
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,time,0.142,0.115,0.172
stage22_f_quantiles64_mixed4_full100,classic,coin_collector_agent,100,think_time_mean,0.001,0.001,0.001
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,score,9.160,8.200,10.170
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,coins,3.910,3.530,4.270
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,kills,1.050,0.890,1.210
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,suicides,0.210,0.140,0.290
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,suicide,0.210,0.140,0.290
stage22_f_quantiles64_mixed4_full100,classic,dqn_agent,100,crates,36.600,33.509,39.811
